schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,0,0,7194409536164426051,9449048863279904390,1,78,580,"32,-20",32,-20,2.9999995604157448e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,0,1,7194409536164426051,481856423835926905,0,103,841,"32,-27",32,-27,3.200001083314419e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,1,0,1070920355577654870,12502845576095772740,0,105,627,"-9,32",-9,32,2.2999942302703857e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,1,1,1070920355577654870,10308334395060796865,1,64,3120,"-32,8",-32,8,0.00010599999222904444,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,2,0,10202712736991502322,16818159751513189604,1,67,569,"-32,3",-32,3,1.9999919459223747e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,2,1,10202712736991502322,14120543285082197209,0,58,714,"6,-32",6,-32,2.1000043489038944e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,3,0,6363075752320559679,17603340860953809028,1,79,2315,"32,-3",32,-3,6.800005212426186e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,3,1,6363075752320559679,10258799212702689959,0,65,2309,"32,3",32,3,8.099991828203201e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,4,0,14504067386193477591,14933287378032357825,-1,69,1869,"-5,-32",-5,-32,5.5999960750341415e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,4,1,14504067386193477591,3992059304741981697,-1,176,2886,"10,32",10,32,9.80000477284193e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,5,0,3775339195880537928,2747046076592142615,0,69,1307,"-32,1",-32,1,4.000007174909115e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,5,1,3775339195880537928,3844408961974283499,-1,63,1273,"32,3",32,3,3.599992487579584e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,6,0,14705875381296135627,2804070113085600597,1,105,893,"-15,-32",-15,-32,3.100000321865082e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,6,1,14705875381296135627,1906141985122260729,-1,161,3695,"-32,-23",-32,-23,0.0001230000052601099,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,7,0,15775077792379145754,3158719735346580601,-1,79,755,"-17,32",-17,32,2.3999949917197227e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,7,1,15775077792379145754,14394915481699468240,-2,76,912,"4,32",4,32,2.7999980375170708e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,8,0,11036517099646269169,10878026641216829069,0,67,805,"-5,-32",-5,-32,2.6999972760677338e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,8,1,11036517099646269169,16995317284758057238,-1,109,1183,"-3,32",-3,32,0.003575999988242984,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.681
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,9,0,10131751196677630262,8927600613515743128,2,71,245,"1,32",1,32,1.4999997802078724e-5,0,ok,,,2026-07-18T08:43:24.681,2026-07-18T08:43:24.681
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,9,1,10131751196677630262,13877019490643658058,0,69,515,"19,-32",19,-32,2.7000089175999165e-5,0,ok,,,2026-07-18T08:43:24.681,2026-07-18T08:43:24.682
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,10,0,16795419568514257639,15666358778099337606,-2,95,1553,"15,-32",15,-32,8.899997919797897e-5,0,ok,,,2026-07-18T08:43:24.682,2026-07-18T08:43:24.682
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,10,1,16795419568514257639,16800974490252484067,-2,121,2091,"-32,-11",-32,-11,0.00011499994434416294,0,ok,,,2026-07-18T08:43:24.682,2026-07-18T08:43:24.682
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,11,0,1617579473403731797,13450238089190675662,3,83,609,"23,-32",23,-32,3.200001083314419e-5,0,ok,,,2026-07-18T08:43:24.682,2026-07-18T08:43:24.682
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,11,1,1617579473403731797,12751500169195974066,1,146,2008,"2,32",2,32,0.0001039999770000577,0,ok,,,2026-07-18T08:43:24.682,2026-07-18T08:43:24.682
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,12,0,5639300754958929506,18000465294914611136,-3,165,1625,"32,5",32,5,9.80000477284193e-5,0,ok,,,2026-07-18T08:43:24.682,2026-07-18T08:43:24.682
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,12,1,5639300754958929506,7327277298233843436,0,117,1587,"-32,15",-32,15,9.50000248849392e-5,0,ok,,,2026-07-18T08:43:24.682,2026-07-18T08:43:24.682
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,13,0,12211671063773919995,12486265339189497155,0,62,1670,"6,-32",6,-32,7.100007496774197e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,13,1,12211671063773919995,13845621409004672031,0,83,1203,"-32,1",-32,1,4.700000863522291e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,14,0,13590563752841459444,9042527865414066259,2,115,1407,"32,-25",32,-25,4.299997817724943e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,14,1,13590563752841459444,4384178588185540737,0,64,300,"-32,4",-32,4,1.00000761449337e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,15,0,6910099034236926721,8940852716390076157,-2,111,1939,"32,25",32,25,5.9999991208314896e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,15,1,6910099034236926721,16486718319602957541,0,69,193,"32,1",32,1,7.00005330145359e-6,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,16,0,5954463472547833853,10934772728517785317,0,70,514,"-8,32",-8,32,1.7000013031065464e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,16,1,5954463472547833853,2672166395035067003,-2,136,2812,"-32,6",-32,6,8.79999715834856e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,17,0,18091229765027425894,7448421474790110582,-1,118,882,"-8,32",-8,32,2.8999987989664078e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,17,1,18091229765027425894,445049254524560611,-1,96,372,"32,14",32,14,1.2999982573091984e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,18,0,2807332927177786913,15389844321784573581,1,223,2219,"-32,21",-32,21,7.499998901039362e-5,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.677
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,18,1,2807332927177786913,6412661020203455889,3,124,3044,"-32,22",-32,22,0.00010400009341537952,0,ok,,,2026-07-18T08:43:24.677,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,19,0,9008382211312489548,10980373450592633528,0,69,371,"-32,-3",-32,-3,1.1999974958598614e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,19,1,9008382211312489548,13281599736731147920,1,81,585,"3,32",3,32,1.7000013031065464e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,20,0,2876552276452415314,277069585166359467,-1,83,621,"-11,32",-11,32,2.0999927073717117e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,20,1,2876552276452415314,9530516638354731499,-1,99,655,"-7,-32",-7,-32,2.1000043489038944e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,21,0,8187877971371372403,6024437715022074417,0,92,1726,"24,32",24,32,5.300005432218313e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,21,1,8187877971371372403,16328150122019036774,-1,68,1364,"24,-32",24,-32,4.100007936358452e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,22,0,2726379765323652586,8139666765560280131,1,96,600,"-24,32",-24,32,1.9000028260052204e-5,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.678
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,22,1,2726379765323652586,7412248848083102860,1,93,2957,"32,-27",32,-27,0.0036199999740347266,0,ok,,,2026-07-18T08:43:24.678,2026-07-18T08:43:24.681
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1,0,baseline,{},site_iid,baseline,,32,23,0,4468880933778327783,2260213599466909308,0,109,587,"32,-13",32,-13,3.39999096468091e-5,0,ok,,,2026-07-18T08:43:24.681,2026-07-18T08:43:24.681
