schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,0,0,16498213716986105396,3754985326051967637,0,429,13293,"35,-64",35,-64,0.001484000007621944,860,ok,,,2026-07-18T08:56:56.073,2026-07-18T08:56:56.074
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,0,1,16498213716986105396,10311288776523123871,-1,240,6280,"-64,-56",-64,-56,0.0006419999990612268,964,ok,,,2026-07-18T08:56:56.074,2026-07-18T08:56:56.075
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,1,0,6636442330085510838,17737599418401216605,1,261,11707,"27,64",27,64,0.0014839998912066221,896,ok,,,2026-07-18T08:56:56.075,2026-07-18T08:56:56.076
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,1,1,6636442330085510838,9681792909765611980,2,183,2195,"-23,64",-23,64,0.0003029999788850546,945,ok,,,2026-07-18T08:56:56.076,2026-07-18T08:56:56.077
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,2,0,16946801052668040560,1422169698742589452,1,221,2081,"-7,64",-7,64,0.0002929999027401209,449,ok,,,2026-07-18T08:56:56.077,2026-07-18T08:56:56.077
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,2,1,16946801052668040560,17865582304491786659,0,197,13141,"5,64",5,64,0.001576000009663403,989,ok,,,2026-07-18T08:56:56.077,2026-07-18T08:56:56.079
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,3,0,15741627449342936695,18301798543367168200,0,233,2525,"64,7",64,7,0.00034799997229129076,446,ok,,,2026-07-18T08:56:56.079,2026-07-18T08:56:56.079
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,3,1,15741627449342936695,11432480051615496974,1,187,13927,"64,23",64,23,0.0017269999952986836,978,ok,,,2026-07-18T08:56:56.079,2026-07-18T08:56:56.081
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,4,0,4044819649206346770,13493329388460205042,1,170,4806,"16,-64",16,-64,0.0005919999675825238,692,ok,,,2026-07-18T08:56:56.081,2026-07-18T08:56:56.081
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,4,1,4044819649206346770,11140995208413426891,1,163,3155,"5,-64",5,-64,0.00041099998634308577,841,ok,,,2026-07-18T08:56:56.081,2026-07-18T08:56:56.082
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,5,0,16035817823689525565,3234291545687942931,0,226,8766,"64,-4",64,-4,0.000999000039882958,814,ok,,,2026-07-18T08:56:56.082,2026-07-18T08:56:56.083
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,5,1,16035817823689525565,18281304242867225489,4,327,15529,"64,29",64,29,0.002114000031724572,1003,ok,,,2026-07-18T08:56:56.083,2026-07-18T08:56:56.085
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,6,0,16277623812536965492,7831994607661554772,0,217,1455,"3,64",3,64,0.00022499996703118086,364,ok,,,2026-07-18T08:56:56.086,2026-07-18T08:56:56.087
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,6,1,16277623812536965492,16195475009653466745,1,198,4800,"-64,16",-64,16,0.0006360000697895885,796,ok,,,2026-07-18T08:56:56.087,2026-07-18T08:56:56.087
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,7,0,12691199801494227112,1653402921710470951,0,153,1857,"-21,-64",-21,-64,0.0002810000441968441,410,ok,,,2026-07-18T08:56:56.087,2026-07-18T08:56:56.088
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,7,1,12691199801494227112,14718684127949397874,0,171,1869,"-35,-64",-35,-64,0.00023300002794712782,546,ok,,,2026-07-18T08:56:56.088,2026-07-18T08:56:56.088
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,8,0,5887421633262935575,5730699704364589599,1,233,9453,"64,-17",64,-17,0.0012400000123307109,828,ok,,,2026-07-18T08:56:56.088,2026-07-18T08:56:56.089
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,40,0,exponential,{},site_iid,exponential,,64,8,1,5887421633262935575,4705344356439724116,-1,321,6059,"-64,-45",-64,-45,0.0007990000303834677,974,ok,,,2026-07-18T08:56:56.089,2026-07-18T08:56:56.090
