schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,0,0,9616175870690205728,8995209467784801775,0,194,7606,"-64,-28",-64,-28,0.0077460000757128,595,ok,,,2026-07-18T08:45:40.577,2026-07-18T08:45:40.585
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,0,1,9616175870690205728,18319693778318541253,1,169,5189,"-64,-13",-64,-13,0.0003909999504685402,725,ok,,,2026-07-18T08:45:40.585,2026-07-18T08:45:40.585
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,1,0,3186306982552260060,10258066738314321871,0,167,16809,"64,13",64,13,0.0012289999285712838,797,ok,,,2026-07-18T08:45:40.585,2026-07-18T08:45:40.586
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,1,1,3186306982552260060,2751213363203563582,0,357,5833,"64,37",64,37,0.000547999981790781,898,ok,,,2026-07-18T08:45:40.586,2026-07-18T08:45:40.587
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,2,0,8399192196151789320,4532597349148366889,-2,284,11174,"-40,64",-40,64,0.0010630000615492463,830,ok,,,2026-07-18T08:45:40.587,2026-07-18T08:45:40.588
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,2,1,8399192196151789320,4501853949828905580,3,341,9657,"-64,41",-64,41,0.0008850001031532884,963,ok,,,2026-07-18T08:45:40.588,2026-07-18T08:45:40.589
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,3,0,7707704824489367783,9058943253748783417,1,204,12002,"-30,-64",-30,-64,0.00101500004529953,803,ok,,,2026-07-18T08:45:40.589,2026-07-18T08:45:40.590
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,3,1,7707704824489367783,17300775959467455652,2,318,5848,"64,32",64,32,0.019899000064469874,939,ok,,,2026-07-18T08:45:40.590,2026-07-18T08:45:40.610
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,4,0,3817866050891654133,9842597954176026792,-1,299,4687,"-3,64",-3,64,0.0004610000178217888,601,ok,,,2026-07-18T08:45:40.610,2026-07-18T08:45:40.610
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,4,1,3817866050891654133,2415349060033636644,3,371,8671,"-19,64",-19,64,0.00076299998909235,894,ok,,,2026-07-18T08:45:40.610,2026-07-18T08:45:40.611
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,12,0,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,64,5,0,8151107102428778875,1513858856526646351,1,259,8875,"13,-64",13,-64,0.0008900000248104334,792,ok,,,2026-07-18T08:45:40.611,2026-07-18T08:45:40.612
