schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,0,0,5839274794616601659,18148006274936581711,0,43,391,"-13,-16",-13,-16,7.30000901967287e-5,116,ok,,,2026-07-18T08:54:51.853,2026-07-18T08:54:51.853
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,0,1,5839274794616601659,3885373300546504658,0,33,157,"-7,-16",-7,-16,2.1000043489038944e-5,150,ok,,,2026-07-18T08:54:51.853,2026-07-18T08:54:51.853
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,1,0,14976236162617375484,8690771238106452209,1,46,118,"-4,-16",-4,-16,2.5000073947012424e-5,60,ok,,,2026-07-18T08:54:51.853,2026-07-18T08:54:51.854
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,1,1,14976236162617375484,13645682761318156277,1,32,346,"16,-2",16,-2,5.600007716566324e-5,169,ok,,,2026-07-18T08:54:51.854,2026-07-18T08:54:51.854
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2,0,6109414425411847768,18283852397233890183,2,38,690,"16,10",16,10,9.400001727044582e-5,190,ok,,,2026-07-18T08:54:51.854,2026-07-18T08:54:51.854
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2,1,6109414425411847768,7972449252609201203,2,33,145,"3,16",3,16,2.4000066332519054e-5,233,ok,,,2026-07-18T08:54:51.854,2026-07-18T08:54:51.854
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,3,0,18024289714121877659,16107621862193421856,0,32,892,"2,16",2,16,8.400005754083395e-5,129,ok,,,2026-07-18T08:54:51.854,2026-07-18T08:54:51.854
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,3,1,18024289714121877659,1233831188337124812,-1,31,95,"-16,-5",-16,-5,1.7000013031065464e-5,160,ok,,,2026-07-18T08:54:51.854,2026-07-18T08:54:51.854
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,4,0,6341680075030468947,17579702194098095236,-1,31,1819,"9,-16",9,-16,0.00020999996922910213,346,ok,,,2026-07-18T08:54:51.854,2026-07-18T08:54:51.854
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,29,0,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,4,1,6341680075030468947,11839536887130420167,0,58,476,"-16,-6",-16,-6,4.499999340623617e-5,377,ok,,,2026-07-18T08:54:51.854,2026-07-18T08:54:51.854
