distribution,distribution_params,variance_kind,model,intercept,coefficient,n_sizes,sse,r2,aic,bic
baseline,{},annealed,a_plus_b_log_L,-0.5919144711351922,1.644496079554345,10,4.485148701331429,0.9598389853789377,-4.01813442775066,-3.412964241762568
baseline,{},annealed,a_plus_b_log_L_squared,3.8293991681933477,0.13619774925524133,10,7.325878249556636,0.9344024639795716,0.8882795227234257,1.4934497087115175
bernoulli,"{""a"":0.8}",annealed,a_plus_b_log_L,-0.4298361696497013,1.425075283218163,9,0.9272520998320035,0.9844082351638799,-16.454789378339058,-16.060340223666618
bernoulli,"{""a"":0.8}",annealed,a_plus_b_log_L_squared,3.204020962207406,0.12571973824931382,9,2.3066665976616716,0.9612133494735788,-8.252790136611905,-7.858340981939466
beta,"{""a"":0.5}",annealed,a_plus_b_log_L,-0.7871278272894671,1.5107549092812234,9,2.710397090720379,0.9604350411470727,-6.801164827139125,-6.406715672466686
beta,"{""a"":0.5}",annealed,a_plus_b_log_L_squared,3.0734025536674228,0.1330369916008865,9,4.493160250958326,0.9344111971425094,-2.252014529706245,-1.857565375033806
exponential,{},annealed,a_plus_b_log_L,-0.6572110425471216,1.461102740776584,9,0.21483393657282376,0.9965212296619416,-29.61603063202456,-29.22158147735212
exponential,{},annealed,a_plus_b_log_L_squared,3.0481561342929684,0.12949767625004605,9,1.1045168761639172,0.982114741236976,-14.8803489870314,-14.48589983235896
gamma,"{""shape"":0.5}",annealed,a_plus_b_log_L,-0.41472074482765287,1.3420167917958044,9,0.453404065318489,0.9913425284070273,-22.893765367904454,-22.499316213232014
gamma,"{""shape"":0.5}",annealed,a_plus_b_log_L_squared,3.0212924563710084,0.11798145944161575,9,2.0279726942394167,0.9612771094600369,-9.411691604692226,-9.017242450019786
gamma,"{""shape"":1.0}",annealed,a_plus_b_log_L,0.051035823048430906,1.3178094116166161,10,2.4968586246034574,0.9649966447550362,-9.875517013996122,-9.27034682800803
gamma,"{""shape"":1.0}",annealed,a_plus_b_log_L_squared,3.6577394696705294,0.1074943389010902,10,6.328370581807484,0.9112828410010738,-0.575423020108583,0.029747165879508763
gamma,"{""shape"":2.0}",annealed,a_plus_b_log_L,-0.6322728753311253,1.525328071469641,9,0.22277784981971702,0.9966894270595412,-29.28924293480314,-28.8947937801307
gamma,"{""shape"":2.0}",annealed,a_plus_b_log_L_squared,3.234288228099518,0.13523951337255372,9,1.143941545485045,0.983000545480558,-14.564703040592637,-14.170253885920197
inverse_gamma,"{""alpha"":2.2}",annealed,a_plus_b_log_L,-0.30505575118116823,1.4388800283038448,9,0.3568122317742656,0.9940570822996969,-25.04993156889409,-24.655482414221648
inverse_gamma,"{""alpha"":2.2}",annealed,a_plus_b_log_L_squared,3.3702205757129846,0.1267544505668393,9,1.9311167559981322,0.9678361139877245,-9.852135005393581,-9.457685850721141
lognormal,"{""sigma"":0.5}",annealed,a_plus_b_log_L,-0.709139336805066,1.5837137469629337,9,0.8054369566897249,0.9889829627589997,-17.72235430540669,-17.32790515073425
lognormal,"{""sigma"":0.5}",annealed,a_plus_b_log_L_squared,3.2715828561504754,0.14141286873156425,9,0.7825040994528092,0.9892966460834649,-17.98232625500399,-17.58787710033155
lognormal,"{""sigma"":1.0}",annealed,a_plus_b_log_L,-1.4453923404017228,1.662045381556047,9,1.7289164351231676,0.978750051950766,-10.847567328235366,-10.453118173562927
lognormal,"{""sigma"":1.0}",annealed,a_plus_b_log_L_squared,2.706412515181599,0.1491673471135885,9,0.8856102909760072,0.989115047845695,-16.868325691833498,-16.473876537161058
pareto,"{""alpha"":2.0}",annealed,a_plus_b_log_L,-0.49410611740874266,1.5421904288253152,9,0.34056222327687635,0.9950572758602393,-25.469438058703595,-25.074988904031155
pareto,"{""alpha"":2.0}",annealed,a_plus_b_log_L_squared,3.434281738977906,0.13617253642272686,9,1.8369524690288679,0.9733395288975419,-10.302049811063812,-9.907600656391374
pareto,"{""alpha"":3.0}",annealed,a_plus_b_log_L,-1.866541828709554,1.8953696647373994,9,2.7589701589074735,0.9740499494688923,-6.641303882615745,-6.2468547279433055
pareto,"{""alpha"":3.0}",annealed,a_plus_b_log_L_squared,2.8563085552220118,0.1704555995759236,9,1.2341606318820455,0.9883918531494646,-13.881501397590657,-13.487052242918217
triangular,"{""a"":0.8}",annealed,a_plus_b_log_L,-0.6630005902326523,1.5849039120454589,9,0.1908691765878907,0.9973710368112693,-30.68052442052226,-30.28607526584982
triangular,"{""a"":0.8}",annealed,a_plus_b_log_L_squared,3.3527058621044787,0.14057684811551083,9,1.1292886792356216,0.9844455850848512,-14.680729672020092,-14.286280517347652
uniform,"{""a"":0.7}",annealed,a_plus_b_log_L,-0.541108103717379,1.5755626243403893,9,0.07426059831363116,0.998963344432559,-39.17659415531861,-38.782145000646175
uniform,"{""a"":0.7}",annealed,a_plus_b_log_L_squared,3.453102610129009,0.13968431313066376,9,1.0663181021558403,0.9851145207234336,-15.197115999483632,-14.802666844811192
weibull,"{""shape"":0.7}",annealed,a_plus_b_log_L,-0.4602587218721883,1.3650329702162878,9,0.05187214339005693,0.9990352238926844,-42.40578151817035,-42.011332363497914
weibull,"{""shape"":0.7}",annealed,a_plus_b_log_L_squared,3.0212870505222638,0.12039946694766143,9,1.3378406357987451,0.9751173443690394,-13.155509561025774,-12.761060406353334
