schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,500,0,14953187916805484814,11909634051035768780,1,58,428,"6,32",6,32,2.7000089175999165e-5,0,ok,,,2026-07-18T09:01:57.348,2026-07-18T09:01:57.348
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,500,1,14953187916805484814,12491922719482026764,-1,81,629,"32,21",32,21,3.300001844763756e-5,0,ok,,,2026-07-18T09:01:57.348,2026-07-18T09:01:57.348
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,501,0,15535446873706829468,9272888089867731631,-1,102,1056,"-4,32",-4,32,6.0999998822808266e-5,0,ok,,,2026-07-18T09:01:57.348,2026-07-18T09:01:57.348
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,501,1,15535446873706829468,7827262636776561964,0,60,264,"-32,-2",-32,-2,1.3999990187585354e-5,0,ok,,,2026-07-18T09:01:57.348,2026-07-18T09:01:57.348
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,502,0,12340480440004433055,15336018096010709324,-1,69,211,"-27,32",-27,32,1.2999982573091984e-5,0,ok,,,2026-07-18T09:01:57.348,2026-07-18T09:01:57.348
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,502,1,12340480440004433055,5389553939885233884,-2,115,1423,"-32,7",-32,7,8.200004231184721e-5,0,ok,,,2026-07-18T09:01:57.348,2026-07-18T09:01:57.348
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,503,0,8811029649250786491,2063611779385730134,0,61,889,"-3,32",-3,32,7.199996616691351e-5,0,ok,,,2026-07-18T09:01:57.348,2026-07-18T09:01:57.348
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,503,1,8811029649250786491,14851719121280020277,-1,87,377,"-32,13",-32,13,2.1000043489038944e-5,0,ok,,,2026-07-18T09:01:57.348,2026-07-18T09:01:57.348
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,504,0,6193794768881758856,2934453572282791961,3,97,645,"32,-11",32,-11,0.00012599991168826818,0,ok,,,2026-07-18T09:01:57.349,2026-07-18T09:01:57.349
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,504,1,6193794768881758856,17749409020333110492,0,102,948,"26,32",26,32,7.099995855242014e-5,0,ok,,,2026-07-18T09:01:57.349,2026-07-18T09:01:57.349
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,55,5,baseline,{},site_iid,baseline,,32,505,0,8707466062099065369,5559591917514804579,3,152,1190,"12,-32",12,-32,6.500002928078175e-5,0,ok,,,2026-07-18T09:01:57.349,2026-07-18T09:01:57.349
