schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,300,0,8236029074876593526,10804034290137880494,-2,3670,582850,"512,48",512,48,0.08611799997743219,46420,ok,,,2026-07-18T22:36:14.101,2026-07-18T22:36:14.187
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,300,1,8236029074876593526,11306082141931371696,-4,2187,66059,"512,-65",512,-65,0.008479999960400164,48436,ok,,,2026-07-18T22:36:14.187,2026-07-18T22:36:14.195
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,301,0,15900331197944442460,12681424302089283309,0,3613,266131,"-512,341",-512,341,0.039859000011347234,31031,ok,,,2026-07-18T22:36:14.195,2026-07-18T22:36:14.235
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,301,1,15900331197944442460,16616208511683210834,-1,2913,398325,"23,512",23,512,0.053900000057183206,47016,ok,,,2026-07-18T22:36:14.235,2026-07-18T22:36:14.289
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,302,0,15278249724299536506,3206368125167602723,1,3613,414255,"512,479",512,479,0.07505300000775605,38839,ok,,,2026-07-18T22:36:14.289,2026-07-18T22:36:14.364
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,302,1,15278249724299536506,13450830702264862073,-1,3727,366179,"169,-512",169,-512,0.09756500006187707,50252,ok,,,2026-07-18T22:36:14.364,2026-07-18T22:36:14.462
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,303,0,16370485066369101383,13355115930468044189,-1,2053,906821,"-175,512",-175,512,0.15309099992737174,53293,ok,,,2026-07-18T22:36:14.462,2026-07-18T22:36:14.615
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,303,1,16370485066369101383,183800848643160253,5,3303,846537,"512,-11",512,-11,0.14178599999286234,62381,ok,,,2026-07-18T22:36:14.615,2026-07-18T22:36:14.757
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,304,0,5119279703916159064,1341050957805360307,-3,3624,262144,"-512,18",-512,18,0.03544000000692904,27858,ok,,,2026-07-18T22:36:14.757,2026-07-18T22:36:14.793
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,304,1,5119279703916159064,16061194300021051283,-1,3350,568142,"512,-302",512,-302,0.09274300001561642,52400,ok,,,2026-07-18T22:36:14.793,2026-07-18T22:36:14.886
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,305,0,9238013263064474739,15902600541940795907,1,6881,1184181,"512,239",512,239,0.22885600000154227,58182,ok,,,2026-07-18T22:36:14.886,2026-07-18T22:36:15.115
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,305,1,9238013263064474739,5732843070187274734,-1,2677,408857,"512,-221",512,-221,0.05027699994388968,61238,ok,,,2026-07-18T22:36:15.115,2026-07-18T22:36:15.165
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3563,3,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,512,306,0,1182129763859600709,12773377709522439113,-2,2589,817213,"181,-512",181,-512,0.11115599994082004,47298,ok,,,2026-07-18T22:36:15.165,2026-07-18T22:36:15.276
