schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,600,0,15227291544579253211,2010824235532474330,1,171,2773,"9,-64",9,-64,0.0003839998971670866,549,ok,,,2026-07-18T15:50:22.791,2026-07-18T15:50:22.791
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,600,1,15227291544579253211,5559430620874975337,-1,282,3642,"4,64",4,64,0.00043599994387477636,825,ok,,,2026-07-18T15:50:22.791,2026-07-18T15:50:22.792
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,601,0,10044293182764626029,1952359369932658246,2,154,3960,"64,-18",64,-18,0.0004939999198541045,659,ok,,,2026-07-18T15:50:22.792,2026-07-18T15:50:22.792
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,601,1,10044293182764626029,18381593621906211539,0,275,3131,"-43,-64",-43,-64,0.0004160000244155526,852,ok,,,2026-07-18T15:50:22.792,2026-07-18T15:50:22.793
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,602,0,8418018283368169779,11819752809450475976,1,291,6181,"-25,-64",-25,-64,0.001108999946154654,791,ok,,,2026-07-18T15:50:22.793,2026-07-18T15:50:22.794
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,602,1,8418018283368169779,15036594477530112650,3,203,4217,"51,64",51,64,0.0005110000493004918,935,ok,,,2026-07-18T15:50:22.794,2026-07-18T15:50:22.794
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,603,0,8592292861886322008,3612540722077245439,-2,339,4597,"-47,64",-47,64,0.0005660000024363399,709,ok,,,2026-07-18T15:50:22.794,2026-07-18T15:50:22.795
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,603,1,8592292861886322008,6337601022068701188,-2,193,18673,"41,64",41,64,0.002786999917589128,969,ok,,,2026-07-18T15:50:22.795,2026-07-18T15:50:22.798
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,604,0,5638480404620006261,15683705333340228540,2,177,2843,"-64,35",-64,35,0.0014150000642985106,496,ok,,,2026-07-18T15:50:22.798,2026-07-18T15:50:22.799
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,604,1,5638480404620006261,11580388497765712488,3,417,7759,"-64,-9",-64,-9,0.0018999999156221747,911,ok,,,2026-07-18T15:50:22.799,2026-07-18T15:50:22.801
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,605,0,11283488849433498076,14355543786548589009,1,184,3586,"64,-24",64,-24,0.00043599994387477636,597,ok,,,2026-07-18T15:50:22.801,2026-07-18T15:50:22.801
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,605,1,11283488849433498076,12728264916081461315,2,261,2325,"-64,-1",-64,-1,0.00034899997990578413,832,ok,,,2026-07-18T15:50:22.801,2026-07-18T15:50:22.802
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,606,0,10308155277635309881,3375935222239898831,1,557,11623,"-64,3",-64,3,0.005446000024676323,933,ok,,,2026-07-18T15:50:22.802,2026-07-18T15:50:22.807
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,606,1,10308155277635309881,9278183570589986803,0,301,2921,"-35,64",-35,64,0.0008069999748840928,978,ok,,,2026-07-18T15:50:22.807,2026-07-18T15:50:22.808
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,607,0,430660062805051652,1383608233337031697,-2,383,6239,"64,-9",64,-9,0.002883999957703054,820,ok,,,2026-07-18T15:50:22.808,2026-07-18T15:50:22.811
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,607,1,430660062805051652,14095322987486850544,0,168,5524,"-64,28",-64,28,0.0012989999959245324,908,ok,,,2026-07-18T15:50:22.811,2026-07-18T15:50:22.812
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,608,0,9001398672522984654,14263405940781127450,0,239,11227,"-31,64",-31,64,0.0019580000080168247,785,ok,,,2026-07-18T15:50:22.812,2026-07-18T15:50:22.814
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,608,1,9001398672522984654,13509640071179468586,1,165,6615,"-64,5",-64,5,0.0007250000489875674,922,ok,,,2026-07-18T15:50:22.814,2026-07-18T15:50:22.815
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,609,0,11861674885030854613,12617390789475011483,-1,304,8668,"14,64",14,64,0.0010359999723732471,862,ok,,,2026-07-18T15:50:22.815,2026-07-18T15:50:22.816
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,609,1,11861674885030854613,8748221537104051880,-2,220,14832,"64,36",64,36,0.0018289999570697546,1009,ok,,,2026-07-18T15:50:22.816,2026-07-18T15:50:22.818
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,610,0,17441549458859860930,17568671119661735181,1,306,3452,"64,-20",64,-20,0.00046499993186444044,615,ok,,,2026-07-18T15:50:22.818,2026-07-18T15:50:22.818
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,610,1,17441549458859860930,6071943543652363258,1,220,1618,"-18,-64",-18,-64,0.0002500000409781933,767,ok,,,2026-07-18T15:50:22.818,2026-07-18T15:50:22.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,611,0,13403702236275569302,9748804680936757937,1,413,6997,"-64,-1",-64,-1,0.0008460000390186906,810,ok,,,2026-07-18T15:50:22.819,2026-07-18T15:50:22.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,611,1,13403702236275569302,1478303112422142682,1,194,1786,"64,-30",64,-30,0.00023900007363408804,880,ok,,,2026-07-18T15:50:22.820,2026-07-18T15:50:22.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,612,0,4427831997380845643,8144795906020324823,-2,227,4543,"-64,-51",-64,-51,0.0005700000328943133,688,ok,,,2026-07-18T15:50:22.820,2026-07-18T15:50:22.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,612,1,4427831997380845643,8928823383685143600,1,322,7524,"-64,-32",-64,-32,0.0009040000149980187,942,ok,,,2026-07-18T15:50:22.820,2026-07-18T15:50:22.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,613,0,10107313730098079512,6250921527301380006,1,193,13283,"64,1",64,1,0.001585999969393015,944,ok,,,2026-07-18T15:50:22.821,2026-07-18T15:50:22.823
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,613,1,10107313730098079512,15456153238964261717,1,164,6022,"64,-6",64,-6,0.0005619999719783664,968,ok,,,2026-07-18T15:50:22.823,2026-07-18T15:50:22.823
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,614,0,15269736822581229505,15011937406895918717,-3,215,2185,"-64,3",-64,3,0.0003179999766871333,486,ok,,,2026-07-18T15:50:22.823,2026-07-18T15:50:22.824
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,614,1,15269736822581229505,11193438130810815855,1,189,2735,"64,-19",64,-19,0.0003779999678954482,744,ok,,,2026-07-18T15:50:22.824,2026-07-18T15:50:22.824
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,615,0,44794720010323041,4157491962900288517,0,211,1651,"-33,-64",-33,-64,0.0002669999375939369,440,ok,,,2026-07-18T15:50:22.824,2026-07-18T15:50:22.824
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,615,1,44794720010323041,13182789943256880882,-2,256,6576,"6,-64",6,-64,0.0008239999879151583,898,ok,,,2026-07-18T15:50:22.824,2026-07-18T15:50:22.825
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,616,0,6028154311105015694,15879522964701864420,1,441,9729,"23,-64",23,-64,0.0012470000656321645,907,ok,,,2026-07-18T15:50:22.825,2026-07-18T15:50:22.827
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,616,1,6028154311105015694,10956116718893267684,0,155,995,"-64,15",-64,15,0.00016499997582286596,922,ok,,,2026-07-18T15:50:22.827,2026-07-18T15:50:22.827
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,617,0,14925592080976880573,3148794723381408713,0,324,4440,"-14,-64",-14,-64,0.003047000034712255,709,ok,,,2026-07-18T15:50:22.827,2026-07-18T15:50:22.830
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,617,1,14925592080976880573,7553870462894115668,2,338,3400,"54,64",54,64,0.00047800003085285425,890,ok,,,2026-07-18T15:50:22.830,2026-07-18T15:50:22.830
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,618,0,15232712192766470904,13240964355448160563,1,187,9057,"64,33",64,33,0.0009629999985918403,761,ok,,,2026-07-18T15:50:22.830,2026-07-18T15:50:22.831
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,618,1,15232712192766470904,767633030230257994,0,182,1844,"12,-64",12,-64,0.0003939999733120203,830,ok,,,2026-07-18T15:50:22.831,2026-07-18T15:50:22.832
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,619,0,4620199621919656296,14933359555614001667,-1,182,11592,"64,34",64,34,0.0013259999686852098,867,ok,,,2026-07-18T15:50:22.832,2026-07-18T15:50:22.833
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,619,1,4620199621919656296,14792736262646742367,-1,283,5329,"-64,5",-64,5,0.0006270000012591481,943,ok,,,2026-07-18T15:50:22.833,2026-07-18T15:50:22.834
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,620,0,16803229545918177483,17119512548085986580,-1,143,2197,"9,-64",9,-64,0.00027299998328089714,397,ok,,,2026-07-18T15:50:22.834,2026-07-18T15:50:22.834
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2786,6,beta,"{""a"":0.5}",site_iid,beta,0.5,64,620,1,16803229545918177483,12869875369274921771,0,302,9076,"-64,28",-64,28,0.0010830000974237919,938,ok,,,2026-07-18T15:50:22.834,2026-07-18T15:50:22.835
