schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1700,0,16554798660575849817,11323351177462363114,1,434,12870,"-128,100",-128,100,0.0016609999584034085,2018,ok,,,2026-07-18T12:50:10.890,2026-07-18T12:50:10.891
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1700,1,16554798660575849817,17729730820763637788,-2,394,15268,"8,128",8,128,0.0017579999985173345,2966,ok,,,2026-07-18T12:50:10.891,2026-07-18T12:50:10.893
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1701,0,15385941993499684369,9299975863152666507,1,769,23591,"75,128",75,128,0.0026389999547973275,2681,ok,,,2026-07-18T12:50:10.893,2026-07-18T12:50:10.896
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1701,1,15385941993499684369,2261512910895189506,0,575,9881,"-128,-55",-128,-55,0.0012740000383928418,3313,ok,,,2026-07-18T12:50:10.896,2026-07-18T12:50:10.897
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1702,0,10348919527472355739,1351349933142324980,0,753,35193,"35,128",35,128,0.004037000006064773,3174,ok,,,2026-07-18T12:50:10.897,2026-07-18T12:50:10.901
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1702,1,10348919527472355739,9154763615682335119,-3,479,11143,"128,-33",128,-33,0.0047580000245943666,3547,ok,,,2026-07-18T12:50:10.901,2026-07-18T12:50:10.906
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1703,0,14470236709285231127,4980404972183424494,-3,732,24944,"-62,128",-62,128,0.00330400001257658,2817,ok,,,2026-07-18T12:50:10.906,2026-07-18T12:50:10.909
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1703,1,14470236709285231127,2217661813700366408,0,372,9080,"-4,128",-4,128,0.0012120000319555402,3183,ok,,,2026-07-18T12:50:10.909,2026-07-18T12:50:10.910
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1704,0,4823661803684744815,13500306365271607325,-2,406,7404,"-6,-128",-6,-128,0.0010359999723732471,1365,ok,,,2026-07-18T12:50:10.910,2026-07-18T12:50:10.911
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1197,17,exponential,{},site_iid,exponential,,128,1704,1,4823661803684744815,8457359843197867962,0,762,17284,"-128,-10",-128,-10,0.0022509999107569456,2908,ok,,,2026-07-18T12:50:10.911,2026-07-18T12:50:10.914
