schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1500,0,10279376932080681055,1412267854364560473,2,39,207,"5,16",5,16,3.599992487579584e-5,81,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1500,1,10279376932080681055,14998976244321788883,-2,45,443,"-16,3",-16,3,4.800001624971628e-5,167,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1501,0,11696105173046175695,11705277111597585732,2,88,1354,"2,16",2,16,0.00013100006617605686,231,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1501,1,11696105173046175695,11368691248027212740,2,37,645,"5,16",5,16,5.000003147870302e-5,271,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1502,0,5128811735632689585,2645628609608608109,4,57,217,"-16,3",-16,3,3.999995533376932e-5,92,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1502,1,5128811735632689585,8895494539796993634,-1,27,47,"-5,16",-5,16,6.9999368861317635e-6,103,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1503,0,8260487175552284897,18426780681712797485,0,39,337,"1,-16",1,-16,5.2999937906861305e-5,118,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1503,1,8260487175552284897,2331538506980237701,1,36,230,"16,2",16,2,2.3000058718025684e-5,162,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.819
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1504,0,7829815697131785268,2110721341071890810,-2,55,1469,"-15,-16",-15,-16,0.00013699999544769526,224,ok,,,2026-07-18T10:29:08.819,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1504,1,7829815697131785268,13943655199875829850,2,49,493,"3,-16",3,-16,3.300001844763756e-5,247,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1505,0,13943531701264690292,9557336197633180401,-1,42,110,"-4,-16",-4,-16,2.2000051103532314e-5,55,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1505,1,13943531701264690292,1328866917937063539,3,66,262,"16,-6",16,-6,3.900006413459778e-5,141,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1506,0,10254680780827063623,3613502167806901996,0,37,733,"-16,11",-16,11,7.399998139590025e-5,142,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1506,1,10254680780827063623,6310970085277372265,3,65,499,"16,-9",16,-9,5.9999991208314896e-5,239,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1507,0,18423682260289026008,13940956522532128094,1,43,195,"16,-9",16,-9,3.699993249028921e-5,80,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1507,1,18423682260289026008,10829356747351848666,-1,31,127,"-16,-7",-16,-7,2.1000043489038944e-5,131,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1508,0,11787792216983856153,12425640850074200691,2,48,466,"-8,-16",-8,-16,6.600003689527512e-5,122,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1508,1,11787792216983856153,10117944529590175975,2,44,426,"-10,-16",-10,-16,3.700004890561104e-5,167,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1509,0,4388258565325517145,1945470789500833169,1,27,101,"-16,7",-16,7,2.0000035874545574e-5,50,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1509,1,4388258565325517145,14452201092032635137,-1,29,181,"-16,-5",-16,-5,2.2999942302703857e-5,96,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1510,0,7957329042651351629,10062333385968541558,1,55,2129,"-16,11",-16,11,0.00018599990289658308,254,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1510,1,7957329042651351629,3112054603426436704,1,34,378,"0,16",0,16,2.4000066332519054e-5,267,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1511,0,277224071552042565,6754888753715326531,-1,37,261,"5,-16",5,-16,4.299997817724943e-5,86,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1511,1,277224071552042565,9554195036035205810,1,24,58,"16,-4",16,-4,1.1999974958598614e-5,116,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1512,0,7743910908863966128,11242780771512520383,1,29,409,"-16,1",-16,1,4.499999340623617e-5,101,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1512,1,7743910908863966128,18067707499027026493,0,33,379,"9,16",9,16,3.300001844763756e-5,157,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1513,0,10735219314987367482,15235665682390620401,0,28,162,"16,4",16,4,3.200001083314419e-5,73,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.820
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1513,1,10735219314987367482,2693518772631937934,0,26,296,"-4,-16",-4,-16,3.700004890561104e-5,146,ok,,,2026-07-18T10:29:08.820,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1514,0,10815127576509326178,9931505838720998636,2,38,524,"-12,-16",-12,-16,5.6999968364834785e-5,119,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1514,1,10815127576509326178,6169846794078036772,2,31,381,"1,-16",1,-16,2.8999987989664078e-5,161,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1515,0,17244628359633071821,894947397936991641,-2,46,718,"2,-16",2,-16,6.499991286545992e-5,127,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1515,1,17244628359633071821,6514301539493926421,1,34,280,"-16,-10",-16,-10,3.700004890561104e-5,192,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1516,0,10686658355107897286,5788086710065179986,1,43,863,"-16,9",-16,9,8.400005754083395e-5,164,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1516,1,10686658355107897286,3110316947615530167,-2,36,116,"8,-16",8,-16,1.7999904230237007e-5,200,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1517,0,5172280245907135354,18357922746857417184,-1,36,504,"-16,2",-16,2,6.699992809444666e-5,135,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1517,1,5172280245907135354,7344970234102264932,-1,36,182,"-16,-8",-16,-8,2.1000043489038944e-5,177,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1518,0,8145664639218746281,7960161311716210581,-2,28,162,"16,0",16,0,3.900006413459778e-5,64,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1518,1,8145664639218746281,3087920246524505713,-1,36,438,"-16,8",-16,8,4.000007174909115e-5,135,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,740,15,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,16,1519,0,17080866964963499580,7518448304447489900,0,59,269,"-7,-16",-7,-16,4.199997056275606e-5,86,ok,,,2026-07-18T10:29:08.821,2026-07-18T10:29:08.821
