schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,300,0,6741101140059026158,2421418595109387154,-1,2030,208712,"-208,512",-208,512,0.10783699993044138,28097,ok,,,2026-07-18T16:59:37.238,2026-07-18T16:59:37.346
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,300,1,6741101140059026158,10768897748492468505,1,2366,377724,"-212,-512",-212,-512,0.17064899997785687,51687,ok,,,2026-07-18T16:59:37.346,2026-07-18T16:59:37.517
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,301,0,4472963945367557873,2836723505330522848,0,2292,600978,"-304,-512",-304,-512,0.30643299990333617,49926,ok,,,2026-07-18T16:59:37.517,2026-07-18T16:59:37.823
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,301,1,4472963945367557873,6274225714977391476,1,2506,769252,"512,78",512,78,0.33072399999946356,60676,ok,,,2026-07-18T16:59:37.824,2026-07-18T16:59:38.154
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,302,0,12258743960710784604,16966659389204166845,2,3163,509515,"189,-512",189,-512,0.27902500005438924,45411,ok,,,2026-07-18T16:59:38.155,2026-07-18T16:59:38.434
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,302,1,12258743960710784604,16767579769868934746,-1,2341,538281,"-341,512",-341,512,0.29145799996331334,59092,ok,,,2026-07-18T16:59:38.434,2026-07-18T16:59:38.725
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,303,0,18025156801414434641,9363841769860774439,-1,4425,1180889,"512,-291",512,-291,0.5787479999708012,60645,ok,,,2026-07-18T16:59:38.725,2026-07-18T16:59:39.304
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,303,1,18025156801414434641,9321783158985147877,0,2116,783820,"192,512",192,512,0.3370080000022426,63604,ok,,,2026-07-18T16:59:39.304,2026-07-18T16:59:39.641
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,304,0,428767990916189119,13424253402700204109,-2,3517,361291,"-421,512",-421,512,0.11561199999414384,40229,ok,,,2026-07-18T16:59:39.642,2026-07-18T16:59:39.757
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,304,1,428767990916189119,6484935616488581971,0,3057,397413,"-103,-512",-103,-512,0.13494400004856288,54051,ok,,,2026-07-18T16:59:39.757,2026-07-18T16:59:39.892
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,305,0,2179486352461149915,8161710713246946451,1,3035,159675,"-283,512",-283,512,0.17680699995253235,24703,ok,,,2026-07-18T16:59:39.892,2026-07-18T16:59:40.069
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3383,3,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,305,1,2179486352461149915,14833343843609893042,-2,2920,169898,"-334,-512",-334,-512,0.07713799993507564,41529,ok,,,2026-07-18T16:59:40.069,2026-07-18T16:59:40.147
