schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1900,0,830987462185354211,10701676026814127874,0,51,339,"-16,11",-16,11,0.000480000046081841,133,ok,,,2026-07-18T13:18:55.187,2026-07-18T13:18:55.187
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1900,1,830987462185354211,8684587884394058537,0,51,1317,"5,-16",5,-16,0.0002839999506250024,343,ok,,,2026-07-18T13:18:55.187,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1901,0,5848587951011871955,16346254876840573592,1,56,456,"-10,16",-10,16,0.00013399997260421515,160,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1901,1,5848587951011871955,1244212834193365271,0,28,102,"16,2",16,2,2.8999987989664078e-5,187,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1902,0,1994617618877279521,16958010900615329386,-1,31,107,"1,16",1,16,4.000007174909115e-5,51,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1902,1,1994617618877279521,18286929524675914987,1,31,93,"-3,-16",-3,-16,3.700004890561104e-5,97,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1903,0,6491787267260519708,15956159841748741674,1,33,269,"16,3",16,3,8.000002708286047e-5,100,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1903,1,6491787267260519708,716380228879396628,1,50,182,"14,16",14,16,5.6999968364834785e-5,162,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1904,0,16911513640164621575,8840974272285821236,0,39,379,"-16,-9",-16,-9,0.00011000002268701792,128,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1904,1,16911513640164621575,4228465630870033359,2,50,1084,"4,-16",4,-16,0.0001949999714270234,277,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1905,0,14096417236967706251,9991095568546533681,1,29,241,"-16,1",-16,1,6.500002928078175e-5,79,ok,,,2026-07-18T13:18:55.188,2026-07-18T13:18:55.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1905,1,14096417236967706251,5882047631521564607,1,37,403,"-16,-1",-16,-1,7.299997378140688e-5,142,ok,,,2026-07-18T13:18:55.189,2026-07-18T13:18:55.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1906,0,6294113798220145643,14414870770942464291,0,43,947,"-16,-1",-16,-1,0.00021700002253055573,222,ok,,,2026-07-18T13:18:55.189,2026-07-18T13:18:55.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1906,1,6294113798220145643,4871898735290828760,-1,54,332,"-16,0",-16,0,6.499991286545992e-5,273,ok,,,2026-07-18T13:18:55.189,2026-07-18T13:18:55.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1907,0,4745491376905196679,6717792023453684164,0,69,331,"-1,-16",-1,-16,0.00010499998461455107,127,ok,,,2026-07-18T13:18:55.189,2026-07-18T13:18:55.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1907,1,4745491376905196679,6477676439855094707,1,41,323,"5,-16",5,-16,6.500002928078175e-5,187,ok,,,2026-07-18T13:18:55.189,2026-07-18T13:18:55.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1908,0,12406308559023786756,4205606973774101371,0,59,397,"5,-16",5,-16,0.0001129999291151762,132,ok,,,2026-07-18T13:18:55.189,2026-07-18T13:18:55.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1908,1,12406308559023786756,16441095079026631498,1,30,184,"2,-16",2,-16,4.299997817724943e-5,176,ok,,,2026-07-18T13:18:55.189,2026-07-18T13:18:55.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1909,0,825340841657861315,4440360611820788238,2,70,710,"16,12",16,12,0.0001319999573752284,228,ok,,,2026-07-18T13:18:55.189,2026-07-18T13:18:55.190
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1909,1,825340841657861315,14867638923974578872,1,69,501,"-16,7",-16,7,6.3000014051795e-5,297,ok,,,2026-07-18T13:18:55.190,2026-07-18T13:18:55.190
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1289,19,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,1910,0,13354748182653423812,9827585328815221050,-2,50,174,"16,4",16,4,4.299997817724943e-5,91,ok,,,2026-07-18T13:18:55.190,2026-07-18T13:18:55.190
