schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1300,0,15919531736790712193,4646191338618796928,-2,235,7757,"-9,64",-9,64,0.0007569999434053898,773,ok,,,2026-07-18T13:49:15.646,2026-07-18T13:49:15.647
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1300,1,15919531736790712193,15725328264555698875,2,160,5024,"38,64",38,64,0.0004389999667182565,889,ok,,,2026-07-18T13:49:15.647,2026-07-18T13:49:15.647
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1301,0,10104295370509266339,2147967600519809746,1,229,4961,"-3,64",-3,64,0.000534999999217689,745,ok,,,2026-07-18T13:49:15.647,2026-07-18T13:49:15.648
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1301,1,10104295370509266339,10965490574786734269,-2,186,2500,"10,64",10,64,0.00024999992456287146,827,ok,,,2026-07-18T13:49:15.648,2026-07-18T13:49:15.648
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1302,0,13873781332274702555,14991362612891874696,-2,403,4993,"-59,64",-59,64,0.000965000013820827,710,ok,,,2026-07-18T13:49:15.648,2026-07-18T13:49:15.649
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1302,1,13873781332274702555,15210504100962761964,1,184,7156,"64,-2",64,-2,0.0007380000315606594,949,ok,,,2026-07-18T13:49:15.649,2026-07-18T13:49:15.650
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1303,0,15879199246089055774,13920443697759997680,0,147,2279,"64,11",64,11,0.00023200002033263445,394,ok,,,2026-07-18T13:49:15.650,2026-07-18T13:49:15.650
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1303,1,15879199246089055774,2757117987509642185,0,122,12300,"4,-64",4,-64,0.001128000090830028,931,ok,,,2026-07-18T13:49:15.650,2026-07-18T13:49:15.651
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1304,0,9123549109042919720,7273456839821764594,-1,236,21076,"-16,-64",-16,-64,0.0017430000007152557,970,ok,,,2026-07-18T13:49:15.651,2026-07-18T13:49:15.653
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1563,13,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,64,1304,1,9123549109042919720,10599603238466938887,4,209,2099,"-19,-64",-19,-64,0.00022299995180219412,988,ok,,,2026-07-18T13:49:15.653,2026-07-18T13:49:15.653
