schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,200,0,14786084068438860124,10422104986411076516,1,2359,58835,"65,256",65,256,0.014678000006824732,10201,ok,,,2026-07-18T14:53:53.625,2026-07-18T14:53:53.640
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,200,1,14786084068438860124,7235468799150589412,1,1351,123765,"-256,-181",-256,-181,0.024268000037409365,15065,ok,,,2026-07-18T14:53:53.640,2026-07-18T14:53:53.664
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,201,0,11181819728990264288,8123811939746157443,0,1329,26363,"117,256",117,256,0.004972000024281442,5976,ok,,,2026-07-18T14:53:53.664,2026-07-18T14:53:53.669
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,201,1,11181819728990264288,740276530047784693,1,623,17995,"256,33",256,33,0.004776000045239925,8498,ok,,,2026-07-18T14:53:53.669,2026-07-18T14:53:53.674
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,202,0,667424614121553633,16532685909454130594,0,844,60616,"6,-256",6,-256,0.009744000039063394,9342,ok,,,2026-07-18T14:53:53.674,2026-07-18T14:53:53.684
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,202,1,667424614121553633,11727353719746892968,0,1355,53575,"256,115",256,115,0.015050000045448542,12796,ok,,,2026-07-18T14:53:53.684,2026-07-18T14:53:53.699
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,203,0,11436022566988836331,8961750302810579361,0,1070,38226,"-92,256",-92,256,0.006452000001445413,7503,ok,,,2026-07-18T14:53:53.699,2026-07-18T14:53:53.705
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,203,1,11436022566988836331,6393070246257900769,2,1214,42110,"256,-58",256,-58,0.01902799995150417,10791,ok,,,2026-07-18T14:53:53.705,2026-07-18T14:53:53.724
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,204,0,5886397524234321657,8153653506430300207,0,1134,73168,"198,256",198,256,0.022751000011339784,10987,ok,,,2026-07-18T14:53:53.724,2026-07-18T14:53:53.747
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,204,1,5886397524234321657,1554447563564472901,-1,731,38993,"-256,-9",-256,-9,0.015389999956823885,13334,ok,,,2026-07-18T14:53:53.747,2026-07-18T14:53:53.763
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,205,0,4791311324408110145,8861295806393761080,-2,1338,312462,"-256,-16",-256,-16,0.062479999964125454,15744,ok,,,2026-07-18T14:53:53.763,2026-07-18T14:53:53.826
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,205,1,4791311324408110145,7545701445823836520,1,786,51176,"-22,-256",-22,-256,0.007925000041723251,16049,ok,,,2026-07-18T14:53:53.826,2026-07-18T14:53:53.834
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,206,0,17273075935310043108,4875272376602267769,0,1159,182253,"-183,256",-183,256,0.058410000056028366,14367,ok,,,2026-07-18T14:53:53.834,2026-07-18T14:53:53.892
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2282,2,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,256,206,1,17273075935310043108,6530237814359801235,-3,1016,115794,"-256,94",-256,94,0.019638000056147575,15686,ok,,,2026-07-18T14:53:53.892,2026-07-18T14:53:53.912
