schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1200,0,11082298395150411779,9819005304918504497,-3,6553,1790137,"-1024,483",-1024,483,0.3205059999600053,176567,ok,,,2026-07-18T23:01:41.177,2026-07-18T23:01:41.497
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1200,1,11082298395150411779,12316349042474732484,1,4454,129028,"-1024,-412",-1024,-412,0.023665999993681908,186238,ok,,,2026-07-18T23:01:41.497,2026-07-18T23:01:41.521
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1201,0,7234495789630896859,10288401872585236580,2,10956,960672,"1024,322",1024,322,0.16394899995066226,141022,ok,,,2026-07-18T23:01:41.525,2026-07-18T23:01:41.689
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1201,1,7234495789630896859,16423663687332449828,6,12307,2982985,"1024,207",1024,207,0.5440859999507666,235644,ok,,,2026-07-18T23:01:41.689,2026-07-18T23:01:42.234
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1202,0,17770473664004246168,15437889379994531152,2,8126,339612,"1024,-738",1024,-738,0.05837800004519522,67682,ok,,,2026-07-18T23:01:42.234,2026-07-18T23:01:42.292
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1202,1,17770473664004246168,11370038712078642879,-4,14534,2308422,"482,-1024",482,-1024,0.37741499999538064,214374,ok,,,2026-07-18T23:01:42.292,2026-07-18T23:01:42.670
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1203,0,17143952430075219345,17286518319768276793,-2,8193,2030077,"567,1024",567,1024,0.35305000003427267,191027,ok,,,2026-07-18T23:01:42.670,2026-07-18T23:01:43.023
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1203,1,17143952430075219345,17213370155196061439,-1,5764,1018664,"1024,-480",1024,-480,0.17016900004819036,222709,ok,,,2026-07-18T23:01:43.023,2026-07-18T23:01:43.193
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1204,0,1074013818074683693,14756694867450098919,1,11129,1560507,"-281,-1024",-281,-1024,0.3070010000374168,170057,ok,,,2026-07-18T23:01:43.198,2026-07-18T23:01:43.505
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3772,12,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1204,1,1074013818074683693,3997164581081732946,0,4543,255911,"-531,-1024",-531,-1024,0.04187600000295788,187887,ok,,,2026-07-18T23:01:43.505,2026-07-18T23:01:43.547
