schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2600,0,2046234853483412296,16749875579631503601,0,45,497,"16,-1",16,-1,5.6999968364834785e-5,147,ok,,,2026-07-18T15:18:00.041,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2600,1,2046234853483412296,3599459273246040655,-1,28,96,"4,16",4,16,1.0999967344105244e-5,166,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2601,0,6104733674638893364,6626188395436906296,-1,92,444,"-16,-4",-16,-4,6.3000014051795e-5,171,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2601,1,6104733674638893364,3426732114959227330,-4,42,408,"16,6",16,6,4.700000863522291e-5,265,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2602,0,7441125583954869107,14824947233619877892,-2,38,280,"8,-16",8,-16,4.100007936358452e-5,119,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2602,1,7441125583954869107,17120598161770258808,2,36,364,"6,16",6,16,3.700004890561104e-5,203,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2603,0,245616645038992708,2196337788565854026,-1,40,178,"8,16",8,16,2.4999957531690598e-5,75,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2603,1,245616645038992708,7738170961606080385,-1,75,251,"-16,-15",-16,-15,4.099996294826269e-5,182,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2604,0,1155316392029976910,4152712328334699888,3,34,430,"-2,16",-2,16,5.200004670768976e-5,123,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2376,26,uniform,"{""a"":0.7}",site_iid,uniform,0.7,16,2604,1,1155316392029976910,3892814118103657368,3,59,421,"-16,5",-16,5,3.799994010478258e-5,191,ok,,,2026-07-18T15:18:00.042,2026-07-18T15:18:00.042
