schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3000,0,11780271055474202419,13703748088419740001,-1,391,6685,"128,-11",128,-11,0.001184999942779541,1219,ok,,,2026-07-18T16:16:42.089,2026-07-18T16:16:42.090
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3000,1,11780271055474202419,14995366828264051407,0,596,38484,"-28,128",-28,128,0.0051499999826774,3202,ok,,,2026-07-18T16:16:42.090,2026-07-18T16:16:42.095
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3001,0,12661097472013377176,5766187136863526883,0,485,13299,"-39,128",-39,128,0.0019839999731630087,1700,ok,,,2026-07-18T16:16:42.096,2026-07-18T16:16:42.098
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3001,1,12661097472013377176,10414591940778306144,3,721,24943,"-47,-128",-47,-128,0.0038269999204203486,3246,ok,,,2026-07-18T16:16:42.098,2026-07-18T16:16:42.102
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3002,0,1972154058394065752,5564210986338878291,0,354,68800,"-128,-58",-128,-58,0.009414999978616834,3645,ok,,,2026-07-18T16:16:42.102,2026-07-18T16:16:42.111
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3002,1,1972154058394065752,16033177109619823154,-1,376,9578,"32,128",32,128,0.0012760000536218286,3696,ok,,,2026-07-18T16:16:42.111,2026-07-18T16:16:42.112
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3003,0,17886989923035669705,2936563230275458121,-2,706,26388,"58,-128",58,-128,0.003293000045232475,2264,ok,,,2026-07-18T16:16:42.112,2026-07-18T16:16:42.116
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3003,1,17886989923035669705,4524697240539684188,1,673,24445,"51,-128",51,-128,0.004673999967053533,3339,ok,,,2026-07-18T16:16:42.116,2026-07-18T16:16:42.120
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3004,0,5497457193255769641,1486903077806624393,1,573,4795,"128,45",128,45,0.0013150000013411045,1009,ok,,,2026-07-18T16:16:42.120,2026-07-18T16:16:42.122
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3004,1,5497457193255769641,12355132551868026111,0,455,9003,"39,-128",39,-128,0.0019439999014139175,1837,ok,,,2026-07-18T16:16:42.122,2026-07-18T16:16:42.124
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3005,0,1761964538402088158,6119873067349811911,-1,578,9922,"-66,128",-66,128,0.0019209999591112137,1778,ok,,,2026-07-18T16:16:42.124,2026-07-18T16:16:42.126
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3005,1,1761964538402088158,2818490402855216029,2,606,21764,"-128,-110",-128,-110,0.014368999982252717,2980,ok,,,2026-07-18T16:16:42.126,2026-07-18T16:16:42.140
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3006,0,6242248107799234551,9005344513658834213,3,673,61073,"-63,-128",-63,-128,0.01264400000218302,3247,ok,,,2026-07-18T16:16:42.140,2026-07-18T16:16:42.153
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3006,1,6242248107799234551,5736424609519457077,0,689,24479,"128,-87",128,-87,0.0036349999718368053,3745,ok,,,2026-07-18T16:16:42.153,2026-07-18T16:16:42.156
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3007,0,913054518096377833,16896427854581345537,-3,669,30683,"87,-128",87,-128,0.0073880000272765756,2422,ok,,,2026-07-18T16:16:42.156,2026-07-18T16:16:42.164
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3007,1,913054518096377833,10192899686903561149,1,690,19956,"22,-128",22,-128,0.0026439999928697944,3121,ok,,,2026-07-18T16:16:42.164,2026-07-18T16:16:42.166
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3008,0,14604525308738882374,18286912164728316032,0,396,26674,"-128,16",-128,16,0.003081000060774386,2116,ok,,,2026-07-18T16:16:42.167,2026-07-18T16:16:42.170
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3070,30,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,128,3008,1,14604525308738882374,8921534246997903558,-2,526,38582,"128,-12",128,-12,0.004673999967053533,3360,ok,,,2026-07-18T16:16:42.170,2026-07-18T16:16:42.174
