schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1600,0,16674338881255694755,4036376634691361804,-1,44,288,"-16,2",-16,2,1.1999974958598614e-5,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1601,0,15073299955254983349,15029256944281089927,0,25,69,"-7,-16",-7,-16,3.00002284348011e-6,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1602,0,428128472193135994,10546401046665794027,1,31,119,"-7,16",-7,16,3.999972250312567e-6,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1603,0,6751071401173838095,1902883700528610699,-1,43,127,"16,1",16,1,4.999979864805937e-6,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1604,0,11979716889216021542,1381611113810982720,1,36,248,"-16,4",-16,4,9.000010322779417e-6,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1605,0,3089761295675102816,10467291801168342170,4,57,437,"-16,5",-16,5,1.2999982573091984e-5,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1606,0,9694854921639401755,9927775239804147827,-2,35,605,"15,-16",15,-16,1.6000005416572094e-5,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1607,0,5654509966692666299,9722098309536628623,0,26,400,"4,-16",4,-16,1.2999982573091984e-5,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1608,0,14468037273543303949,5976458328808544745,1,24,76,"-16,2",-16,2,2.9999646358191967e-6,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1609,0,16058157392960729176,17316938285804505042,1,24,370,"16,-4",16,-4,1.1000025551766157e-5,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1610,0,2900624778503097534,15937221386765872437,0,24,440,"16,6",16,6,1.2000033166259527e-5,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,16,16,baseline,{},site_iid,baseline,,16,1611,0,2318107342205387141,14853294251117832306,2,47,191,"-16,5",-16,5,6.999995093792677e-6,0,ok,,,2026-07-13T12:59:07.049,2026-07-13T12:59:07.049
