schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1600,0,6942864892606910657,14464568174688180558,-2,568,25882,"-94,128",-94,128,0.0033239999902434647,3049,ok,,,2026-07-15T11:06:58.329,2026-07-15T11:06:58.332
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1601,0,9588206932297824416,3563038759227374868,0,438,66550,"-24,-128",-24,-128,0.009901000012177974,3764,ok,,,2026-07-15T11:06:58.332,2026-07-15T11:06:58.342
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1602,0,4895630165989626409,11186635624192373511,0,442,29880,"-98,128",-98,128,0.00414099998306483,2902,ok,,,2026-07-15T11:06:58.342,2026-07-15T11:06:58.347
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1603,0,5238692753783905751,15337906626892467428,-1,398,47674,"24,128",24,128,0.005591999972239137,3493,ok,,,2026-07-15T11:06:58.347,2026-07-15T11:06:58.352
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1604,0,1964153560179840996,4415179481784336714,2,506,11152,"128,90",128,90,0.0015570000396110117,1906,ok,,,2026-07-15T11:06:58.352,2026-07-15T11:06:58.354
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1605,0,9071220138057534739,9847750886176486916,2,348,32684,"32,-128",32,-128,0.006932000047527254,2892,ok,,,2026-07-15T11:06:58.354,2026-07-15T11:06:58.361
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1606,0,216668668778753468,3576586040591843542,-3,579,8275,"107,128",107,128,0.0011959999683313072,1624,ok,,,2026-07-15T11:06:58.361,2026-07-15T11:06:58.362
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1607,0,7539171230252962857,18234450095548647559,0,626,29654,"56,-128",56,-128,0.003971999976783991,2895,ok,,,2026-07-15T11:06:58.362,2026-07-15T11:06:58.366
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1608,0,17352832806435573978,11469607879221082110,1,619,58089,"95,128",95,128,0.00793999998131767,3625,ok,,,2026-07-15T11:06:58.366,2026-07-15T11:06:58.374
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3536,16,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,128,1609,0,14224020125739686202,2262053146898199753,0,331,4355,"-128,-23",-128,-23,0.000770999991800636,1018,ok,,,2026-07-15T11:06:58.374,2026-07-15T11:06:58.375
