schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1500,0,12665013788416692678,4509130791452914605,-1,33,349,"-16,-1",-16,-1,4.2000028770416975e-5,88,ok,,,2026-07-14T15:25:32.330,2026-07-14T15:25:32.330
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1501,0,6323649304466697867,1080484962486987601,0,30,184,"-4,16",-4,16,2.500001573935151e-5,72,ok,,,2026-07-14T15:25:32.330,2026-07-14T15:25:32.330
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1502,0,10502986013455755631,18153540380630481671,0,30,82,"-6,-16",-6,-16,1.1999974958598614e-5,37,ok,,,2026-07-14T15:25:32.330,2026-07-14T15:25:32.330
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1503,0,12590983858077909383,7655912466885169602,0,27,255,"16,3",16,3,2.400000812485814e-5,59,ok,,,2026-07-14T15:25:32.330,2026-07-14T15:25:32.330
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1504,0,8021278305841015293,1616405855173502104,1,38,220,"-16,8",-16,8,3.200001083314419e-5,83,ok,,,2026-07-14T15:25:32.330,2026-07-14T15:25:32.331
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1505,0,10117671670798466937,6199816166867295711,0,38,138,"16,2",16,2,2.0000035874545574e-5,60,ok,,,2026-07-14T15:25:32.331,2026-07-14T15:25:32.331
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1506,0,7363150932298198287,660564642533668948,-1,47,329,"-9,-16",-9,-16,3.7999998312443495e-5,103,ok,,,2026-07-14T15:25:32.331,2026-07-14T15:25:32.331
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1507,0,8077274846136544561,10521620730088561734,0,65,193,"11,-16",11,-16,3.100000321865082e-5,92,ok,,,2026-07-14T15:25:32.331,2026-07-14T15:25:32.331
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1508,0,4031249836700175395,15061162126932487998,1,29,183,"1,16",1,16,2.400000812485814e-5,66,ok,,,2026-07-14T15:25:32.331,2026-07-14T15:25:32.331
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1105,15,exponential,{},site_iid,exponential,,16,1509,0,1232708255066090966,14198000878008453342,2,51,965,"-3,16",-3,16,8.800002979114652e-5,186,ok,,,2026-07-14T15:25:32.331,2026-07-14T15:25:32.331
