schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3300,0,16950446963197910067,11012011412719018964,-1,4731,1398401,"-512,-155",-512,-155,0.32491100003244355,49468,ok,,,2026-07-13T13:21:18.259,2026-07-13T13:21:18.584
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3301,0,4214137378494084777,17174313142330785640,1,3310,229350,"142,-512",142,-512,0.04131599998800084,19944,ok,,,2026-07-13T13:21:18.584,2026-07-13T13:21:18.626
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3302,0,11149832586897674437,15932380351551813724,-2,3821,798359,"-512,-85",-512,-85,0.16896099998848513,44630,ok,,,2026-07-13T13:21:18.626,2026-07-13T13:21:18.795
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3303,0,14739453259795821238,15317536533605991984,1,4044,458096,"310,512",310,512,0.07850399997550994,30097,ok,,,2026-07-13T13:21:18.795,2026-07-13T13:21:18.874
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3304,0,14639040328383856331,16644126223858051667,-2,5858,620760,"-144,-512",-144,-512,0.11181800003396347,33987,ok,,,2026-07-13T13:21:18.874,2026-07-13T13:21:18.986
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3305,0,583471070877575989,652558809395698335,1,2699,211385,"-19,512",-19,512,0.05003699997905642,20052,ok,,,2026-07-13T13:21:18.986,2026-07-13T13:21:19.036
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3306,0,11837492659392072076,15543836027222531045,1,2170,210368,"-134,512",-134,512,0.045925999991595745,19457,ok,,,2026-07-13T13:21:19.036,2026-07-13T13:21:19.082
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3307,0,10321095365887397290,8123131450641880431,1,2329,1169443,"173,-512",173,-512,0.3923880000365898,44135,ok,,,2026-07-13T13:21:19.082,2026-07-13T13:21:19.475
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3308,0,5813764036346939334,16140171609809964513,2,2598,204372,"-512,14",-512,14,0.1106100000324659,18198,ok,,,2026-07-13T13:21:19.475,2026-07-13T13:21:19.586
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3309,0,16774831746279947000,15964413207682747420,-4,2752,737566,"-130,-512",-130,-512,0.1433790000155568,40698,ok,,,2026-07-13T13:21:19.586,2026-07-13T13:21:19.729
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3310,0,10739107949245246997,12149644822758250155,3,2523,693879,"-403,-512",-403,-512,0.12385400000493973,25631,ok,,,2026-07-13T13:21:19.729,2026-07-13T13:21:19.853
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3311,0,2928883981935016150,12797695707976051378,-3,2808,330096,"512,426",512,426,0.06811999995261431,25060,ok,,,2026-07-13T13:21:19.853,2026-07-13T13:21:19.921
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3312,0,14894612957023705606,5458800921414165541,3,3313,792915,"151,-512",151,-512,0.22006900003179908,41714,ok,,,2026-07-13T13:21:19.922,2026-07-13T13:21:20.142
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3313,0,552725823423626054,11677850273867979878,0,2829,3517913,"512,345",512,345,0.6812260000151582,61872,ok,,,2026-07-13T13:21:20.142,2026-07-13T13:21:20.823
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3314,0,5722693514948696361,5571705335523497699,0,2435,204217,"-512,-17",-512,-17,0.03830999997444451,19269,ok,,,2026-07-13T13:21:20.823,2026-07-13T13:21:20.862
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3315,0,16748707173245988634,14837819812555356982,2,3819,484933,"339,512",339,512,0.0886010000249371,32804,ok,,,2026-07-13T13:21:20.862,2026-07-13T13:21:20.950
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3316,0,13938495802811618745,7207635973082080943,-2,2807,195353,"121,-512",121,-512,0.05609199998434633,19066,ok,,,2026-07-13T13:21:20.950,2026-07-13T13:21:21.007
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3317,0,4291845621286081448,13923008178828680705,-3,4493,970761,"512,-279",512,-279,0.13908699998864904,38595,ok,,,2026-07-13T13:21:21.007,2026-07-13T13:21:21.146
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3318,0,15026210948772080160,2191729409103085981,0,3314,636256,"226,512",226,512,0.12065500003518537,40203,ok,,,2026-07-13T13:21:21.146,2026-07-13T13:21:21.267
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3319,0,1965211438887324646,16679206678038250185,-3,2608,899326,"102,512",102,512,0.15025799995055422,44675,ok,,,2026-07-13T13:21:21.267,2026-07-13T13:21:21.417
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3320,0,1663254251868628454,8880126918646023999,-6,4986,743784,"-64,-512",-64,-512,0.10559799999464303,39116,ok,,,2026-07-13T13:21:21.417,2026-07-13T13:21:21.523
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,648,33,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3321,0,10604285806857416182,16126969303499822027,1,3180,434146,"-328,512",-328,512,0.06688699999358505,28205,ok,,,2026-07-13T13:21:21.523,2026-07-13T13:21:21.590
