schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2100,0,16176337672724880349,4480471089772155680,-1,26,70,"2,-16",2,-16,3.600004129111767e-5,36,ok,,,2026-07-14T15:08:40.551,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2101,0,1417198582803965824,16536107027415696590,-2,46,306,"0,-16",0,-16,0.00010499998461455107,119,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2102,0,1062095764659947913,16325117287024752584,0,30,754,"0,-16",0,-16,0.00020400003995746374,187,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2103,0,6913030109167888207,14419001681693562197,1,47,673,"-16,3",-16,3,0.00011200003791600466,180,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2104,0,9976860915365096413,11060624529541276528,1,29,143,"-16,9",-16,9,3.100000321865082e-5,65,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2105,0,4619898577319465929,10972031003002922656,-3,65,439,"-16,3",-16,3,8.700002217665315e-5,168,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2106,0,11416416823977293134,13594309056092519296,-2,51,251,"-5,-16",-5,-16,5.100003909319639e-5,100,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2107,0,452172964183245867,17811832784037848750,-2,84,506,"6,-16",6,-16,9.599997429177165e-5,170,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2108,0,13926333427247421932,3990470240799041292,-1,35,543,"-3,-16",-3,-16,7.199996616691351e-5,122,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2109,0,4622933052322902315,8453064527298290092,0,42,908,"-8,16",-8,16,0.00011600001016631722,184,ok,,,2026-07-14T15:08:40.552,2026-07-14T15:08:40.553
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2110,0,4679958075941794489,7328233785138769104,2,46,254,"16,8",16,8,5.099998088553548e-5,105,ok,,,2026-07-14T15:08:40.553,2026-07-14T15:08:40.553
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2111,0,2241023353892478670,5445731528425033216,0,25,263,"1,-16",1,-16,4.39999857917428e-5,83,ok,,,2026-07-14T15:08:40.553,2026-07-14T15:08:40.553
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,931,21,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,16,2112,0,8317928269418763641,822847411708393144,3,39,135,"3,-16",3,-16,3.300001844763756e-5,69,ok,,,2026-07-14T15:08:40.553,2026-07-14T15:08:40.553
