schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3300,0,13837453426160887781,6114462343811802581,-1,28,838,"-6,16",-6,16,0.00015400000847876072,218,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3301,0,15034958262324344243,18044258920629512834,-1,39,205,"13,16",13,16,3.9000005926936865e-5,77,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3302,0,4466333069805503546,7179473120576404951,1,39,1027,"16,13",16,13,0.00011099997209385037,183,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3303,0,9668364710080660188,10943939221835485161,0,26,84,"-16,-2",-16,-2,1.4999997802078724e-5,31,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3304,0,3202611989713813317,6106114653559137482,-1,51,229,"-7,-16",-7,-16,4.499999340623617e-5,97,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3305,0,8908639368948142462,17353430262499358412,0,51,555,"-9,-16",-9,-16,8.000002708286047e-5,152,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3306,0,393692022550492187,9579107342851884685,0,50,360,"-6,16",-6,16,0.00010000000474974513,128,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3307,0,1208542017407119041,8796383713256898186,1,33,113,"-16,11",-16,11,5.000003147870302e-5,57,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3308,0,15942966505018804799,6977484807350551647,-4,51,499,"-9,16",-9,16,0.00015400000847876072,187,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3309,0,17160901468525189139,13151080246119855593,-2,55,135,"16,3",16,3,3.7999998312443495e-5,76,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3310,0,3622345298195930837,8803123168179629969,1,30,142,"2,-16",2,-16,2.8999987989664078e-5,55,ok,,,2026-07-15T10:52:22.219,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3311,0,10015312256388372953,16634542238317249702,-3,67,625,"-5,16",-5,16,0.00018199998885393143,168,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3312,0,17338220495567720849,13853085887791141542,0,32,404,"2,16",2,16,0.0001230000052601099,129,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3313,0,16965681686340021290,9736047345696453420,-2,54,200,"-16,4",-16,4,7.399998139590025e-5,73,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3314,0,14865827453094806824,13441118488499522298,1,32,256,"-16,8",-16,8,8.099997648969293e-5,84,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3315,0,1209122469436260552,18399028808501086888,1,49,479,"-3,16",-3,16,7.599999662488699e-5,147,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3316,0,2081435023799258251,6437327603874177070,1,24,838,"-2,-16",-2,-16,0.00010200001997873187,172,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3317,0,1575201014667574620,2759178120686302800,-1,32,172,"-2,-16",-2,-16,3.400002606213093e-5,83,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3318,0,6203675689866081736,6681250167777040673,0,30,142,"2,16",2,16,2.2000051103532314e-5,49,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3319,0,6291907635648582758,658892511753543780,2,76,832,"-2,-16",-2,-16,0.00011199997970834374,186,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3283,33,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,16,3320,0,9163666764270679776,9282028144144681528,1,35,123,"-16,3",-16,3,2.19999928958714e-5,50,ok,,,2026-07-15T10:52:22.220,2026-07-15T10:52:22.220
