schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3500,0,15276646218005537292,10656319636025075278,-1,42,360,"16,8",16,8,0.00015599996550008655,122,ok,,,2026-07-14T15:43:25.851,2026-07-14T15:43:25.851
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3501,0,5652556789845429955,6968841370796832719,-1,45,723,"-16,1",-16,1,0.0002799999783746898,237,ok,,,2026-07-14T15:43:25.851,2026-07-14T15:43:25.852
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3502,0,840243865460932195,9165206016287193619,-1,37,105,"-16,-13",-16,-13,6.0999998822808266e-5,56,ok,,,2026-07-14T15:43:25.852,2026-07-14T15:43:25.852
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3503,0,10086625776449486685,4676636284731357759,2,47,161,"16,-15",16,-15,8.19999841041863e-5,86,ok,,,2026-07-14T15:43:25.852,2026-07-14T15:43:25.852
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3504,0,15734100403762229082,16456495985806461255,0,40,130,"12,16",12,16,6.500002928078175e-5,65,ok,,,2026-07-14T15:43:25.852,2026-07-14T15:43:25.852
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3505,0,10606010265500667844,7020766554485522919,2,57,535,"-16,-1",-16,-1,0.00018100003944709897,149,ok,,,2026-07-14T15:43:25.852,2026-07-14T15:43:25.852
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3506,0,15061562882995376081,10171413369548974406,0,56,188,"-16,14",-16,14,8.299999171867967e-5,81,ok,,,2026-07-14T15:43:25.852,2026-07-14T15:43:25.852
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3507,0,2031138511046677437,17152276032124240324,-1,31,241,"3,-16",3,-16,8.700002217665315e-5,80,ok,,,2026-07-14T15:43:25.852,2026-07-14T15:43:25.852
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3508,0,805591867843591150,9641177581322694895,0,59,245,"5,16",5,16,0.00010299996938556433,104,ok,,,2026-07-14T15:43:25.852,2026-07-14T15:43:25.852
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1305,35,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,16,3509,0,6899795273132473287,17356093966448966868,0,29,185,"1,16",1,16,8.299999171867967e-5,86,ok,,,2026-07-14T15:43:25.852,2026-07-14T15:43:25.853
