schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1600,0,10211052782797977177,6608934408263152967,0,2468,357356,"-380,-512",-380,-512,0.028595999989192933,36183,ok,,,2026-07-14T16:26:08.743,2026-07-14T16:26:08.772
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1601,0,12619132359586286761,7164009885747933525,-2,2757,225435,"-429,-512",-429,-512,0.025768999999854714,26753,ok,,,2026-07-14T16:26:08.772,2026-07-14T16:26:08.798
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1602,0,15353056182104906260,6185178489688795480,0,3239,515791,"512,341",512,341,0.0429720000247471,42456,ok,,,2026-07-14T16:26:08.798,2026-07-14T16:26:08.841
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1603,0,13143289026358658709,8740280257420342324,-5,4967,803963,"512,171",512,171,0.06481700000585988,51990,ok,,,2026-07-14T16:26:08.841,2026-07-14T16:26:08.906
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1604,0,3643608677033746769,12064960581726521403,-3,2932,443622,"118,512",118,512,0.04869000002508983,42063,ok,,,2026-07-14T16:26:08.906,2026-07-14T16:26:08.954
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1605,0,708663864561026645,13602617041609085940,-2,2637,219043,"512,13",512,13,0.01911400002427399,28771,ok,,,2026-07-14T16:26:08.954,2026-07-14T16:26:08.974
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1606,0,10376703762228595916,16775641008809223318,-1,4453,304285,"512,163",512,163,0.02630900003714487,37075,ok,,,2026-07-14T16:26:09.050,2026-07-14T16:26:09.076
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1607,0,16221045416484719923,8936105117496517702,0,2193,110597,"512,-37",512,-37,0.010639000043738633,17578,ok,,,2026-07-14T16:26:09.076,2026-07-14T16:26:09.087
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1608,0,12678187527382507462,15859310471483024037,-2,4893,328469,"512,199",512,199,0.02842300001066178,36245,ok,,,2026-07-14T16:26:09.087,2026-07-14T16:26:09.116
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1609,0,862988275972491758,5776570409580357292,-2,3473,324987,"512,-79",512,-79,0.026493000041227788,33232,ok,,,2026-07-14T16:26:09.116,2026-07-14T16:26:09.142
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1610,0,4431813706309841274,13788526381248351223,2,2366,243204,"512,-72",512,-72,0.021924000000581145,30036,ok,,,2026-07-14T16:26:09.142,2026-07-14T16:26:09.164
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1611,0,13529693390166640856,7699348120154934280,1,2639,428367,"-512,-173",-512,-173,0.03493599995272234,39927,ok,,,2026-07-14T16:26:09.164,2026-07-14T16:26:09.199
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1612,0,11108759176132943416,5648242579685899941,3,2121,169003,"-512,177",-512,177,0.020653000043239444,20461,ok,,,2026-07-14T16:26:09.199,2026-07-14T16:26:09.220
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1613,0,3666246723853487262,15200728110023910259,-1,1456,53082,"-512,-114",-512,-114,0.005170000018551946,9012,ok,,,2026-07-14T16:26:09.220,2026-07-14T16:26:09.225
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1614,0,3715932557768053400,12625590044486332067,-1,2788,141616,"78,512",78,512,0.01312700001290068,20755,ok,,,2026-07-14T16:26:09.225,2026-07-14T16:26:09.238
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1615,0,3018111499770070148,9756355212587870399,-1,2319,355043,"-512,-133",-512,-133,0.026249999995343387,28418,ok,,,2026-07-14T16:26:09.238,2026-07-14T16:26:09.265
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1616,0,9192985573048314387,6324993827724300108,2,2125,557905,"-77,-512",-77,-512,0.04330999997910112,44549,ok,,,2026-07-14T16:26:09.265,2026-07-14T16:26:09.308
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1617,0,6942177291170265275,16085740458313873044,-2,2690,623538,"-208,512",-208,512,0.04658199998084456,45002,ok,,,2026-07-14T16:26:09.308,2026-07-14T16:26:09.355
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1618,0,7340819031538849227,10730405294714643507,-3,1863,115089,"97,512",97,512,0.010972000018227845,16713,ok,,,2026-07-14T16:26:09.355,2026-07-14T16:26:09.366
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1619,0,1336321687201968521,11889781900611939587,-4,2510,429452,"64,512",64,512,0.04409399995347485,34704,ok,,,2026-07-14T16:26:09.366,2026-07-14T16:26:09.410
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1620,0,1614000677218970072,7610713678955370760,3,2745,175623,"512,-143",512,-143,0.015949000022374094,23099,ok,,,2026-07-14T16:26:09.410,2026-07-14T16:26:09.426
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1621,0,7881273526893297353,9458135918131893031,0,3195,188679,"-512,-191",-512,-191,0.01785200001904741,26822,ok,,,2026-07-14T16:26:09.426,2026-07-14T16:26:09.444
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1622,0,2405031781687625955,3633270866894182949,2,2374,104680,"-4,512",-4,512,0.009476999985054135,15368,ok,,,2026-07-14T16:26:09.444,2026-07-14T16:26:09.453
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1623,0,9324608806826538183,16176450198410449369,3,4511,988515,"-512,-69",-512,-69,0.081101999967359,55422,ok,,,2026-07-14T16:26:09.453,2026-07-14T16:26:09.534
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1624,0,13286980934645884402,17905783125412097951,-2,2662,312534,"108,512",108,512,0.026354999979957938,34449,ok,,,2026-07-14T16:26:09.535,2026-07-14T16:26:09.561
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1625,0,6753603113133863104,17241307673812042857,2,3146,144138,"-512,264",-512,264,0.01405599998543039,22696,ok,,,2026-07-14T16:26:09.561,2026-07-14T16:26:09.575
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1626,0,14612908763955172912,4815258411487640686,1,3144,151282,"318,-512",318,-512,0.014014999964274466,21158,ok,,,2026-07-14T16:26:09.575,2026-07-14T16:26:09.589
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1627,0,10911173946105037996,8917200918895385357,1,3185,302359,"512,419",512,419,0.02571600000374019,31788,ok,,,2026-07-14T16:26:09.589,2026-07-14T16:26:09.615
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1628,0,6122010904784805796,7586378570961171296,1,2868,118648,"-512,162",-512,162,0.016115000005811453,18804,ok,,,2026-07-14T16:26:09.615,2026-07-14T16:26:09.631
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1629,0,11107985872366578507,4277530479014555881,2,2880,803950,"512,96",512,96,0.06370600004447624,53848,ok,,,2026-07-14T16:26:09.631,2026-07-14T16:26:09.695
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1716,16,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,1630,0,5520313254659472517,12294802641580012788,-1,5043,433317,"512,85",512,85,0.04131699999561533,41874,ok,,,2026-07-14T16:26:09.695,2026-07-14T16:26:09.736
