schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1800,0,12119663415103712563,17710787048032184762,-1,1851,438707,"107,512",107,512,0.0941410000086762,46143,ok,,,2026-07-15T11:24:33.528,2026-07-15T11:24:33.622
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1801,0,16095494320641187270,10672170010982519999,0,4290,231320,"-512,-134",-512,-134,0.05503099999623373,34034,ok,,,2026-07-15T11:24:33.623,2026-07-15T11:24:33.678
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1802,0,304307107054248354,10607584528214721346,0,2609,156533,"-512,93",-512,93,0.03484700003173202,25692,ok,,,2026-07-15T11:24:33.681,2026-07-15T11:24:33.715
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1803,0,17063159920818971170,16191749425257040030,0,2174,195790,"512,380",512,380,0.10233500000322238,30588,ok,,,2026-07-15T11:24:33.716,2026-07-15T11:24:33.818
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1804,0,8236440091437829046,4588951774782505318,1,2280,77024,"512,-242",512,-242,0.01888899999903515,17565,ok,,,2026-07-15T11:24:33.818,2026-07-15T11:24:33.837
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1805,0,6966820611156273515,14288138329444531792,-3,2086,106170,"-512,214",-512,214,0.025744000042323023,19844,ok,,,2026-07-15T11:24:33.837,2026-07-15T11:24:33.863
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1806,0,8295616985627700027,7539657199069884598,-2,2978,735976,"302,512",302,512,0.17527300002984703,56774,ok,,,2026-07-15T11:24:33.863,2026-07-15T11:24:34.038
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1807,0,14556451987542629495,9102692638824879402,-1,2061,295729,"-109,512",-109,512,0.06978499999968335,39369,ok,,,2026-07-15T11:24:34.038,2026-07-15T11:24:34.108
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1808,0,7521211652418575830,10439805885306349253,-4,3122,635714,"512,36",512,36,0.20983499998692423,53624,ok,,,2026-07-15T11:24:34.108,2026-07-15T11:24:34.318
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3758,18,triangular,"{""a"":0.8}",site_iid,triangular,0.8,512,1809,0,17934624610912518413,14652237528382481279,0,2676,148366,"512,36",512,36,0.03127199999289587,25776,ok,,,2026-07-15T11:24:34.318,2026-07-15T11:24:34.349
