schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,400,0,12154322665425509765,16483328273694491866,-3,50726,38483344,"-4096,-2740",-4096,-2740,5.624574000015855,2041365,ok,,,2026-07-15T10:50:21.341,2026-07-15T10:50:26.966
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,401,0,12200506041727599601,6495390177736843897,4,30929,11918673,"-4096,-963",-4096,-963,1.6246490000048652,855267,ok,,,2026-07-15T10:50:26.970,2026-07-15T10:50:28.595
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,402,0,17366757648445594822,4451543437643969869,0,32801,16349871,"-1659,-4096",-1659,-4096,2.0706840000348166,1089396,ok,,,2026-07-15T10:50:28.597,2026-07-15T10:50:30.668
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,403,0,17651915667892850902,7129399851351375046,0,44096,16512388,"4096,1728",4096,1728,2.737127000000328,1119869,ok,,,2026-07-15T10:50:30.684,2026-07-15T10:50:33.422
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,404,0,10891604512951834539,17055040626058837811,0,36226,33470872,"-4096,-2984",-4096,-2984,4.624208999972325,1628284,ok,,,2026-07-15T10:50:33.425,2026-07-15T10:50:38.050
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,405,0,812979651844493271,1630549562700590399,-1,50690,56472546,"-4096,324",-4096,324,6.971923000004608,2116807,ok,,,2026-07-15T10:50:38.051,2026-07-15T10:50:45.024
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,406,0,3950679916274870424,7803185727234677423,1,29659,11630871,"-4096,1239",-4096,1239,1.7232809999841265,869891,ok,,,2026-07-15T10:50:45.031,2026-07-15T10:50:46.755
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,407,0,4679626126283157098,13304214703618991560,1,31796,63699414,"686,-4096",686,-4096,8.546238999988418,2224649,ok,,,2026-07-15T10:50:46.757,2026-07-15T10:50:55.304
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,408,0,15211802407800016455,4747126851860832845,-1,49119,31607747,"-1699,-4096",-1699,-4096,4.933176000020467,1633737,ok,,,2026-07-15T10:50:55.306,2026-07-15T10:51:00.239
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3249,4,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,4096,409,0,4751323036354126838,4108304366557159575,0,38255,19151575,"4096,2901",4096,2901,2.8378169999923557,1268027,ok,,,2026-07-15T10:51:00.241,2026-07-15T10:51:03.079
