model,k,fit,slope,intercept,r_squared,rss
gamma,0.5,logL,0.07554113990616698,1.1507958307786637,0.9500088496944379,0.0014427247068462873
gamma,0.5,logL_squared,0.008874358938010278,1.3029415246944869,0.9159038667880993,0.002426980943496048
gamma,1.0,logL,0.09621858943048789,1.4644242795830777,0.5244258619187971,0.040336946822224405
gamma,1.0,logL_squared,0.012183869907002282,1.6421426167860156,0.5874243756650007,0.03499357867964073
gamma,20.0,logL,0.6204585264671554,0.42918168812589386,0.9517308366791926,0.09380631293786745
gamma,20.0,logL_squared,0.07249794971176682,1.6859855369838896,0.9077273156880431,0.17932277472174948
gamma4,0.5,logL,0.8443221616807063,-0.33715838953607236,0.9760346058802385,0.08409819196950051
gamma4,0.5,logL_squared,0.09943952671910095,1.3587899936214072,0.9457628799518712,0.19032625588741078
gamma4,1.0,logL,0.7201442426063726,0.10358757408542862,0.9779889673917739,0.05607849755752048
gamma4,1.0,logL_squared,0.08458778324707725,1.5542459769746582,0.942595985548942,0.1462507889331123
gamma4,20.0,logL,0.8132934563214194,-0.24769997956264067,0.9629647592105054,0.12222224505250308
gamma4,20.0,logL_squared,0.09603169050305076,1.3814212426533032,0.937908160652188,0.20491304613528052
symmetric,None,logL,0.8699689924065686,-0.5646147557735537,0.9920040462272258,0.029309965048481327
symmetric,None,logL_squared,0.10382634700930767,1.1579046786935043,0.9870436826125117,0.04749267199084341
