model,k,L,samples,mean_winding,var_winding,mean_raw_steps,mean_lerw_steps,mean_hit_x,mean_hit_y,mean_hit_x_over_L,mean_hit_y_over_L
gamma,0.5,16,300,-0.01,1.3744816053511706,137.13,36.723333333333336,10.803333333333333,10.786666666666667,0.6752083333333333,0.6741666666666667
gamma,0.5,32,300,-0.04666666666666667,1.549654403567447,306.6433333333333,79.23,24.24,24.496666666666666,0.7575,0.7655208333333333
gamma,0.5,64,300,0.07666666666666666,1.422196209587514,639.07,167.69666666666666,53.89,52.56,0.84203125,0.82125
gamma,0.5,128,300,-0.023333333333333334,1.3272129319955408,1380.51,352.19666666666666,111.88666666666667,113.34333333333333,0.8741145833333334,0.8854947916666667
gamma,0.5,256,300,0,1.6923076923076923,2867.74,734.8133333333334,232.02666666666667,236.64666666666668,0.9063541666666667,0.9244010416666667
gamma,1.0,16,300,-0.08333333333333333,1.7689520624303232,179.46,38.193333333333335,8.89,9.25,0.555625,0.578125
gamma,1.0,32,300,0,1.959866220735786,480.42,85.26666666666667,22.64,22.42,0.7075,0.700625
gamma,1.0,64,300,-0.07,2.1589632107023413,1078.88,183.2,50.92333333333333,49.00333333333333,0.7956770833333333,0.7656770833333333
gamma,1.0,128,300,0.03666666666666667,2.2294202898550726,2275.173333333333,393.93333333333334,110.27666666666667,107.27666666666667,0.8615364583333334,0.8380989583333334
gamma,1.0,256,300,0.016666666666666666,1.8893534002229655,4665.93,813.7166666666667,226.21666666666667,227.29333333333332,0.8836588541666667,0.8878645833333333
gamma,10.0,16,300,0.07666666666666666,2.0242028985507248,308.3466666666667,41.77333333333333,0.8866666666666667,2.453333333333333,0.05541666666666667,0.15333333333333332
gamma,10.0,32,300,-0.056666666666666664,2.628885172798216,1149.7466666666667,99.44,8.393333333333333,7.906666666666666,0.26229166666666665,0.24708333333333332
gamma,10.0,64,300,0.04666666666666667,3.476075808249721,4432.4366666666665,232.57,25.203333333333333,23.653333333333332,0.39380208333333333,0.3695833333333333
gamma,10.0,128,300,-0.04666666666666667,3.2687179487179487,12978.946666666667,515.3533333333334,66.25,84.98333333333333,0.517578125,0.6639322916666667
gamma,10.0,256,300,0,3.5652173913043477,29721.74,1144.5333333333333,171.30666666666667,187.02666666666667,0.6691666666666667,0.7305729166666667
gamma,2.0,16,300,0.006666666666666667,1.7056410256410257,246.88666666666666,40.52,5.97,7.963333333333333,0.373125,0.4977083333333333
gamma,2.0,32,300,0.03666666666666667,2.316376811594203,746.18,89.18666666666667,18.68,20.28,0.58375,0.63375
gamma,2.0,64,300,-0.02666666666666667,2.126376811594203,1708.1866666666667,200.06,44.406666666666666,48.74,0.6938541666666667,0.7615625
gamma,2.0,128,300,-0.043333333333333335,2.0148383500557414,3729.4333333333334,418.9066666666667,104.22,97.6,0.81421875,0.7625
gamma,2.0,256,300,0.03666666666666667,2.4033333333333333,8177.723333333333,915.9633333333334,215.55666666666667,218.28666666666666,0.8420182291666667,0.8526822916666666
gamma,20.0,16,300,-0.10333333333333333,1.8722296544035675,312.28333333333336,40.47,1.45,0.18,0.090625,0.01125
gamma,20.0,32,300,-0.0033333333333333335,2.130423634336678,1300.89,97.25,4.46,3.9366666666666665,0.139375,0.12302083333333333
gamma,20.0,64,300,-0.09,2.9718060200668894,4529.816666666667,229.94333333333333,14.163333333333334,16.373333333333335,0.22130208333333334,0.25583333333333336
gamma,20.0,128,300,0.07333333333333333,3.178550724637681,15618.573333333334,543.9133333333333,52.22,57.153333333333336,0.40796875,0.4465104166666667
gamma,20.0,256,300,-0.12333333333333334,3.5265440356744704,45946.03666666667,1189.1766666666667,149.52333333333334,162.68666666666667,0.5840755208333334,0.6354947916666667
