model,k,fit,slope,intercept,r_squared,rss
gamma,0.5,logL,0.05961370311098043,1.2252441471571907,0.19510733897913235,0.07043807597230459
gamma,0.5,logL_squared,0.007688249591977591,1.3328045464094744,0.22670008414513387,0.06767331951228914
gamma,1.0,logL,0.07362891446695195,1.695096989966555,0.17946831145825037,0.1190845167155724
gamma,1.0,logL_squared,0.007062452741853964,1.8723703219811108,0.11534995241853196,0.12839007298532507
gamma,10.0,logL,0.5369511506084964,0.7595027870680049,0.8110399623008837,0.3227365781267672
gamma,10.0,logL_squared,0.061541280992352135,1.8690474744640166,0.7442538526378029,0.4368047205843961
gamma,2.0,logL,0.15780864216493126,1.4570055741360086,0.39696598823138873,0.1817611230299435
gamma,2.0,logL_squared,0.018265850510070424,1.7798297151286804,0.37152398712942114,0.18942962364877275
gamma,20.0,logL,0.6285470063260288,0.1218573021181717,0.9542009194103145,0.0911052440005021
gamma,20.0,logL_squared,0.0741878224070604,1.3814478247068405,0.9286346451584228,0.14196263292430766
gamma,5.0,logL,0.4699229278336385,0.7656588628762546,0.7729427792408002,0.3116679650861474
gamma,5.0,logL_squared,0.05429023062784398,1.72882499053087,0.7206971025734539,0.38338250328499873
gamma4,0.5,logL,0.9047258011379,-0.6575384615384623,0.9182424520601553,0.35015099453274795
gamma4,0.5,logL_squared,0.10816151855896118,1.1303823197913263,0.916820459290566,0.35624110113497204
gamma4,1.0,logL,0.6296133461388598,0.5611059085841692,0.9327086669452294,0.13740796008993184
gamma4,1.0,logL_squared,0.07691345542121007,1.7753687471151738,0.9723399643981449,0.05648140548757268
gamma4,10.0,logL,0.8588506722067115,-0.6652998885172794,0.8732857366648984,0.5142275945583503
gamma4,10.0,logL_squared,0.10440748750799642,1.0003697453992295,0.9015704432274656,0.399443542347958
gamma4,2.0,logL,0.9396608947645992,-0.7970457079152737,0.931929107504982,0.3098644812449274
gamma4,2.0,logL_squared,0.11338146604432837,1.0408643422442831,0.947850916973379,0.2373870529261126
gamma4,20.0,logL,0.8259340649527167,-0.4162497212931999,0.9953494033743332,0.015313511568973247
gamma4,20.0,logL_squared,0.09877167731754,1.2154177872443523,0.9944088705277647,0.018410503586607223
gamma4,5.0,logL,0.7353546900220762,-0.069968784838351,0.9742279834689457,0.06872780228657654
gamma4,5.0,logL_squared,0.08856790440001193,1.3712821647582722,0.9872677105052369,0.03395396995796276
symmetric,None,logL,0.9063003813441767,-0.7221627647714604,0.9303210228714927,0.29557260501684696
symmetric,None,logL_squared,0.10730673310776591,1.0879125129002527,0.9110826673698185,0.37718015848857567
