distribution,distribution_params,variance_kind,fit_min_L,n_sizes,L_values,intercept_log_C,p,p_se,p_ci_low,p_ci_high,p_bootstrap_ci_low,p_bootstrap_ci_high,r2,sse,aic,bic
baseline,{},annealed,,10,16 32 64 128 256 512 1024 2048 4096 8192,0.2814929330465139,1.0825235047886903,0.04961270371266803,0.985282605511861,1.1797644040655197,1.0057246246528546,1.1559567898265666,0.9834741406374272,0.026918700009994564,-55.175191592277116,-54.57002140628902
bernoulli,"{""a"":0.8}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.17428565012174801,1.0696537025160058,0.04361159646286087,0.9841749734487985,1.155132431583213,0.9876950864285917,1.145586429201205,0.9884975276042833,0.014664348350929942,-53.77604531489741,-53.38159616022497
beta,"{""a"":0.5}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.08537709374807312,1.1282318097535653,0.056050842054977644,1.018372159325809,1.2380914601813215,1.0482248489182575,1.2026479687903762,0.9830165286620228,0.024222729631709558,-49.259195806881145,-48.86474665220871
exponential,{},annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.11812362599115822,1.0995804807567306,0.020497860331192743,1.059404674507593,1.1397562870058684,1.0078640013362485,1.1835569601944766,0.9975733569549362,0.003239484140308453,-67.36609179630055,-66.97164264162811
gamma,"{""shape"":0.5}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.08466077736823663,1.0860794921320538,0.030939485745142947,1.0254381000715735,1.146720884192534,1.0115554319119753,1.1610999483810025,0.9943513991828686,0.007380486337988348,-59.955262883787505,-59.56081372911507
gamma,"{""shape"":1.0}",annealed,,10,16 32 64 128 256 512 1024 2048 4096 8192,0.2172686205526264,1.0355589149266,0.048237507294581185,0.9410134006292209,1.1301044292239792,0.9552983604490406,1.1046455724589308,0.9829377580520334,0.02544708302637076,-55.73739251408246,-55.132222328094365
gamma,"{""shape"":2.0}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.18548039172652997,1.0897252772250776,0.021790270662705204,1.0470163467261755,1.1324342077239797,1.0048954598127402,1.1687124878497892,0.9972089000710849,0.003660867819833917,-66.26551664990117,-65.87106749522873
inverse_gamma,"{""alpha"":2.2}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.23132888614496783,1.0528338846625271,0.026274027080433523,1.0013367915848774,1.1043309777401769,0.9676221537330499,1.1325588853931507,0.9956594731335199,0.005322456066406932,-62.89740493593983,-62.502955781267396
lognormal,"{""sigma"":0.5}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.2504510695258759,1.069866190513134,0.032266970364442406,1.0066229285988268,1.133109452427441,0.9754348214719282,1.1442501819791,0.9936729833716896,0.008027405086268332,-59.19906679681685,-58.804617642144414
lognormal,"{""sigma"":1.0}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.04046944413026887,1.1659764232951424,0.03875985472379917,1.090007108036496,1.2419457385537889,1.0826802746355146,1.2415364205055548,0.9923239769772246,0.011583053975110776,-55.89893021470803,-55.504481060035594
pareto,"{""alpha"":2.0}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.2253638760516128,1.0839784412945557,0.02797136722916397,1.0291545615253943,1.138802321063717,1.0035073925018796,1.1585146095770058,0.9953605705669328,0.006032345240915775,-61.770595931156535,-61.3761467764841
pareto,"{""alpha"":3.0}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.10804735213489325,1.1870323135891163,0.05732644546982691,1.0746724804682555,1.2993921467099772,1.1003918871663196,1.259847916552125,0.9839361404654151,0.025337795531387746,-48.85414412732575,-48.45969497265332
triangular,"{""a"":0.8}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.23964541938702633,1.0801026030147374,0.02008251411626632,1.0407408753468554,1.1194643306826193,0.9932224353933897,1.1570601048824458,0.9975859043114628,0.0031095315004925376,-67.734570059631,-67.34012090495855
uniform,"{""a"":0.7}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.2671826028107014,1.0696966533423489,0.007616019871964054,1.0547692543932994,1.0846240522913984,0.9942711339648663,1.1371481319010257,0.9996452855953641,0.0004472135318267991,-85.18729059421635,-84.7928414395439
weibull,"{""shape"":0.7}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,0.0905020461243835,1.0895306367215316,0.017845764042268758,1.0545529391986848,1.1245083342443785,1.01396432022628,1.1603857634787271,0.9981255467612775,0.0024554386733599757,-69.86006982813122,-69.46562067345877
