distribution,distribution_params,L,observations,mean_loop_erased_path_length,log_mean_length_over_log_L,mean_length_over_L_to_5_over_4
gamma,"{""shape"":0.5}",16,2000,40.37,1.3338029204264463,1.2615625
gamma,"{""shape"":0.5}",32,2000,96.493,1.318470476403701,1.267822153079323
gamma,"{""shape"":0.5}",64,2000,231.572,1.3092195022446642,1.2792666526010248
gamma,"{""shape"":0.5}",128,2000,550.772,1.3007587725380343,1.2792616819224194
gamma,"{""shape"":0.5}",256,2000,1317.645,1.2954682520461533,1.2867626953125
gamma,"{""shape"":0.5}",512,1000,3174.066,1.292457379094784,1.3032523052630354
gamma,"{""shape"":0.5}",1024,500,7449.172,1.2862864358843522,1.2859765711486708
gamma,"{""shape"":0.5}",2048,100,18019.05,1.285203211906027,1.3078846719720325
gamma,"{""shape"":0.5}",4096,100,40335.71,1.2749808358675383,1.2309481811523437
gamma,"{""shape"":0.5}",5000,100,53981.72,1.2793417390953548,1.2839089100816938
gamma,"{""shape"":0.5}",8192,100,101429.95,1.2792403219480033,1.301453878087822
