L,environment_id,environment_seed,samples,replica_1_mean,replica_2_mean,mean_height,conditional_variance,replica_1_variance,replica_2_variance,replica_1_ess,replica_2_ess,start_gap,standardized_start_gap,minimum_pair_swap_acceptance,target_exchange_acceptance
4,1,3023620280765718922,2000,-0.014,-0.004,-0.009000000000000001,1.7088044022011017,1.6086083041520771,1.8409044522261129,1924.3391051641456,1885.3068212297255,-0.01,0.23489613143934568,NaN,NaN
4,2,4293102036056476079,2000,0.026,-0.01,0.008,1.6481760880440215,1.6881680840420206,1.576688344172088,2000.0,2000.0,0.036,0.8910159012544523,NaN,NaN
4,3,16358738991798853612,2000,-0.01,-0.02,-0.015,1.5487243621810918,1.6087043521760895,1.5203601800900441,1887.7608255522368,2000.0,0.01,0.2490402405670809,NaN,NaN
4,4,2756687713227677041,2000,0.024,0.02,0.022,1.6568204102051012,1.6802641320660312,1.6324162081040514,1860.735693666508,2000.0,0.004,0.09647047622660229,NaN,NaN
4,5,15318866980694835016,2000,0.046,0.018,0.032,1.6084122061030521,1.654711355677839,1.560456228114059,2000.0,2000.0,0.028,0.6983469197461233,NaN,NaN
4,6,15351353975936086760,2000,-0.032,-0.02,-0.026000000000000002,1.6487523761880953,1.5197358679339672,1.7444722361180587,2000.0,1759.4359794768723,-0.012,0.28674321529629615,NaN,NaN
4,7,13994341759526490587,2000,0.048,-0.04,0.004,1.7329944972486249,1.9026473236618306,1.647223611805903,2000.0,2000.0,0.088,2.08877368870984,NaN,NaN
4,8,1117868913919198807,2000,-0.008,-0.048,-0.028,1.5919959979989988,1.6807763881940962,1.5824872436218105,1842.4880165278535,1946.6001133271886,0.04,0.963036232662791,NaN,NaN
4,9,154955078316853454,2000,0.028,0.054,0.041,1.9246243121560773,1.7280800400200103,2.0381030515257623,1129.155459527726,1864.2568973100551,-0.026,0.5075966038560602,NaN,NaN
4,10,17301202497652814872,2000,0.038,0.026,0.032,1.5206883441720878,1.5593356678339185,1.6081280640320157,2000.0,2000.0,0.012,0.3015368672193222,NaN,NaN
4,11,13820403503927326089,2000,-0.048,-0.004,-0.026000000000000002,1.695879939969985,1.6145032516258129,1.696832416208104,1985.9826518342577,2000.0,-0.044,1.0794936168290072,NaN,NaN
4,12,10221978674758270221,2000,-0.026,0.04,0.007000000000000001,1.6586513256628315,1.6241360680340167,1.807303651825913,2000.0,1934.877407778412,-0.066,1.5794472205013843,NaN,NaN
