L,environment_id,environment_seed,samples,replica_1_mean,replica_2_mean,mean_height,conditional_variance,replica_1_variance,replica_2_variance,replica_1_ess,replica_2_ess,start_gap,standardized_start_gap,minimum_pair_swap_acceptance,target_exchange_acceptance
2,1,16503013862675582955,2000,3.874,3.848,3.8609999999999998,0.5319279639819908,0.4883681840920458,0.585188594297149,2000.0,1788.308077403466,0.026000000000000245,1.0876715262754173,0.8194285714285714,0.9911428571428571
2,2,7876645441089020994,2000,0.354,0.31,0.33199999999999996,1.1596118059029512,1.291329664832416,1.14447223611806,1110.4395317313051,1282.68389635166,0.043999999999999984,0.9705796062090898,0.8968571428571429,0.9682857142857143
2,3,12217605947908914083,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8608571428571429,0.9817142857142858
2,4,7008982407598474083,2000,-0.018,-0.006,-0.012,0.04795197598799406,0.0717118559279642,0.023975987993997003,1061.6490207533589,1201.444982753921,-0.011999999999999999,1.2828277786687603,0.894,0.9682857142857143
2,5,17995853470203864178,2000,0.476,0.498,0.487,1.7806483241620814,1.7743111555777877,1.7928924462231108,2000.0,2000.0,-0.02200000000000002,0.5209232359727367,0.9122857142857143,0.9731428571428572
2,6,184679872487367140,2000,-0.004,-0.018,-0.011,0.06793596798399204,0.032000000000000035,0.10372786393196615,2000.0,2000.0,0.013999999999999999,1.6994505273597218,0.8502857142857143,0.9668571428571429
2,7,6372658922972548020,2000,0.0,-0.006,-0.003,0.011987993996998491,0.0,0.023975987993996983,2000.0,2000.0,0.006,1.7329179169135918,0.8822857142857143,0.9754285714285714
2,8,12072279450063955472,2000,-0.016,-0.01,-0.013000000000000001,0.052008004002001056,0.06377588794397199,0.055927963981990986,2000.0,2000.0,-0.006,0.7755542558268047,0.9002857142857142,0.9722857142857143
2,9,11204976245762855672,2000,-0.674,-0.622,-0.648,2.111703851925962,2.242845422711352,2.10216708354177,2000.0,2000.0,-0.052000000000000046,1.115636786499036,0.87,0.9768571428571429
2,10,12018010025799607513,2000,-0.004,-0.004,-0.004,0.016008004002001,0.015991995997999015,0.015991995997999022,2000.0,2000.0,0.0,0.0,0.8622857142857143,0.9742857142857143
2,11,8324409309590821860,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8671428571428571,0.9711428571428572
2,12,11268415986047989819,2000,0.03,0.038,0.034,0.1360360180090045,0.11915957978989494,0.15063131565782872,2000.0,2000.0,-0.008,0.6887971476896814,0.8885714285714286,0.9597142857142857
2,13,4041576417893040964,2000,0.784,0.772,0.778,2.385120560280139,2.5226053026513244,2.493262631315657,1983.3165002810679,2000.0,0.01200000000000001,0.23911481211895844,0.9134285714285715,0.9734285714285714
2,14,9608222450850241923,2000,0.002,0.006,0.004,0.0240040020010005,0.008000000000000007,0.03998399199599801,2000.0,2000.0,-0.004,0.8166327658308377,0.8802857142857143,0.9731428571428572
2,15,11783809464752416572,2000,-0.004,-0.002,-0.003,0.012004002001000512,0.015991995997999015,0.008000000000000018,2000.0,2000.0,-0.002,0.5774465664581109,0.8188571428571428,0.978
2,16,17488108566552188701,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8805714285714286,0.9685714285714285
2,17,9168956008631356884,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8568571428571429,0.9711428571428572
2,18,7084167817291987927,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8525714285714285,0.9828571428571429
2,19,2016393574280746586,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.7911428571428571,0.9754285714285714
2,20,18209828889037580146,2000,-0.004,0.0,-0.002,0.007995997998999506,0.01599199599799901,0.0,2000.0,2000.0,-0.004,1.414567425399369,0.8888571428571429,0.9648571428571429
2,21,13066138278044702885,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8311428571428572,0.9811428571428571
2,22,8827126381907060372,2000,-0.018,-0.01,-0.013999999999999999,0.06399999999999999,0.07171185592796414,0.055927963981990986,2000.0,2000.0,-0.007999999999999998,1.0014099297337777,0.9074285714285715,0.9771428571428571
2,23,7860441041686724660,2000,-0.002,0.0,-0.001,0.004000000000000008,0.008000000000000016,0.0,2000.0,2000.0,-0.002,0.9999999999999989,0.8802857142857143,0.9682857142857143
2,24,5927593106840548960,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.7334285714285714,0.9908571428571429
2,25,12670224741265326835,2000,-0.124,-0.1,-0.112,0.4319279639819911,0.48086443221610836,0.39019509754877435,1994.8838557421193,2000.0,-0.023999999999999994,1.1491986391160454,0.6885714285714286,0.9828571428571429
2,26,2917635371682197844,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.9165714285714286,0.9731428571428572
2,27,8401036808371221813,2000,0.404,0.35,0.377,1.347215607803902,1.517542771385694,1.2941470735367688,2000.0,2000.0,0.05400000000000005,1.440207444517521,0.9482857142857143,0.9808571428571429
2,28,8470465329713055577,2000,-2.838,-2.74,-2.789,3.4169064532266153,3.2994057028514288,3.454127063531766,1838.1164360776793,1899.212358281098,-0.09799999999999986,1.6302324281370235,0.9022857142857142,0.9674285714285714
2,29,15715092345882880589,2000,0.828,0.902,0.865,2.7466353176588267,2.6757538769384714,2.8598259129564765,963.2584784932139,968.5022238656962,-0.07400000000000007,0.9775294026618941,0.8682857142857143,0.9814285714285714
2,30,14123577998429086371,2000,1.928,1.834,1.881,3.8815227613806877,3.996814407203603,3.9744312156078005,1143.2164452103968,1014.5506538470555,0.09399999999999986,1.0917292171385162,0.8871428571428571,0.9751428571428571
2,31,16165480413011113708,2000,-0.012,-0.004,-0.008,0.03198399199599796,0.047879939969985075,0.01599199599799901,1001.5082895655012,1000.5012521287962,-0.008,1.0016304169577872,0.8708571428571429,0.9737142857142858
2,32,10793869253569989436,2000,0.002,0.0,0.001,0.004000000000000008,0.008000000000000016,0.0,2000.0,2000.0,0.002,0.9999999999999989,0.8454285714285714,0.9805714285714285
2,33,10677147765490364327,2000,0.002,0.004,0.003,0.012004002001000522,0.008000000000000012,0.01599199599799902,2000.0,1000.5012521288069,-0.002,0.4473927675310408,0.7922857142857143,0.966
2,34,9534212328815086779,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8308571428571428,0.9777142857142858
2,35,10782817867709826067,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8168571428571428,0.9765714285714285
2,36,5542754731037126976,2000,0.014,0.016,0.015,0.06002801400700355,0.05583191595797908,0.06377588794397199,2000.0,2000.0,-0.002,0.25862186265319026,0.8902857142857142,0.9731428571428572
2,37,3550357535929245277,2000,-0.062,-0.05,-0.056,0.23204402201100535,0.2602861430715361,0.19759879939969968,1879.9540415853812,1894.5071283828331,-0.011999999999999997,0.7701897340880638,0.8705714285714286,0.9714285714285714
2,38,18063209220106296906,2000,-0.022,0.026,0.002,1.1114037018509257,1.28816008004002,0.9357918959479732,2000.0,2000.0,-0.048,1.4394398867482654,0.9088571428571428,0.9565714285714285
2,39,9132535248702589307,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8265714285714286,0.9822857142857143
2,40,5101703214285295226,2000,-0.004,-0.006,-0.005,0.02000800400200098,0.015991995997999026,0.023975987993996986,2000.0,2000.0,0.002,0.4473926779360073,0.8454285714285714,0.9711428571428572
2,41,17500284358920036,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8185714285714286,0.9751428571428571
2,42,17136599440650597216,2000,-0.108,-0.1,-0.10400000000000001,0.41617608804402173,0.42054627313656834,0.3901950975487744,2000.0,2000.0,-0.007999999999999993,0.39734139977028454,0.8142857142857143,0.9728571428571429
2,43,1850636511557200465,2000,-0.01,-0.008,-0.009000000000000001,0.03601600800400204,0.03991995997998999,0.03195197598799401,2000.0,2000.0,-0.002,0.33363017389604466,0.86,0.9808571428571429
2,44,17481876647769011678,2000,-3.952,-3.958,-3.955,0.18007203601800925,0.18979089544772393,0.16631915957978988,2000.0,1860.4387146288552,0.006000000000000227,0.44197379325567754,0.8011428571428572,0.998
2,45,14392419666323957613,2000,-0.014,-0.016,-0.015,0.14006803401700843,0.15187993996998506,0.127807903951976,2000.0,2000.0,0.002,0.16912515124252372,0.898,0.9748571428571429
2,46,16484195785868656477,2000,-0.026,-0.034,-0.03,0.12803201600800396,0.1353916958479239,0.13491145572786398,2000.0,2000.0,0.008000000000000004,0.6881441625413863,0.8874285714285715,0.9791428571428571
2,47,10898773379333184956,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.8697142857142857,0.9765714285714285
