order,n_pairs,mean_h1,mean_h2,mean_difference,variance_h1,variance_h2,covariance_h1_h2,covariance_low,covariance_high,correlation_h1_h2,paired_marginal_variance,variance_difference,variance_difference_low,variance_difference_high,conditional_tiling_variance,conditional_tiling_low,conditional_tiling_high,n_single,total_single_variance,total_single_low,total_single_high,disorder_variance,disorder_low,disorder_high
16,4000,16.87,16.899,-0.029,5.004351088,5.101074269,1.870337584,1.698068967,2.036696174,0.3701819957,5.052712678,6.364750188,6.071270343,6.657181895,3.182375094,3.035635171,3.328590948,4000,4.993148287,4.769503201,5.214662666,1.810773193,1.540697937,2.07741074
24,4000,25.408,25.443,-0.035,5.554924731,5.443111778,1.908733183,1.728504801,2.085444461,0.3471222946,5.499018255,7.180570143,6.861704626,7.504262791,3.590285071,3.430852313,3.752131395,4000,5.619179795,5.395322056,5.846540635,2.028894724,1.756137822,2.308618492
32,4000,33.786,33.796,-0.01,5.939688922,6.231941985,2.292917229,2.094440335,2.488682821,0.376872828,6.085815454,7.585796449,7.251208727,7.925694024,3.792898225,3.625604364,3.962847012,4000,6.24335984,6.00059855,6.498746387,2.450461615,2.148835221,2.757072981
48,3000,50.68666667,50.65333333,0.03333333333,6.357274647,6.668711793,2.098744026,1.837471424,2.353219562,0.3223316947,6.51299322,8.828498388,8.38970479,9.292387418,4.414249194,4.194852395,4.646193709,3000,6.712822496,6.371031766,7.05450439,2.298573302,1.890005646,2.698778215
64,3000,67.63066667,67.656,-0.02533333333,7.466081583,7.340110704,2.636494832,2.352478515,2.916593531,0.3561469699,7.403096143,9.533202623,9.034534534,10.04430953,4.766601312,4.517267267,5.022154763,3000,7.264280983,6.892564188,7.637701456,2.497679671,2.049440502,2.939548472
96,2500,101.3968,101.3696,0.0272,7.568777271,7.855337975,2.804864666,2.482777815,3.126027691,0.3637613988,7.712057623,9.814385914,9.283547275,10.37695693,4.907192957,4.641773637,5.188478463,2500,7.75617511,7.344314302,8.163839744,2.848982153,2.34639523,3.339483826
128,2000,135.054,135.176,-0.122,8.109138569,7.724886443,2.589790895,2.2146,2.965297549,0.3272135555,7.917012506,10.65444322,9.982107054,11.3417982,5.327221611,4.991053527,5.6708991,2000,7.972942471,7.47212046,8.468256528,2.64572086,2.034132716,3.237697499
192,1500,202.7253333,202.7306667,-0.005333333333,8.407496553,9.210933511,3.269536135,2.800009962,3.74539364,0.371536058,8.809215032,11.07935779,10.33175966,11.86742451,5.539678897,5.165879831,5.933712253,1500,8.40322704,7.793825039,9.024747165,2.863548143,2.155573671,3.590450078
256,1000,270.272,270.06,0.212,8.670686687,9.34974975,3.098778779,2.53045045,3.6729001,0.344162726,9.010218218,11.82287888,10.84728609,12.82499179,5.911439439,5.423643043,6.412495896,1000,9.215215215,8.454598599,9.993931131,3.303775776,2.406231231,4.215503103
384,1000,405.312,405.38,-0.068,9.904560561,9.320920921,4.001441441,3.332611411,4.688858458,0.4164563112,9.612740741,11.2225986,10.17354274,12.32709229,5.611299299,5.086771371,6.163546146,1000,9.050650651,8.233497497,9.917113914,3.439351351,2.457000601,4.456745746
512,256,540.78125,540.359375,0.421875,11.55980392,11.72916667,5.30245098,3.760784314,6.839234069,0.4553736007,11.64448529,12.68406863,10.65098039,14.78340074,6.342034314,5.325490196,7.391700368,2000,11.40938069,10.72725753,12.11387144,5.067346377,3.815498747,6.319520224
600,256,633.46875,633.171875,0.296875,11.01078431,10.60563725,2.977941176,1.525453431,4.501053922,0.2755742301,10.80821078,15.66053922,12.89306373,18.57259191,7.830269608,6.446531863,9.286295956,2000,10.6871996,10.0457941,11.34898719,2.856929992,1.285412517,4.378262023
700,256,739.21875,739.1875,0.03125,12.43823529,13.14117647,6.32745098,4.372947304,8.392922794,0.4949168972,12.78970588,12.9245098,10.66561275,15.2745098,6.462254902,5.332806373,7.637254902,1000,11.22785185,10.19765165,12.25386827,4.76559695,3.194778264,6.294723618
800,256,844.71875,844.515625,0.203125,12.53235294,11.71740196,4.020098039,2.473731618,5.643137255,0.3317452182,12.12487745,16.20955882,13.33696078,19.09598039,8.104779412,6.668480392,9.547990196,1000,10.61142743,9.709392593,11.49912673,2.506648016,0.7778662136,4.213616101
900,256,950.3125,949.859375,0.453125,12.0745098,11.5252451,6.03627451,4.480343137,7.662745098,0.5116926074,11.79987745,11.52720588,9.521568627,13.61156863,5.763602941,4.760784314,6.805784314,1000,11.66284685,10.68612933,12.68148028,5.899243906,4.483524566,7.335068057
1000,256,1055.734375,1055.828125,-0.09375,12.66642157,13.71151961,5.789460784,3.97745098,7.614730392,0.4393072321,13.18897059,14.79901961,12.54093137,17.12338235,7.399509804,6.270465686,8.561691176,1000,12.44173774,11.42702903,13.48548549,5.042227934,3.509916534,6.559565448
1100,256,1161.484375,1161.5625,-0.078125,11.65465686,12.73333333,5.640196078,4.01370098,7.2784375,0.4629919099,12.1939951,13.10759804,10.64215686,15.71372549,6.55379902,5.321078431,7.856862745,512,12.43780577,10.78320695,14.15264188,5.884006753,3.818896291,8.004914629
1200,256,1266.8125,1267.15625,-0.34375,12.1372549,11.70882353,5.205882353,3.587254902,6.962261029,0.4366942591,11.92303922,13.43431373,11.29019608,15.61159926,6.717156863,5.645098039,7.805799632,512,11.7665729,10.23845401,13.31516634,5.049416034,3.183715196,6.921208637
1300,256,1372.84375,1372.34375,0.5,12.33627451,13.30882353,6.046078431,4.294080882,8.034172794,0.471858661,12.82254902,13.55294118,11.35257966,15.71348652,6.776470588,5.676289828,7.85674326,512,12.74847114,11.07564824,14.48825832,5.972000547,3.983566015,8.046531665
