model,filter,L,environments,component,estimate,bootstrap_low,bootstrap_high
gamma,all,2,64,conditional,0.45637165457728857,0.2402814954352176,0.7098871404452222
gamma,all,2,64,disorder,0.7758145456349207,0.1561044779017857,1.5533228281746028
gamma,all,2,64,total,1.2321862002122093,0.5067631783927429,2.1102721632678425
gamma,all,4,192,conditional,1.1825729218776055,0.9936214122686343,1.377422280411039
gamma,all,4,192,disorder,1.1771474520069807,0.7993346879390271,1.5675338399323735
gamma,all,4,192,total,2.359720373884586,1.8575864408193574,2.874875242543941
gamma,all,6,192,conditional,1.3501559008671,1.1580804548107386,1.5514538052880604
gamma,all,6,192,disorder,1.587931644633508,1.130893734533159,2.0770520507526182
gamma,all,6,192,total,2.938087545500608,2.372611378115139,3.538461131132395
gamma,all,8,192,conditional,1.709400575287644,1.5023708434946643,1.9165011203518427
gamma,all,8,192,disorder,1.886839574934555,1.354740275196335,2.448975515597731
gamma,all,8,192,total,3.596240150222199,2.9906966142170606,4.224685394828675
gamma,all,10,128,conditional,1.8221446660830414,1.574195702147949,2.0778419791927205
gamma,all,10,128,disorder,2.3752707600885827,1.685147478660187,3.0771472473425194
gamma,all,10,128,total,4.197415426171624,3.4000070684760995,4.979663899031811
gamma,all,12,96,conditional,1.8551939302984826,1.5301366485325996,2.17048881211439
gamma,all,12,96,disorder,2.6620762140350878,1.7929251192982456,3.541713396798243
gamma,all,12,96,total,4.517270144333571,3.5421189628696315,5.514479749405547
gamma,all,16,64,conditional,2.3011597361180587,1.8690233171273134,2.7433441462918955
gamma,all,16,64,disorder,2.198523007936508,1.3123943568452383,3.1033675790922612
gamma,all,16,64,total,4.499682744054567,3.4116945416916042,5.519395175276837
gamma,all,20,32,conditional,2.3017795147573783,1.6766201960355174,2.9436732022261127
gamma,all,20,32,disorder,3.1373167782258062,1.636013398185484,4.693858299999997
gamma,all,20,32,total,5.4390962929831845,3.7281122750236015,7.160796912460866
gamma,start_gap_le_4.0,2,64,conditional,0.45637165457728857,0.24313268509254624,0.7067236508879432
gamma,start_gap_le_4.0,2,64,disorder,0.7758145456349207,0.1544837072172619,1.572880477529762
gamma,start_gap_le_4.0,2,64,total,1.2321862002122093,0.4996559800845363,2.132996230462613
gamma,start_gap_le_4.0,4,192,conditional,1.1825729218776055,0.9885484562593798,1.3869207460501087
