model,L,environments,mean_signed_start_gap,signed_start_gap_t,maximum_absolute_start_gap,count_standardized_above_2,count_standardized_above_3,count_standardized_above_4,maximum_standardized_start_gap,minimum_chain_ess,minimum_pair_swap_acceptance,minimum_target_exchange_acceptance
control,4,64,-0.0008749999999999996,-0.16857432370201977,0.11399999999999999,4,0,0,2.686490615271029,1129.155459527726,NaN,NaN
control,6,64,0.00665625,0.8208956250106496,0.208,3,1,1,4.185629930440813,1385.530278794095,NaN,NaN
control,8,64,-9.375000000000041e-5,-0.01295700000957024,0.166,2,0,0,2.7769607560477687,1223.3391817036654,NaN,NaN
control,10,64,0.0044687500000000005,0.4804568463815553,0.278,1,1,1,4.3006310340965355,871.4246433996327,NaN,NaN
control,12,64,-0.01725,-1.8826963855466228,0.148,1,0,0,2.0338590214618097,767.535020633503,NaN,NaN
control,16,32,-0.0143125,-0.7778470596851832,0.268,2,0,0,2.7604016044243185,566.5736265725809,NaN,NaN
gamma,2,64,-0.0024687499999999935,-0.812265335625453,0.09799999999999986,0,0,0,1.7329179169135918,846.5308228129026,0.6885714285714286,0.9565714285714285
gamma,4,192,0.0028645833333333453,0.5559887799039545,0.3360000000000001,11,1,0,3.019005915484683,127.3021658567585,0.608,0.9086666666666666
gamma,6,192,-0.005427083333333336,-0.9208707595549998,0.46799999999999997,19,3,0,3.380940821819277,93.2763142689065,0.4794285714285714,0.8602857142857143
gamma,8,192,0.007833333333333333,0.890979701286872,0.6159999999999999,23,5,1,4.253139343800282,97.09498950028106,0.36328571428571427,0.8278571428571428
gamma,10,128,-0.02246875000000001,-1.7307875946805618,0.5079999999999998,19,10,2,4.177789041432681,75.04547891249457,0.30638461538461537,0.7936923076923077
gamma,12,96,0.0028749999999999735,0.14446317618194643,1.1019999999999999,21,5,1,5.4654683892687155,113.30726942306441,0.21628,0.7612
gamma,16,64,0.014281250000000004,0.38731639682362057,1.29,23,9,4,6.280144656110217,88.8285955291588,0.111,0.6900833333333334
gamma,20,32,0.071125,0.9177660036283469,1.8519999999999999,12,5,3,7.76468667199118,95.54743374465501,0.04816666666666667,0.6128416666666666
