model,filter,cutoff,sizes,component,method,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_loocv_rmse,quadratic_loocv_rmse
gamma,all,2,2;4;6;8;10;12;16;20,conditional,unweighted,-0.03746288106705967,0.8044417601586146,-0.17800320154932175,0.9839798388084321,-0.048304967567570245,-0.3200199065663213,0.226996052608898,0.3566,-1.282789617850625,-2.077024841172696,7.3982255396772,0.3328,0.11365892170440973,0.14202312380790996
gamma,all,2,2;4;6;8;10;12;16;20,conditional,inverse_bootstrap_variance,-0.038118565829807056,0.8112454499513009,-0.19720438869876783,1.029176725799209,-0.06490647161052723,-0.27456600958623584,0.14715831861411022,0.2796,-1.0047455096579796,-2.078190680023367,6.105479535233685,0.2622,0.11537357851350293,0.1626594992499671
gamma,all,2,2;4;6;8;10;12;16;20,disorder,unweighted,-0.0355449187336388,0.9744841665657946,0.27945884364518236,0.5720717480449805,0.10826961595901657,-0.5451627162260184,0.7940009010530259,0.5742,-1.6318669625552786,-2.076739604329297,6.512218074078961,0.2836,0.32869429252946314,0.38597865821489524
gamma,all,2,2;4;6;8;10;12;16;20,disorder,inverse_bootstrap_variance,-0.0791815250375753,0.9649674182371293,0.25914069658658984,0.5390731432713,0.12038893669670395,-0.4202873926118604,0.6636717120583795,0.6208,-1.4274175232879962,-2.078097634251395,5.449668802509183,0.217,0.31616100014927095,0.4066949547089875
gamma,all,2,2;4;6;8;10;12;16;20,total,unweighted,-0.07300779980069806,1.7789259267244089,0.10145564209586225,1.556051586853411,0.05996464839144667,-0.7206184308583276,0.8217119514020019,0.5216,-1.844822076349768,-2.0767633845101323,7.299635471370709,0.3292,0.24151849869655762,0.2785318058579277
gamma,all,2,2;4;6;8;10;12;16;20,total,inverse_bootstrap_variance,-0.08307741386351543,1.7688696709075695,0.11786577337449498,1.5122765329753272,0.0729581282755852,-0.5725705038347759,0.6945074836936639,0.5564,-1.7104119309934518,-2.078242291699669,5.85827223328786,0.2442,0.2311632777119178,0.27962081738684214
gamma,all,4,4;6;8;10;12;16;20,conditional,unweighted,0.09215646042350867,0.7510959717758504,0.34780773757149186,0.5047418521193072,0.05602171786679165,-0.5069515451281983,0.6299794349996467,0.561,-1.6938503699156584,-1.9440653083599093,7.850449498446104,0.3432,0.10832683638810238,0.15192083243633933
gamma,all,4,4;6;8;10;12;16;20,conditional,inverse_bootstrap_variance,0.12205531069881785,0.7353085525605862,0.5130314623982606,0.32857584234851095,0.10082539544033778,-0.351660913267702,0.5542516424825151,0.6618,-1.24498663427498,-1.9443482351472936,6.818728133050993,0.2712,0.10983571488609395,0.15502228809819732
gamma,all,4,4;6;8;10;12;16;20,disorder,unweighted,-0.31180781773144284,1.0881821839949148,-0.7482554437678177,1.508757711282978,-0.0956402253969097,-1.4543350117416918,1.3221926839939762,0.4042,-1.8716039415508874,-1.9441393198073875,6.611007583480231,0.3208,0.3327009538257429,0.4352099030610716
gamma,all,4,4;6;8;10;12;16;20,disorder,inverse_bootstrap_variance,-0.3047369310951804,1.073720008538199,-0.9289909272077669,1.7307942137931265,-0.16314213544641898,-1.2544705789470325,0.8831047989915091,0.3536,-1.6078675920539567,-1.9442168551764054,6.589840569674466,0.2714,0.3223602431484255,0.4297538539904111
gamma,all,4,4;6;8;10;12;16;20,total,unweighted,-0.2196513573079348,1.8392781557707658,-0.4004477061963388,2.0134995634022954,-0.03961850753012019,-1.611588874909419,1.5465137804139764,0.4466,-1.9251049072235062,-1.9441682109145342,7.496485007065036,0.3516,0.2605225766816791,0.3553338998177967
gamma,all,4,4;6;8;10;12;16;20,total,inverse_bootstrap_variance,-0.21189050676945836,1.829764226667745,-0.37143000680275323,1.9956701941764583,-0.04085198306711281,-1.3235573387722586,1.1798935316799208,0.4542,-1.918465822464615,-1.9443188840184842,7.241703316212517,0.2736,0.25345986279070526,0.38787658445016854
gamma,all,6,6;8;10;12;16;20,conditional,unweighted,-0.038518055059760026,0.8020331064136089,-0.7306196580112517,1.3956121330620719,-0.12365060671094127,-1.2107147088625552,0.9856128979270777,0.4032,-1.447873851232437,-1.7893012269811013,8.536743758225896,0.3922,0.11777731011020286,0.15324760366056855
gamma,all,6,6;8;10;12;16;20,conditional,inverse_bootstrap_variance,-0.1014120040758389,0.8330004774255325,-1.0212934328383856,1.6651967361912232,-0.18387817797035164,-1.0783886605325927,0.7023529530473704,0.3416,-1.0802037431476208,-1.789780089304729,8.384910130575555,0.3426,0.11926874456643224,0.1669210553479239
gamma,all,6,6;8;10;12;16;20,disorder,unweighted,-0.25976383811706566,1.0678953577006043,-1.4423547040031253,2.0821411448833995,-0.21128123014602726,-2.781163920359748,2.5432216693007557,0.4104,-1.703913243514572,-1.7898450021837116,8.272381976488294,0.3568,0.3821984485567812,0.601443218651058
gamma,all,6,6;8;10;12;16;20,disorder,inverse_bootstrap_variance,-0.2551627112795564,1.0523290370107026,-3.299814092841581,3.7952694260281166,-0.6013772406758161,-2.899678530269938,1.5669137997550562,0.2866,-0.8816016158205553,-1.7895035629821792,8.14062439788242,0.351,0.3932650903134461,0.5500497527806613
gamma,all,6,6;8;10;12;16;20,total,unweighted,-0.29828189317682646,1.869928464114214,-2.172974362014387,3.4777532779454785,-0.3349318368569698,-3.34230509944258,2.6772947585639257,0.3936,-1.4194123082022383,-1.7891854399388105,10.055899067174673,0.4212,0.3023615800303889,0.5019033268207513
gamma,all,6,6;8;10;12;16;20,total,inverse_bootstrap_variance,-0.4213101712870783,1.9199040129793608,-4.243175520799726,5.354089456714421,-0.7516815244753895,-3.35846424570512,1.707483103126699,0.2712,0.6120800616025903,-1.789629464075121,9.67561817193669,0.4112,0.3193694676383261,0.43814754767193326
gamma,all,8,8;10;12;16;20,conditional,unweighted,0.1399739548755853,0.7352292595079231,1.1332520039801983,-0.059156462467197406,0.15620767149228376,-1.900380344074528,2.268792383982913,0.5466,-1.4600975353128263,-1.6065261625153038,12.802077347040619,0.4584,0.120042156539532,0.2526957600587917
gamma,all,8,8;10;12;16;20,conditional,inverse_bootstrap_variance,0.25767082339622305,0.6860552592635781,2.938053119784908,-1.5342764844449717,0.45326369794350085,-1.3487879296286565,2.227764552414299,0.6798,-0.0022656335212047907,-1.6059895893524168,13.162087432057943,0.4642,0.1279166580200917,0.2038799586385117
gamma,all,8,8;10;12;16;20,disorder,unweighted,-0.017294546315800984,0.9771468617052427,0.3607299178484297,0.6748173808916244,0.05944994089766064,-4.950737695371336,5.444487815061659,0.4818,-1.6077666980480583,-1.6071263840646135,10.875707609854798,0.3888,0.46727140603835865,1.038743662382281
gamma,all,8,8;10;12;16;20,disorder,inverse_bootstrap_variance,0.12245688454186993,0.9009240705423593,-7.0865825733184895,6.852976035186734,-1.2095566299151945,-5.811811486108223,3.5016296318908333,0.292,-0.8690328705186658,-1.60668723357365,10.446801265371876,0.4092,0.5048015660523602,0.9439683786546789
gamma,all,8,8;10;12;16;20,total,unweighted,0.1226794085597817,1.7123761212131665,1.4939819218286285,0.6156609184244267,0.21565761238994444,-5.581050052858427,6.185670010173081,0.508,-1.5692032142005061,-1.606085597370122,12.167756750544747,0.455,0.35532149985708583,0.7932206814999132
gamma,all,8,8;10;12;16;20,total,inverse_bootstrap_variance,0.23146919129712393,1.6575949265810415,-4.467849222979556,5.535290748515866,-0.7876811116669491,-6.113823297659338,4.516114422326747,0.3688,-1.004103539513153,-1.6070559259118589,11.941377436860247,0.4414,0.3698317880699493,0.7254152574212243
gamma,start_gap_le_4.0,2,2;4;6;8;10;12;16;20,conditional,unweighted,0.03603712181796834,0.7521565540354284,-0.27614066969168305,1.1509588386215115,-0.10729830444703423,-0.3719340898846285,0.17564538877776756,0.216,1.672881941180215,-2.075634310890003,8.937709740005022,0.4432,0.14122563019168322,0.11839037097574084
gamma,start_gap_le_4.0,2,2;4;6;8;10;12;16;20,conditional,inverse_bootstrap_variance,-0.006688034505654513,0.7871432768809643,-0.2618221622262379,1.1395659341087747,-0.10562893455184,-0.3213389376131628,0.11151306113646375,0.1634,0.8067186477689603,-2.076292388522,7.52210711260397,0.3512,0.13568822698681174,0.13745222348179276
gamma,start_gap_le_4.0,2,2;4;6;8;10;12;16;20,disorder,unweighted,0.09391171143044323,0.8832310353325343,0.11312778554740445,0.8586827988242275,0.006604736874162945,-0.6951701780881455,0.6970752795878694,0.4534,-2.0782718459732763,-2.0765651926607984,5.227015303626226,0.2646,0.36708143564058404,0.47479652517510446
gamma,start_gap_le_4.0,2,2;4;6;8;10;12;16;20,disorder,inverse_bootstrap_variance,0.03309702166037187,0.8885026820400727,0.07638058832296013,0.8337556491793926,0.015531305428551126,-0.5291498653475466,0.5462041574834774,0.474,-2.0720078992059108,-2.0784392531951794,3.840011505844532,0.1672,0.36504672353579065,0.520760023486658
gamma,start_gap_le_4.0,2,2;4;6;8;10;12;16;20,total,unweighted,0.12994883324841208,1.6353875893679624,-0.1630128841442793,2.0096416374457395,-0.10069356757287144,-0.9048127616569966,0.657642931973257,0.3664,-1.687197233481406,-2.0774408233458854,7.116863050653282,0.3316,0.30147614318054544,0.3808121303236983
gamma,start_gap_le_4.0,2,2;4;6;8;10;12;16;20,total,inverse_bootstrap_variance,0.06138272739441007,1.6694245327737938,-0.11572263973794236,1.896797685518382,-0.06493458114097325,-0.7064859173283483,0.5615077490971002,0.3758,-1.9000099782488427,-2.0782922594793094,5.214880836920533,0.2306,0.29955988786468046,0.3920339485111681
gamma,start_gap_le_4.0,4,4;6;8;10;12;16;20,conditional,unweighted,0.2413981708332306,0.6676387117377359,0.01879302084754705,0.8821484781958641,-0.04878020969546818,-0.626892443630563,0.5464762162892312,0.4266,-1.7446738852194628,-1.943190068157057,7.021775710012673,0.3524,0.10727553000453122,0.16812701027489715
gamma,start_gap_le_4.0,4,4;6;8;10;12;16;20,conditional,inverse_bootstrap_variance,0.19789509327207366,0.6899414147300215,0.2855782495029325,0.5985705048683164,0.022711189592691573,-0.4360278222267693,0.4914454452321094,0.5396,-1.9085515930866563,-1.944152647100474,5.311905465701934,0.2472,0.1008412011213215,0.1680370859474225
gamma,start_gap_le_4.0,4,4;6;8;10;12;16;20,disorder,unweighted,-0.04776601752298542,0.9415395413038449,-1.2695582806883345,2.118899422909468,-0.26773541764572517,-1.734298892010768,1.2229178809818986,0.3262,-1.5514893412961221,-1.9436694012948053,7.396655126699029,0.3488,0.4039612327554412,0.5178338229939118
gamma,start_gap_le_4.0,4,4;6;8;10;12;16;20,disorder,inverse_bootstrap_variance,-0.12470248970420235,0.9645846599518545,-1.5735384381846298,2.492203460776151,-0.38008492018511825,-1.4919235042439645,0.643092249425491,0.2218,-0.7700994072630181,-1.9439200456261836,7.077174576324879,0.3204,0.40936226566544553,0.532887078420017
gamma,start_gap_le_4.0,4,4;6;8;10;12;16;20,total,unweighted,0.1936321533102477,1.6091782530415801,-1.2507652598407928,3.0010479011053364,-0.3165156273411942,-1.9716568721854142,1.2838263995732686,0.3236,-1.1589395970401632,-1.9436983687190517,7.9509240339252765,0.3892,0.33570405622449506,0.44040325595798524
gamma,start_gap_le_4.0,4,4;6;8;10;12;16;20,total,inverse_bootstrap_variance,0.04105875853065599,1.6790556065830395,-1.165869384495314,2.9363464273001525,-0.3102417578988689,-1.6199606309836692,0.9274691806196819,0.2932,-0.9913999208730218,-1.9442858949729735,6.820412616441606,0.3092,0.3432952684045795,0.4848213740318684
gamma,start_gap_le_4.0,6,6;8;10;12;16;20,conditional,unweighted,0.1998625679445923,0.6838293560173387,-1.3443003464363434,2.008176411126141,-0.27587955353589944,-1.370492399291497,0.8631333403388056,0.307,0.004314579656622186,-1.7878025259998398,10.251865711188204,0.4524,0.13763591507588177,0.14256074280078113
gamma,start_gap_le_4.0,6,6;8;10;12;16;20,conditional,inverse_bootstrap_variance,0.04476566855751314,0.7571277689946428,-1.4896442610139864,2.148745044247478,-0.30842314857642866,-1.2101481255650126,0.6123159524639176,0.2558,0.30837714399859095,-1.7898708936343293,9.631668909294273,0.4074,0.13426375319779016,0.1565645443857057
gamma,start_gap_le_4.0,6,6;8;10;12;16;20,disorder,unweighted,0.16571184318328733,0.8583255305783317,-2.207905540047413,2.8940519180993554,-0.4240695705435081,-3.274872269234318,2.5122890751240115,0.3506,-1.5492355435448033,-1.7898207096397543,8.882208242861628,0.372,0.4576447861760344,0.7163868687520634
gamma,start_gap_le_4.0,6,6;8;10;12;16;20,disorder,inverse_bootstrap_variance,0.14594746217113821,0.8476929911738154,-4.767128919512099,5.277221345390482,-0.9725122543258689,-3.317482685217178,1.3427035261616687,0.1902,-0.25269656992401046,-1.7886067970102169,8.51846007365357,0.4054,0.49501605200482607,0.6623205226580929
gamma,start_gap_le_4.0,6,6;8;10;12;16;20,total,unweighted,0.36557441112787975,1.5421548865956702,-3.5522058864837587,4.902228329225498,-0.6999491240794076,-3.7843789311612523,2.498856446497188,0.308,-0.8200376404662091,-1.788869969036351,11.219636823163944,0.4422,0.39366090925065433,0.6072913922954635
gamma,start_gap_le_4.0,6,6;8;10;12;16;20,total,inverse_bootstrap_variance,0.0960084035841617,1.6553505440027263,-5.936666361885778,7.080730802252908,-1.1889113913319733,-3.8543466201649115,1.424015816374337,0.1762,1.6151031428960625,-1.7886886429664268,10.731633084610234,0.4964,0.4362450150354999,0.533599940708827
gamma,start_gap_le_4.0,8,8;10;12;16;20,conditional,unweighted,0.4764546465901062,0.580309792963209,0.1258038214302657,0.860746886239227,-0.055145031096220015,-2.21388453388234,2.1960951432154316,0.4794,-1.587799867813203,-1.6056850412370518,13.550827769562806,0.4814,0.11974182238949785,0.25460464187465104
gamma,start_gap_le_4.0,8,8;10;12;16;20,conditional,inverse_bootstrap_variance,0.5097350199544242,0.5661041398077009,2.237662414503461,-0.8676588789442752,0.29328746333029415,-1.5389382225895993,2.1764349420469467,0.622,-0.7015124602580194,-1.6065366481286023,13.067788780188735,0.4464,0.11640674072279356,0.20767486769440727
gamma,start_gap_le_4.0,8,8;10;12;16;20,disorder,unweighted,0.5925784308729383,0.6985630281363379,0.08948171311558152,1.1009205046951491,-0.07911940356190286,-5.6060723775317545,5.391971645279518,0.4598,-1.6073805277413271,-1.6078507055819053,10.37058299735537,0.3616,0.5479398852579103,1.1988768073753693
gamma,start_gap_le_4.0,8,8;10;12;16;20,disorder,inverse_bootstrap_variance,0.8059744894772192,0.5823343905402469,-9.26807850900606,8.92537030186345,-1.7010560653449585,-6.6338591791741885,3.0105446693752285,0.2328,-0.6418850348488601,-1.6070485809978656,10.202367136563174,0.4128,0.6160279586048015,1.0745336674993882
gamma,start_gap_le_4.0,8,8;10;12;16;20,total,unweighted,1.0690330774630397,1.2788728210995481,0.2152855345458293,1.9616673909343896,-0.13426443465812532,-6.222427544396256,5.865961636200438,0.4614,-1.599839705536727,-1.6069284312338523,12.083248734791745,0.4264,0.4291548191967202,0.9443255954692381
gamma,start_gap_le_4.0,8,8;10;12;16;20,total,inverse_bootstrap_variance,1.084719450718574,1.2571017585327435,-6.796897090707575,7.776463388251146,-1.3275251422869143,-6.86483442893935,3.9602725548964366,0.2972,-0.5860159747781353,-1.6065379970177933,11.958117335940113,0.4296,0.46844115607833964,0.8386504034976837
