model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,128,8,training,0.4814106796,0.477903437,0.478693977
gamma,1,32,marginal,256,16,training,0.5513725343,0.5507749963,0.5507491205
gamma,1,32,marginal,512,32,training,0.6110766753,0.6236465556,0.6231999427
gamma,1,32,marginal,768,48,training,0.6691797637,0.6662736851,0.6657643823
gamma,1,32,marginal,1024,64,training,0.7090645215,0.6965181149,0.6960464436
gamma,1,32,marginal,1536,96,training,0.7007051282,0.7391452444,0.7388423405
gamma,1,32,marginal,2048,128,training,0.7995065065,0.7693896742,0.7692886232
gamma,1,32,marginal,2560,160,training,0.8003602757,0.7928490764,0.7929515323
gamma,1,32,marginal,3072,192,training,0.8237179487,0.8120168037,0.8123159773
gamma,1,32,marginal,4096,256,training,0.8243847875,0.8422612335,0.8429264816
gamma,1,32,marginal,5120,320,heldout,0.9806170886,0.8657206357,0.8667167707
gamma,1,32,marginal,6144,384,heldout,0.8153846154,0.884888363,0.8861852928
gamma,1,32,conditional,128,8,training,0.3747288993,0.3489619983,0.3783442464
gamma,1,32,conditional,256,16,training,0.425357504,0.4227879965,0.4218262639
gamma,1,32,conditional,512,32,training,0.4853365673,0.4966139948,0.4800145953
gamma,1,32,conditional,768,48,training,0.5198886909,0.5397994353,0.5208700198
gamma,1,32,conditional,1024,64,training,0.5660428476,0.570439993,0.5529092407
gamma,1,32,conditional,1536,96,training,0.5678424015,0.6136254336,0.6023673075
gamma,1,32,conditional,2048,128,training,0.6431151151,0.6442659913,0.6405102001
gamma,1,32,conditional,2560,160,training,0.6797462406,0.6680326543,0.6718406622
gamma,1,32,conditional,3072,192,training,0.7105629877,0.6874514319,0.6985709091
gamma,1,32,conditional,4096,256,training,0.7374496644,0.7180919895,0.7428174735
gamma,1,32,conditional,5120,320,heldout,0.7777689873,0.7418586525,0.7788823112
gamma,1,32,conditional,6144,384,heldout,0.7897435897,0.7612774301,0.8094808247
gamma,1,32,disorder,128,8,training,0.1066817803,0.1289414387,0.1003497306
gamma,1,32,disorder,256,16,training,0.1260150303,0.1279869997,0.1289228566
gamma,1,32,disorder,512,32,training,0.125740108,0.1270325608,0.1431853474
gamma,1,32,disorder,768,48,training,0.1492910728,0.1264742498,0.1448943625
gamma,1,32,disorder,1024,64,training,0.1430216739,0.1260781218,0.1431372029
gamma,1,32,disorder,1536,96,training,0.1328627267,0.1255198108,0.136475033
gamma,1,32,disorder,2048,128,training,0.1563913914,0.1251236829,0.1287784231
gamma,1,32,disorder,2560,160,training,0.1206140351,0.1248164222,0.1211108701
gamma,1,32,disorder,3072,192,training,0.113154961,0.1245653719,0.1137450682
gamma,1,32,disorder,4096,256,training,0.08693512304,0.1241692439,0.100109008
gamma,1,32,disorder,5120,320,heldout,0.2028481013,0.1238619832,0.08783445943
gamma,1,32,disorder,6144,384,heldout,0.02564102564,0.1236109329,0.07670446814
gamma,1,16,marginal,128,16,training,0.5615042229,0.5590562134,0.5502080472
gamma,1,16,marginal,256,32,training,0.6171496777,0.6261637334,0.6264533495
gamma,1,16,marginal,512,64,training,0.6733820164,0.6932712534,0.6982699943
gamma,1,16,marginal,768,96,training,0.7441684796,0.7325266362,0.7382270378
gamma,1,16,marginal,1024,128,training,0.7737354118,0.7603787735,0.7656579818
gamma,1,16,marginal,1536,192,training,0.8163334506,0.7996341562,0.8030244267
gamma,1,16,marginal,2048,256,training,0.8052882883,0.8274862935,0.8286173119
gamma,1,16,marginal,2560,320,training,0.8926033835,0.8490900895,0.8479433465
gamma,1,16,marginal,3072,384,training,0.8612430323,0.8667416762,0.8633931583
gamma,1,16,marginal,4096,512,training,0.8635346756,0.8945938135,0.8871479846
gamma,1,16,marginal,5120,640,heldout,0.8662974684,0.9161976095,0.90504831
gamma,1,16,marginal,6144,768,heldout,0.9932692308,0.9338491962,0.9193332325
gamma,1,16,conditional,128,16,training,0.420498083,0.4309496275,0.4146629395
gamma,1,16,conditional,256,32,training,0.4931298411,0.4900735021,0.490606594
gamma,1,16,conditional,512,64,training,0.5405436087,0.5491973766,0.5583984847
gamma,1,16,conditional,768,96,training,0.589244186,0.5837826261,0.5942752706
gamma,1,16,conditional,1024,128,training,0.6179788263,0.6083212511,0.6180386115
gamma,1,16,conditional,1536,192,training,0.643290924,0.6429065006,0.6491469213
gamma,1,16,conditional,2048,256,training,0.6539319319,0.6674451257,0.6695269745
gamma,1,16,conditional,2560,320,training,0.7427286967,0.686478762,0.6843679692
