model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.0025,0.0003333333333,0.3416370923,0.3323579124,0.3505543011,0.2591225065,0.2491918764,0.2687761321,0.08251458576,0.07332497222,0.0916354191
gamma,1,32,64,4,6000,-0.02816666667,-0.01016666667,0.4197882703,0.4092480636,0.4302722923,0.3277259543,0.3157558663,0.3396225982,0.09206231594,0.08088155943,0.1033616436
gamma,1,32,128,8,6000,-0.01866666667,-0.018,0.4814106796,0.4690855886,0.4934846863,0.3747288993,0.3614761238,0.3885646743,0.1066817803,0.09394327805,0.1194026907
gamma,1,32,256,16,6000,-0.009166666667,-0.01883333333,0.5513725343,0.5372846336,0.5656143579,0.425357504,0.4098091463,0.4410556134,0.1260150303,0.111589792,0.1405002771
gamma,1,32,512,32,5000,-0.0172,-0.0282,0.6110766753,0.5938188003,0.628214887,0.4853365673,0.4660063573,0.5049405136,0.125740108,0.1077916303,0.1435607021
gamma,1,32,768,48,4000,0.00025,-0.015,0.6691797637,0.6478715749,0.6898005454,0.5198886909,0.4972015699,0.5431115123,0.1492910728,0.1280026428,0.1708648131
gamma,1,32,1024,64,3000,-0.001,-0.026,0.7090645215,0.6837100422,0.7350362343,0.5660428476,0.5367884614,0.5954149661,0.1430216739,0.1168961543,0.169472941
gamma,1,32,1536,96,1600,-0.02875,-0.03375,0.7007051282,0.6661389882,0.735254324,0.5678424015,0.5289539312,0.6071288452,0.1328627267,0.09761271693,0.1685472756
gamma,1,32,2048,128,1000,-0.019,0.065,0.7995065065,0.7512192192,0.8470271396,0.6431151151,0.5921412788,0.6968124124,0.1563913914,0.1047017768,0.2063859359
gamma,1,32,2560,160,400,0.025,-0.0125,0.8003602757,0.7222149123,0.8780899906,0.6797462406,0.5986825658,0.7630814536,0.1206140351,0.03934711779,0.2031096491
gamma,1,32,3072,192,300,-0.03333333333,-0.01666666667,0.8237179487,0.7194580546,0.9313439242,0.7105629877,0.5868171683,0.8439241918,0.113154961,0.009609253066,0.2196020067
