model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,128,6144,12,0.0001029405332,-0.03493569323,0.03399047005,-2.484759614,-2.482732827,4.888337563
gamma,1,32,disorder,256,6144,11,-0.002437519995,-0.05819994097,0.05158370689,-2.36557505,-2.395678638,4.724909346
gamma,1,32,disorder,512,6144,10,-0.005908105177,-0.1069242558,0.09165289425,-2.241969601,-2.300038061,6.121943253
gamma,1,32,disorder,768,6144,9,-0.01833306071,-0.168297022,0.1286232247,-1.942448277,-2.19404106,5.694855349
gamma,1,32,disorder,1024,6144,8,-0.04922553754,-0.2594998775,0.1547851237,-1.197544885,-2.074602216,4.381792288
gamma,1,32,disorder,1536,6144,7,-0.1127740102,-0.4998569152,0.2592788052,-0.6002371068,-1.941153829,4.648250818
gamma,1,32,disorder,2048,6144,6,-0.2876574956,-0.9822412808,0.3861321244,1.137611575,-1.783475138,6.524924579
gamma,1,32,disorder,2560,6144,5,-0.7005914608,-1.928698071,0.4970239434,7.029744524,-1.591511888,18.48272203
gamma,1,16,disorder,128,6144,12,0.009665405802,-0.01421600835,0.0327698738,-1.928841301,-2.483613482,2.019064016
gamma,1,16,disorder,256,6144,11,0.01523354088,-0.0213020737,0.0509905223,-1.853089028,-2.396833689,1.760663069
gamma,1,16,disorder,512,6144,10,0.03470193749,-0.0313120043,0.09781762159,-1.37953161,-2.30065277,2.571432696
gamma,1,16,disorder,768,6144,9,0.06245442389,-0.03610216405,0.1564189186,-0.8704424278,-2.193674418,3.092371406
gamma,1,16,disorder,1024,6144,8,0.09264793095,-0.04374852697,0.2224467942,-0.706958222,-2.074952542,2.709367871
gamma,1,16,disorder,1536,6144,7,0.2704067394,0.01128231604,0.5138194366,1.919432448,-1.874894338,7.426532529
gamma,1,16,disorder,2048,6144,6,0.4172253874,-0.07916973184,0.8676590067,1.272726997,-1.770784437,5.627097964
gamma,1,16,disorder,2560,6144,5,0.9633168123,0.008131382786,1.830586442,5.790594172,-1.493898597,13.82244033
gamma,1,8,disorder,128,6144,12,0.009982240789,-0.01827706872,0.0386747147,-1.799683413,-2.483667064,3.939736269
gamma,1,8,disorder,256,6144,11,0.01651508647,-0.02795901668,0.06149814643,-1.655564995,-2.396682768,4.848198003
gamma,1,8,disorder,512,6144,10,0.03270399694,-0.04607400236,0.114051489,-1.353286228,-2.301322631,7.800080992
gamma,1,8,disorder,768,6144,9,0.03216004282,-0.08597804181,0.1521347962,-1.791894559,-2.196080296,6.858621651
gamma,1,8,disorder,1024,6144,8,0.0353509177,-0.1268852609,0.2042920281,-1.853510129,-2.078301112,6.709112656
gamma,1,8,disorder,1536,6144,7,-0.05656259104,-0.3554168071,0.2635743152,-1.770307128,-1.944333148,4.044075198
gamma,1,8,disorder,2048,6144,6,-0.2195963823,-0.7855865965,0.3558470776,-0.979709519,-1.789039833,4.576085461
gamma,1,8,disorder,2560,6144,5,-0.770821145,-1.853227291,0.3309118181,2.498105318,-1.585095357,15.18883309
gamma,1,4,disorder,128,6144,12,-0.001049395746,-0.03177836119,0.03062038829,-2.477687638,-2.483852161,2.664299191
gamma,1,4,disorder,256,6144,11,-0.00401764163,-0.05160798332,0.04584937613,-2.35649915,-2.396855293,2.499762309
gamma,1,4,disorder,512,6144,10,-0.01858345067,-0.1041169802,0.07240279326,-2.016156283,-2.300833937,2.585815057
gamma,1,4,disorder,768,6144,9,-0.03787503347,-0.1666122014,0.09726692823,-1.677513956,-2.195502317,2.702880847
gamma,1,4,disorder,1024,6144,8,-0.04926345311,-0.2297359631,0.1380397525,-1.673703005,-2.077687811,2.304929961
gamma,1,4,disorder,1536,6144,7,-0.1854371895,-0.5244105823,0.1575219689,-0.1919868104,-1.941717046,4.11886038
gamma,1,4,disorder,2048,6144,6,-0.4224675558,-1.048704131,0.2077225134,1.229133822,-1.780836722,6.801651038
gamma,1,4,disorder,2560,6144,5,-0.5229230295,-1.700822853,0.656086092,-0.05988927911,-1.604375311,6.060961276
uniform,1,32,marginal,128,6144,12,-0.0007452731496,-0.02901133027,0.02312941711,-2.449575911,-2.48266539,5.784375143
uniform,1,32,marginal,256,6144,11,0.0007787607356,-0.04317256746,0.03837011532,-2.382682401,-2.395366339,5.182693591
uniform,1,32,marginal,512,6144,10,0.005163311819,-0.07288109097,0.07226835488,-2.086485032,-2.300570609,5.554930023
uniform,1,32,marginal,768,6144,9,0.01412530513,-0.09981963672,0.1143096183,-1.477681665,-2.195033581,5.372176729
uniform,1,32,marginal,1024,6144,8,0.008182604017,-0.1493875188,0.1503352626,-1.963531168,-2.077546368,5.29091791
uniform,1,32,marginal,1536,6144,7,0.02500461133,-0.2671301403,0.2922302999,-1.642781906,-1.943545353,5.421790442
uniform,1,32,marginal,2048,6144,6,0.120667032,-0.4242094028,0.6338387309,0.7198900059,-1.788648538,11.2402291
uniform,1,32,marginal,2560,6144,5,-0.03053111446,-1.077525179,0.9482484784,-1.503361974,-1.605034286,12.5894362
uniform,1,16,marginal,128,6144,12,0.03912906026,-0.009103982854,0.08330318511,1.816402035,-2.437606626,6.563818091
uniform,1,16,marginal,256,6144,11,0.05833823609,-0.01742589282,0.1290713302,1.630308339,-2.359914805,6.009750882
uniform,1,16,marginal,512,6144,10,0.1064983124,-0.02958990607,0.2347002297,2.50360762,-2.265153187,8.123982542
uniform,1,16,marginal,768,6144,9,0.1462019135,-0.05456983987,0.3378494205,2.054174435,-2.17054932,7.295273392
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.06941833878,0.476498439,2.277526375,-2.048429562,8.036298634
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1442041021,0.8474492311,2.172985691,-1.916013457,8.280119077
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.2963966089,1.490300122,2.204521324,-1.768426751,8.917012434
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6170109665,2.55017227,2.155202438,-1.590611679,10.12052953
uniform,1,8,marginal,128,6144,12,0.001190428762,-0.02845770633,0.02547907263,-2.401702287,-2.482627051,4.182306883
uniform,1,8,marginal,256,6144,11,-0.0008791899145,-0.04636938315,0.03720601848,-2.379847003,-2.395861989,4.711481749
uniform,1,8,marginal,512,6144,10,-0.009600166679,-0.08995128585,0.05842356901,-1.577538883,-2.299329932,7.672074292
uniform,1,8,marginal,768,6144,9,-0.001033967441,-0.1183917864,0.1008164354,-2.193251812,-2.195040543,6.269705499
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1505618186,0.1514877591,-1.899169152,-2.077638382,5.335996444
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.2503787019,0.308290098,-0.9992772113,-1.943763692,8.0755917
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.5975725517,0.4445217583,-1.081866456,-1.789367567,8.258858732
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.19255611,0.7207663779,2.65074292,-1.604699851,13.21123734
uniform,1,4,marginal,128,6144,12,-0.01160432647,-0.04264013434,0.01410672162,-1.847714395,-2.482926295,3.772591365
