model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,512,6144,10,0.1525428444,0.1276079912,1.367573937,-0.400528727,0.05577243601,-0.05141183137,0.1530908169,0.824,-0.12454842,-2.296995438,4.441400045,0.3405,0.181601636,0.22734314
gamma,1,32,conditional,512,6144,10,0.1228930014,0.1108409551,1.466635192,-0.4732425265,0.06168054118,-0.06620532761,0.2049626223,0.7716,-1.117580345,-2.298147897,3.647129361,0.2128,0.2517371134,0.3428664977
gamma,1,32,disorder,512,6144,10,0.02964984302,0.01676703617,-0.09906125519,0.07271379953,-0.005908105177,-0.1058089845,0.09085577985,0.4534,-2.241969601,-2.298901391,6.297404146,0.2757,0.07349326046,0.1157937949
gamma,1,16,marginal,512,6144,10,0.4733110815,0.0585695206,-0.491825146,0.4219901441,-0.0334771303,-0.09859174245,0.02091648366,0.097,1.313280394,-2.294078937,8.336819007,0.4597,0.09115052889,0.111954541
gamma,1,16,conditional,512,6144,10,0.5019372844,0.03440745083,-1.463646016,0.7745449449,-0.06817906779,-0.1381725132,-0.002896653292,0.0207,-0.5103337357,-2.269980335,4.319028627,0.3468,0.2378290973,0.3453840253
gamma,1,16,disorder,512,6144,10,-0.02862620285,0.02416206977,0.9718208705,-0.3525548007,0.03470193749,-0.03169322541,0.09846693716,0.8396,-1.37953161,-2.300618342,2.601930768,0.1517,0.1509355728,0.2352706124
gamma,1,8,marginal,512,6144,10,0.3480767168,0.08693642527,-0.8648893971,0.4900665862,-0.03292986885,-0.1235324523,0.05506176488,0.19,-1.551929685,-2.299293341,3.808434152,0.245,0.1547422345,0.1762628331
gamma,1,8,conditional,512,6144,10,0.4021079968,0.05995462344,-2.015504278,0.8634498027,-0.0656338658,-0.1702929276,0.03630355832,0.0915,5.652617012,-2.289472326,9.470023425,0.6248,0.1252646426,0.08586618603
gamma,1,8,disorder,512,6144,10,-0.05403128,0.02698180183,1.15061488,-0.3733832165,0.03270399694,-0.04604338651,0.1146542769,0.7831,-1.353286228,-2.300956703,7.549988911,0.2728,0.1227487164,0.1203933435
gamma,1,4,marginal,512,6144,10,0.3863309243,0.07913562278,0.8491144967,-0.05856900765,0.01010425783,-0.08540901515,0.0949293904,0.5034,-2.237901947,-2.301277487,2.921753798,0.1375,0.1405846127,0.1431687846
gamma,1,4,conditional,512,6144,10,0.3949605342,0.05932865858,1.708881897,-0.331638235,0.02868770849,-0.08731727718,0.1372616916,0.6252,-2.005778616,-2.301066206,4.241016196,0.1438,0.2075291787,0.247685555
gamma,1,4,disorder,512,6144,10,-0.008629609933,0.0198069642,-0.8597674007,0.2730692274,-0.01858345067,-0.103210033,0.07231684627,0.3263,-2.016156283,-2.300952923,2.603780106,0.1498,0.1090624507,0.1964854442
uniform,1,32,marginal,512,6144,10,0.2786324471,0.09934260083,0.3911178404,0.05044865332,0.005163311819,-0.07341098122,0.07273545146,0.4693,-2.086485032,-2.299991383,5.604564289,0.2725,0.01912896208,0.02265326457
uniform,1,32,conditional,512,6144,10,0.2678524106,0.1005647836,0.2980700419,0.08743010686,0.001387051668,-0.103051157,0.09771210582,0.4391,-2.264244706,-2.300391572,6.47667416,0.2985,0.01511480164,0.03020740853
uniform,1,32,disorder,512,6144,10,0.01078003648,-0.001222182728,0.09304779856,-0.03698145354,0.003776260151,-0.05994570341,0.06877116211,0.5565,-2.205953535,-2.300730682,4.947461369,0.2303,0.005607929003,0.01097921261
uniform,1,16,marginal,512,6144,10,-0.1072193948,0.1775960713,2.963096924,-0.9785270121,0.1064983124,-0.03203047647,0.2361272424,0.9271,2.50360762,-2.267860976,8.010882761,0.6897,0.2538889032,0.2302174461
uniform,1,16,conditional,512,6144,10,0.03052783448,0.1482415759,2.409129427,-0.7474173471,0.08250519792,-0.07655495825,0.2394264712,0.816,-0.279563237,-2.294246636,4.760357239,0.3636,0.2736881917,0.3230667223
uniform,1,16,disorder,512,6144,10,-0.1377472293,0.02935449532,0.5539674968,-0.231109665,0.0239931145,-0.08456237297,0.1291390482,0.6666,-0.2358970202,-2.299823992,12.03112081,0.3809,0.03230370238,0.09659643824
uniform,1,8,marginal,512,6144,10,0.2721409719,0.09792882895,-0.08147953359,0.2154548584,-0.009600166679,-0.089635516,0.05869756255,0.3241,-1.577538883,-2.300320167,8.13885477,0.3143,0.02848339028,0.03790695907
uniform,1,8,conditional,512,6144,10,0.3261578668,0.08779645907,-0.6003720272,0.3957293362,-0.02515363583,-0.1245377567,0.06503765729,0.2505,-1.512388607,-2.300593545,7.2377828,0.2853,0.0925336307,0.1285179846
