model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.0001325763306,-0.05539915746,0.04425802868,0.3852,-3.688823674,-3.687567125,3.057457607,0.1049,0.1457710239,0.1461975979
gamma,marginal,weighted,-0.01460927298,-0.0351796968,0.00121095663,0.0337,-0.4980703498,-3.667644402,6.019204312,0.3096,0.1330171824,0.1346009702
gamma,conditional,unweighted,-0.01086117098,-0.07246962174,0.04174803615,0.2687,-3.496541861,-3.687762039,5.264210781,0.1311,0.2113609735,0.2111140286
gamma,conditional,weighted,-0.03090024305,-0.05378536659,-0.01196696895,0.0011,4.346315391,-2.96635722,10.30190379,0.6902,0.1840789436,0.1816174805
gamma,disorder,unweighted,0.01072859465,-0.03430337413,0.05599805927,0.6647,-3.262999525,-3.687687223,3.850492705,0.1075,0.1174145136,0.1198050301
gamma,disorder,weighted,0.01258607729,-0.006016193587,0.0307338657,0.9069,-1.71425015,-3.686081755,2.844357404,0.1273,0.1026881826,0.09830447002
uniform,marginal,unweighted,0.01395507284,-0.04020301439,0.0534300669,0.6072,-3.055030581,-3.687802391,1.824715917,0.0653,0.1484834851,0.1540074732
uniform,marginal,weighted,-0.004297825805,-0.02548443351,0.01154618262,0.231,-3.323173561,-3.687686981,2.104039128,0.0778,0.1589711429,0.1626415528
uniform,conditional,unweighted,-0.006344367874,-0.07628523476,0.05506792273,0.3335,-3.598699061,-3.687649977,5.497291738,0.1376,0.1788916676,0.1909564902
uniform,conditional,weighted,-0.01974742003,-0.04862062735,0.003212849846,0.0441,1.725661573,-3.674035636,8.435755092,0.3716,0.172010746,0.1771167753
uniform,disorder,unweighted,0.02029944071,-0.02543464578,0.06387807729,0.8102,0.8967963731,-3.685626032,8.580741744,0.276,0.06312435844,0.05917035703
uniform,disorder,weighted,0.01390067494,-0.004690255158,0.03256383845,0.9281,-0.1415732979,-3.682062427,5.251028929,0.2287,0.07102254569,0.05646337522
