model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.01989280315,-0.05457128586,0.009925484386,0.0889,-0.03110388748,-2.298653313,6.316419086,0.3583,0.1503406123,0.2072071601
gamma,1,32,conditional,-0.04326783405,-0.08392546077,-0.006943910731,0.0107,2.148553717,-2.204037686,8.718455554,0.6208,0.2094734454,0.299661404
gamma,1,32,disorder,0.01993631601,-0.01251357307,0.05217707212,0.8877,-0.2612704091,-2.299444717,5.209829315,0.2839,0.06428101035,0.0863242197
gamma,1,16,marginal,-0.00746975203,-0.04229231058,0.02284166902,0.2653,-1.911381821,-2.301469922,3.777500489,0.1685,0.08264383715,0.09991224337
gamma,1,16,conditional,-0.01488610749,-0.05625789702,0.02325008615,0.1966,-1.838644816,-2.301291802,2.195136338,0.1234,0.1857879427,0.2386752256
gamma,1,16,disorder,-0.0009480812461,-0.03616083238,0.03348524374,0.4671,-2.30005924,-2.301959132,0.9310659163,0.0561,0.1134682975,0.1485879778
gamma,1,8,marginal,0.003929077215,-0.03736900152,0.04009348983,0.5128,-2.246930088,-2.301933638,1.790264829,0.0894,0.1479368235,0.1561885124
gamma,1,8,conditional,-0.02418293313,-0.07167654332,0.0193023241,0.1236,-1.293589762,-2.300047324,3.758597973,0.2096,0.1350058368,0.102762489
gamma,1,8,disorder,0.02553703918,-0.01325707949,0.06278852162,0.9019,-0.1034721225,-2.298751464,5.275080085,0.3044,0.1439636462,0.1209718272
gamma,1,4,marginal,-0.03712686714,-0.07952872288,-0.0007406478903,0.0222,0.3101872897,-2.273249879,6.134242651,0.4575,0.1394871892,0.166573476
gamma,1,4,conditional,-0.04408453345,-0.09617831007,0.003195189601,0.0343,2.79625066,-2.276767967,9.726152682,0.5763,0.1972748589,0.251010446
gamma,1,4,disorder,0.005394239675,-0.03583611569,0.04685034926,0.5938,-2.241090106,-2.302016951,1.057033604,0.0619,0.06668445924,0.08478427908
uniform,1,32,marginal,-0.007534880332,-0.0424424804,0.02319100753,0.2655,-1.934833256,-2.301408909,3.623265056,0.1618,0.01332120726,0.04224771111
uniform,1,32,conditional,-0.01367504529,-0.06115178626,0.0299932569,0.2369,-1.076382005,-2.30054885,5.651220653,0.2488,0.003256701553,0.05171893274
uniform,1,32,disorder,0.006931203314,-0.02381330024,0.03814459459,0.6722,-1.756019321,-2.30133197,3.922696796,0.1793,0.009074554791,0.01624768946
uniform,1,16,marginal,0.02704618963,-0.01215724222,0.06223618168,0.9069,1.676920451,-2.296828763,7.345621786,0.3871,0.2731084513,0.2249503923
uniform,1,16,conditional,-0.02174719574,-0.07285017204,0.02671961147,0.1696,0.0628769159,-2.299475397,6.719498242,0.3097,0.2466335817,0.2992478654
uniform,1,16,disorder,0.04793350175,0.01022267692,0.08531448761,0.993,12.83020453,-1.941088915,14.69961085,0.8425,0.08262447256,0.07145144461
uniform,1,8,marginal,-0.02762825963,-0.06666368516,0.005749189812,0.0496,4.211301292,-2.285429148,10.43046182,0.5618,0.04149165355,0.05977304421
uniform,1,8,conditional,-0.02239443835,-0.07405106255,0.02334799817,0.1527,-0.9468182005,-2.300183379,5.138885823,0.2536,0.09360003618,0.09670968694
uniform,1,8,disorder,-0.005567083564,-0.04139941037,0.03011937944,0.3736,-2.228544374,-2.30198911,0.8421830647,0.0543,0.06231883555,0.06463304532
uniform,1,4,marginal,-0.007107881521,-0.04968508842,0.02992865191,0.3133,-2.132555375,-2.301721902,2.564684358,0.1176,0.1568440596,0.1597451015
uniform,1,4,conditional,-0.02275352193,-0.07851485782,0.02920736754,0.178,-1.223985332,-2.300880908,4.569861255,0.2176,0.220796491,0.2230321054
uniform,1,4,disorder,0.01068235694,-0.02728266758,0.04824626722,0.7059,-1.499572968,-2.301298823,4.257942689,0.1872,0.09687115003,0.1015716348
