model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.03771156623,-0.1325348238,0.05026499221,0.1748,-0.9908886319,-2.077375269,5.730945785,0.2857,0.1378117497,0.1408565382
gamma,1,32,conditional,-0.02294936273,-0.1374557422,0.08604164712,0.3072,-1.692889501,-2.078097287,5.089620771,0.2244,0.1253861902,0.1935718649
gamma,1,32,disorder,-0.02998869581,-0.1165189962,0.05906693377,0.2514,-1.380277076,-2.077793639,4.491407215,0.2082,0.1039419654,0.1740445108
gamma,1,16,marginal,-0.05540336361,-0.1450342826,0.02203568126,0.0742,2.721380855,-2.070261096,9.91602759,0.5281,0.1275473037,0.1374677267
gamma,1,16,conditional,0.03794760977,-0.07593368983,0.1427336399,0.7128,-0.4402888016,-2.077482725,5.963240768,0.2666,0.06969705148,0.1205224848
gamma,1,16,disorder,-0.08636565595,-0.1744295702,0.003700515818,0.03,8.484606473,-2.031572025,13.08837677,0.7204,0.1562480079,0.07259012779
gamma,1,8,marginal,0.08486462216,-0.03750258678,0.1959502753,0.9044,0.9562159111,-2.073844151,7.103091731,0.3939,0.15726378,0.1070014391
gamma,1,8,conditional,-0.03375879848,-0.1705021601,0.09653628656,0.2774,-1.703313306,-2.077913711,3.935198016,0.185,0.1800221736,0.2570490066
gamma,1,8,disorder,0.09817219645,-0.01686921726,0.2097324095,0.9529,0.7166034077,-2.066497758,6.746198729,0.4492,0.2953635151,0.3392662801
gamma,1,4,marginal,-0.05045415146,-0.1701339924,0.05667779222,0.1563,0.1729093914,-2.076434024,8.282952114,0.3704,0.07883134673,0.06016379276
gamma,1,4,conditional,-0.01787534659,-0.148612466,0.1042433056,0.3457,-1.997559434,-2.078769683,2.534110449,0.1182,0.2437894423,0.3006953764
gamma,1,4,disorder,-0.1031955586,-0.2200961251,0.01245118638,0.0387,1.487729141,-2.060393332,8.237203758,0.5374,0.1862845711,0.2756844061
uniform,1,32,marginal,-0.01355614958,-0.1095828322,0.06662911341,0.326,-1.871459561,-2.07820076,4.68167359,0.2082,0.01036638738,0.05223795806
uniform,1,32,conditional,-0.008671711466,-0.1390993623,0.1080231308,0.3956,-1.473196357,-2.077692959,6.835818724,0.2862,0.003701796522,0.02784627798
uniform,1,32,disorder,-0.002234610342,-0.0870059832,0.08337019448,0.4791,-2.071696658,-2.078248528,4.34557609,0.1875,0.005156250289,0.009231798119
uniform,1,16,marginal,0.05052194304,-0.05994879392,0.1528176453,0.7948,0.5411802577,-2.076947402,6.73146189,0.3103,0.2645767185,0.2271444045
uniform,1,16,conditional,-0.0081079292,-0.1550290265,0.1240350004,0.4137,-2.035050603,-2.078178513,4.76404479,0.2084,0.2755421249,0.3311110078
uniform,1,16,disorder,0.05891915754,-0.04753772763,0.16280738,0.8654,2.357293973,-2.074807794,8.791480644,0.4208,0.03906600226,0.1072137944
uniform,1,8,marginal,-0.01651947492,-0.1213198584,0.07623526218,0.305,-1.714950782,-2.078011653,5.589539604,0.242,0.03055629413,0.07272973264
uniform,1,8,conditional,-0.09488858214,-0.2328826455,0.03050624756,0.066,3.596252474,-2.066968556,10.7203308,0.5669,0.0972469858,0.191809399
uniform,1,8,disorder,0.0746996261,-0.02156583531,0.172363098,0.9336,1.243002898,-2.07181239,8.079993348,0.4591,0.08045730272,0.1192818115
uniform,1,4,marginal,-0.06559487123,-0.1753372973,0.03192753318,0.0863,0.41425684,-2.072191211,7.761472277,0.4317,0.155478667,0.1429781964
uniform,1,4,conditional,-0.1066825244,-0.2511721705,0.02880601791,0.0577,1.172929036,-2.070142456,8.491643291,0.4973,0.225107044,0.1794342859
uniform,1,4,disorder,0.03128781057,-0.07098037713,0.1305143117,0.7233,-1.033923427,-2.077982594,5.724320086,0.2495,0.1084816645,0.138139938
