model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,512,6144,10,-0.02525883968,-0.1277609911,0.07130446439,-1.120747567,-2.299682935,6.010569993
gamma,1,32,disorder,768,6144,9,-0.04028326954,-0.1924870992,0.1042867527,-0.868333797,-2.193700689,6.96708782
gamma,1,32,disorder,1024,6144,8,-0.05772212658,-0.2717291806,0.1438512795,-0.7993747189,-2.076835462,6.940653522
gamma,1,32,disorder,1536,6144,7,-0.1145098869,-0.5039701658,0.2591447894,-0.4767449292,-1.943185893,9.718191331
gamma,1,32,disorder,2048,6144,6,-0.1084915666,-0.818371278,0.588750235,-1.381170798,-1.788997044,8.332638525
gamma,1,32,disorder,2560,6144,5,-0.2172294666,-1.47927216,1.021433475,-1.110698948,-1.606410896,14.67176342
gamma,1,16,disorder,512,6144,10,-0.05634920796,-0.1252859443,0.0134753404,3.327205722,-2.275402984,8.705680583
gamma,1,16,disorder,768,6144,9,-0.082761363,-0.1862892669,0.02185791525,3.67439325,-2.16973912,9.545965213
gamma,1,16,disorder,1024,6144,8,-0.1211302155,-0.2657982962,0.0260877804,4.522802199,-2.041089002,11.25926607
gamma,1,16,disorder,1536,6144,7,-0.1643914854,-0.4340042891,0.104833627,2.192109758,-1.936819881,8.296687636
gamma,1,16,disorder,2048,6144,6,-0.2650829473,-0.7724449003,0.2341912011,1.857055982,-1.783944608,8.787718354
gamma,1,16,disorder,2560,6144,5,-0.525230168,-1.479313098,0.4042122747,4.041188977,-1.596742649,15.60170186
gamma,1,8,disorder,512,6144,10,0.08751642609,-0.002919763446,0.1772307498,0.7027106839,-2.267262853,4.134272979
gamma,1,8,disorder,768,6144,9,0.1439364202,0.01020128522,0.2762805242,1.59240401,-2.10494668,5.235483114
gamma,1,8,disorder,1024,6144,8,0.2494359482,0.06206551223,0.4340942454,4.051857236,-1.548970681,9.239734136
gamma,1,8,disorder,1536,6144,7,0.4290969055,0.08092663441,0.7722120434,4.424812328,-1.656201798,9.787942106
gamma,1,8,disorder,2048,6144,6,0.7334103093,0.08701428908,1.377838646,5.490252869,-1.633683443,12.95333072
gamma,1,8,disorder,2560,6144,5,0.9163130738,-0.2982800341,2.144965637,2.822282359,-1.592685809,11.23189248
gamma,1,4,disorder,512,6144,10,0.006879814515,-0.08720133674,0.1092179545,-2.285576026,-2.301813829,2.374865713
