model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,512,32,training,0.6307488498,0.6223606654,0.637245101
gamma,1,32,marginal,768,48,training,0.665597118,0.6632887256,0.6619023414
gamma,1,32,marginal,1024,64,training,0.686212293,0.6923276464,0.6841690547
gamma,1,32,marginal,1536,96,training,0.7436425109,0.7332557065,0.7222781538
gamma,1,32,marginal,2048,128,training,0.7556196196,0.7622946273,0.7540891128
gamma,1,32,marginal,2560,160,training,0.7530545113,0.7848189642,0.7814915216
gamma,1,32,marginal,3072,192,training,0.7911928651,0.8032226875,0.8056500706
gamma,1,32,marginal,4096,256,training,0.8677628635,0.8322616083,0.8470052753
gamma,1,32,marginal,5120,320,heldout,0.6992879747,0.8547859452,0.8818107761
gamma,1,32,marginal,6144,384,heldout,0.9916666667,0.8731896684,0.9120180918
gamma,1,32,conditional,512,32,training,0.5473614523,0.5530689992,0.5469095916
gamma,1,32,conditional,768,48,training,0.5801755126,0.5815423481,0.5821160551
gamma,1,32,conditional,1024,64,training,0.5965312882,0.6017445106,0.6051206609
gamma,1,32,conditional,1536,96,training,0.665909162,0.6302178594,0.6347605391
gamma,1,32,conditional,2048,128,training,0.6364364364,0.6504200219,0.6538155897
gamma,1,32,conditional,2560,160,training,0.6629041353,0.6660900366,0.6674669834
gamma,1,32,conditional,3072,192,training,0.6704347826,0.6788933708,0.6778888824
gamma,1,32,conditional,4096,256,training,0.7013199105,0.6990955333,0.6929943778
gamma,1,32,conditional,5120,320,heldout,0.7087816456,0.7147655479,0.7035822585
gamma,1,32,conditional,6144,384,heldout,0.9115384615,0.7275688821,0.7115010851
gamma,1,32,disorder,512,32,training,0.08338739748,0.06929166619,0.09033550945
gamma,1,32,disorder,768,48,training,0.0854216054,0.08174637749,0.07978628628
gamma,1,32,disorder,1024,64,training,0.08968100478,0.09058313579,0.07904839377
gamma,1,32,disorder,1536,96,training,0.07773334897,0.1030378471,0.08751761475
gamma,1,32,disorder,2048,128,training,0.1191831832,0.1118746054,0.1002735231
gamma,1,32,disorder,2560,160,training,0.09015037594,0.1187289276,0.1140245382
gamma,1,32,disorder,3072,192,training,0.1207580825,0.1243293167,0.1277611882
gamma,1,32,disorder,4096,256,training,0.166442953,0.133166075,0.1540108975
gamma,1,32,disorder,5120,320,heldout,-0.009493670886,0.1400203972,0.1782285177
gamma,1,32,disorder,6144,384,heldout,0.08012820513,0.1456207863,0.2005170067
gamma,1,16,marginal,512,64,training,0.6749935387,0.6835571717,0.6843367423
gamma,1,16,marginal,768,96,training,0.7304140723,0.7249323761,0.7248597644
gamma,1,16,marginal,1024,128,training,0.765083639,0.7542885508,0.7538612455
gamma,1,16,marginal,1536,192,training,0.8031103424,0.7956637553,0.7950888072
gamma,1,16,marginal,2048,256,training,0.8269109109,0.82501993,0.8245901671
gamma,1,16,marginal,2560,320,training,0.8327318296,0.8477903481,0.8476160737
gamma,1,16,marginal,3072,384,training,0.8390356745,0.8663951344,0.8665222683
gamma,1,16,marginal,4096,512,training,0.9211185682,0.8957513092,0.896523507
gamma,1,16,marginal,5120,640,heldout,0.7922468354,0.9185217273,0.9199371497
gamma,1,16,marginal,6144,768,heldout,0.7766025641,0.9371265136,0.9391601478
gamma,1,16,conditional,512,64,training,0.6066189038,0.6108567489,0.6217781402
gamma,1,16,conditional,768,96,training,0.6408426794,0.6389403383,0.6379230848
gamma,1,16,conditional,1024,128,training,0.6873797377,0.658865962,0.6528796301
gamma,1,16,conditional,1536,192,training,0.6804094356,0.6869495513,0.6788948188
gamma,1,16,conditional,2048,256,training,0.6876556557,0.706875175,0.7008544137
gamma,1,16,conditional,2560,320,training,0.7180451128,0.7223306895,0.7198891927
gamma,1,16,conditional,3072,384,training,0.6927257525,0.7349587644,0.7367398464
gamma,1,16,conditional,4096,512,training,0.80098434,0.7548843881,0.7657024909
gamma,1,16,conditional,5120,640,heldout,0.6553797468,0.7703399026,0.7901692572
gamma,1,16,conditional,6144,768,heldout,0.7996794872,0.7829679774,0.8114581677
gamma,1,16,disorder,512,64,training,0.06837463493,0.07270042273,0.06255860213
gamma,1,16,disorder,768,96,training,0.08957139285,0.08599203784,0.08693667961
gamma,1,16,disorder,1024,128,training,0.0777039013,0.09542258884,0.1009816154
gamma,1,16,disorder,1536,192,training,0.1227009068,0.108714204,0.1161939884
gamma,1,16,disorder,2048,256,training,0.1392552553,0.118144755,0.1237357534
gamma,1,16,disorder,2560,320,training,0.1146867168,0.1254596586,0.127726881
gamma,1,16,disorder,3072,384,training,0.146309922,0.1314363701,0.1297824219
gamma,1,16,disorder,4096,512,training,0.1201342282,0.1408669211,0.1308210161
gamma,1,16,disorder,5120,640,heldout,0.1368670886,0.1481818247,0.1297678925
gamma,1,16,disorder,6144,768,heldout,-0.02307692308,0.1541585362,0.1277019801
gamma,1,8,marginal,512,128,training,0.7698812362,0.7534233124,0.7836018312
gamma,1,8,marginal,768,192,training,0.7891967992,0.8012278232,0.7984168989
gamma,1,8,marginal,1024,256,training,0.8567381905,0.8351456633,0.8186039402
gamma,1,8,marginal,1536,384,training,0.8777397983,0.882950174,0.8606929458
gamma,1,8,marginal,2048,512,training,0.9231291291,0.9168680142,0.9002311539
gamma,1,8,marginal,2560,640,training,0.8945833333,0.9431767349,0.9364302722
gamma,1,8,marginal,3072,768,training,0.8937346711,0.9646725249,0.9695940974
gamma,1,8,marginal,4096,1024,training,1.091051454,0.9985903651,1.028483472
gamma,1,8,marginal,5120,1280,heldout,1.175870253,1.024899086,1.079692522
gamma,1,8,marginal,6144,1536,heldout,1.077884615,1.046394876,1.125120354
gamma,1,8,conditional,512,128,training,0.673070114,0.6201832211,0.7026362255
gamma,1,8,conditional,768,192,training,0.7081165291,0.6874227994,0.6797428615
gamma,1,8,conditional,1024,256,training,0.7073090475,0.7351300395,0.6899351517
gamma,1,8,conditional,1536,384,training,0.7674794794,0.8023696178,0.7415589679
gamma,1,8,conditional,2048,512,training,0.8065565566,0.8500768579,0.8046220388
gamma,1,8,conditional,2560,640,training,0.8650093985,0.8870814682,0.8686489491
gamma,1,8,conditional,3072,768,training,0.8085618729,0.9173164363,0.9307630352
gamma,1,8,conditional,4096,1024,training,1.128501119,0.9650236763,1.046696887
gamma,1,8,conditional,5120,1280,heldout,0.9410601266,1.002028287,1.151733561
gamma,1,8,conditional,6144,1536,heldout,0.7278846154,1.032263255,1.247355063
gamma,1,8,disorder,512,128,training,0.09681112222,0.1332400913,0.08096560565
gamma,1,8,disorder,768,192,training,0.08108027007,0.1138050237,0.1186740374
gamma,1,8,disorder,1024,256,training,0.149429143,0.1000156238,0.1286687885
gamma,1,8,disorder,1536,384,training,0.1102603189,0.08058055619,0.1191339779
gamma,1,8,disorder,2048,512,training,0.1165725726,0.06679115628,0.09560911517
gamma,1,8,disorder,2560,640,training,0.02957393484,0.05609526674,0.06778132304
