model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,512,6144,10,0.2785148235,0.0989432102,0.714497546,-0.09056509595,0.0200125072,-0.07561916392,0.1089390003,0.6005,-1.992178014,-2.300694584,4.343066291,0.184,0.1382324454,0.1408163139
gamma,1,32,conditional,512,6144,10,0.1731970998,0.1020309821,1.159456586,-0.3266657413,0.04527134688,-0.07367088238,0.1753318519,0.7224,0.4996409615,-2.296190289,5.883595528,0.4133,0.1301549331,0.1414955575
gamma,1,32,disorder,512,6144,10,0.1053177237,-0.003087771862,-0.4449590396,0.2361006454,-0.02525883968,-0.1277609911,0.07130446439,0.3031,-1.120747567,-2.299682935,6.010569993,0.357,0.1154203941,0.1576912864
gamma,1,16,marginal,512,6144,10,0.4924348692,0.05479568826,-1.263256759,0.7158987824,-0.06089867496,-0.1233514986,-0.006485517341,0.0159,5.342773335,-2.138828826,12.58719427,0.7787,0.1444182929,0.1461673431
gamma,1,16,conditional,512,6144,10,0.3909993622,0.05518940682,0.2598395114,0.1045774553,-0.004549466998,-0.09567999643,0.08194653474,0.3992,-2.263462655,-2.300720558,5.848416388,0.256,0.08214350846,0.09567379324
gamma,1,16,disorder,512,6144,10,0.1014355069,-0.0003937185534,-1.52309627,0.6113213271,-0.05634920796,-0.1252859443,0.0134753404,0.0558,3.327205722,-2.275402984,8.705680583,0.6222,0.1255795192,0.1067348964
gamma,1,8,marginal,512,6144,10,0.02510828671,0.1458784964,1.835682928,-0.4558672885,0.04915387561,-0.06341156079,0.1661808891,0.7462,0.325203947,-2.300479252,7.605971265,0.3764,0.1090502111,0.07576731149
gamma,1,8,conditional,512,6144,10,0.172783668,0.1027018066,-1.240294349,0.5723393025,-0.03836255049,-0.1412504251,0.06590731086,0.1998,-1.854934767,-2.300614367,2.141752617,0.1245,0.2195033856,0.3963791381
gamma,1,8,disorder,512,6144,10,-0.1476753812,0.0431766898,3.075977277,-1.028206591,0.08751642609,-0.002919763446,0.1772307498,0.9698,0.7027106839,-2.267262853,4.134272979,0.482,0.2808254319,0.39822309
gamma,1,4,marginal,512,6144,10,0.3482715559,0.08658229828,-0.9829725325,0.4827036953,-0.02906592694,-0.1219228361,0.05765665443,0.2135,0.2432518688,-2.299231601,8.836415409,0.4002,0.06665037236,0.05691106031
gamma,1,4,conditional,512,6144,10,0.292128721,0.0794632172,-1.354216703,0.569345317,-0.03594574145,-0.1324880737,0.06206532467,0.1917,-2.011296138,-2.301505194,3.006198216,0.134,0.2534652613,0.2873177856
gamma,1,4,disorder,512,6144,10,0.05614283481,0.007119081085,0.3712441706,-0.0866416217,0.006879814515,-0.08720133674,0.1092179545,0.5347,-2.285576026,-2.301813829,2.374865713,0.0979,0.1878340367,0.2455741192
uniform,1,32,marginal,512,6144,10,0.2786324471,0.09934260083,0.3911178404,0.05044865332,0.005163311819,-0.07390243458,0.07212674578,0.4835,-2.086485032,-2.300532691,5.503930742,0.2655,0.01912896208,0.02265326457
uniform,1,32,conditional,512,6144,10,0.2678524106,0.1005647836,0.2980700419,0.08743010686,0.001387051668,-0.100197022,0.09994151793,0.4525,-2.264244706,-2.300253422,6.67707053,0.2959,0.01511480164,0.03020740853
uniform,1,32,disorder,512,6144,10,0.01078003648,-0.001222182728,0.09304779856,-0.03698145354,0.003776260151,-0.06340991136,0.06897036675,0.5438,-2.205953535,-2.301197317,5.011473175,0.2429,0.005607929003,0.01097921261
uniform,1,16,marginal,512,6144,10,-0.1072193948,0.1775960713,2.963096924,-0.9785270121,0.1064983124,-0.03304754886,0.2353565307,0.9246,2.50360762,-2.255279626,8.293374395,0.6865,0.2538889032,0.2302174461
uniform,1,16,conditional,512,6144,10,0.03052783448,0.1482415759,2.409129427,-0.7474173471,0.08250519792,-0.07644671818,0.2430065761,0.8123,-0.279563237,-2.293591124,5.195853937,0.3664,0.2736881917,0.3230667223
uniform,1,16,disorder,512,6144,10,-0.1377472293,0.02935449532,0.5539674968,-0.231109665,0.0239931145,-0.08283513116,0.1282005556,0.668,-0.2358970202,-2.29879244,12.46341643,0.382,0.03230370238,0.09659643824
uniform,1,8,marginal,512,6144,10,0.2721409719,0.09792882895,-0.08147953359,0.2154548584,-0.009600166679,-0.0888289023,0.0621827988,0.3268,-1.577538883,-2.300811957,8.247033735,0.307,0.02848339028,0.03790695907
uniform,1,8,conditional,512,6144,10,0.3261578668,0.08779645907,-0.6003720272,0.3957293362,-0.02515363583,-0.1243019928,0.06627867128,0.254,-1.512388607,-2.300518139,7.146501066,0.2879,0.0925336307,0.1285179846
uniform,1,8,disorder,512,6144,10,-0.05401689494,0.01013236988,0.5188924937,-0.1802744777,0.01555346915,-0.05556002863,0.09000080597,0.6563,-1.922166142,-2.301097922,3.797337347,0.1888,0.0643782563,0.09067652206
uniform,1,4,marginal,512,6144,10,0.4051618587,0.07681722064,-1.712722745,0.7070092458,-0.04624116622,-0.1307657511,0.0298646255,0.0958,-0.9801933383,-2.298896431,6.72419507,0.3542,0.1501751825,0.1436404818
uniform,1,4,conditional,512,6144,10,0.6117324613,0.04344695822,-3.240855535,1.189812642,-0.08411608525,-0.1901467616,0.01818768609,0.0475,0.9476863,-2.286219749,8.535970375,0.5473,0.2105059586,0.1845558392
uniform,1,4,disorder,512,6144,10,-0.2065706026,0.03337026241,1.52813279,-0.4828033959,0.03787491904,-0.03740084494,0.1115443347,0.8385,1.912745588,-2.297349005,6.3600809,0.4033,0.1035335722,0.1272425824
