model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.005199554771,-0.05777095538,0.0343760415,0.2892,-3.562408994,-3.68703691,4.214179345,0.1353,0.1186371284,0.1228894298
gamma,marginal,weighted,-0.01455122672,-0.03560480306,0.0007687827935,0.0309,0.1623202565,-3.666838436,7.187623833,0.3479,0.1305010969,0.128345195
gamma,conditional,unweighted,-0.008396603014,-0.0619144969,0.03610188332,0.2718,-3.566492188,-3.687936709,1.285898137,0.055,0.1844683154,0.2147099485
gamma,conditional,weighted,-0.0124912234,-0.03765007716,0.007596216945,0.0972,-1.864558368,-3.685007998,4.207367684,0.1687,0.1583047489,0.1565947723
gamma,disorder,unweighted,0.003197048243,-0.04053723887,0.0475360958,0.5334,-3.665661765,-3.68806932,0.2488307602,0.0295,0.1892330782,0.204356088
gamma,disorder,weighted,-0.006533207664,-0.0252597239,0.01125298416,0.2314,-3.184211193,-3.687667947,0.6691966613,0.0427,0.1555101656,0.1557058964
uniform,marginal,unweighted,0.01395507284,-0.04044724921,0.05347716028,0.6036,-3.055030581,-3.687808245,2.10824501,0.0696,0.1484834851,0.1540074732
uniform,marginal,weighted,-0.004131939004,-0.02527839018,0.01193900688,0.232,-3.348126341,-3.687439419,2.11222277,0.0772,0.1589671324,0.1625120017
uniform,conditional,unweighted,-0.006344367874,-0.07583170029,0.05332353026,0.3346,-3.598699061,-3.687250165,5.634085267,0.1418,0.1788916676,0.1909564902
uniform,conditional,weighted,-0.01960655597,-0.04792878691,0.003427772245,0.0466,1.634124357,-3.67394439,8.140946054,0.3728,0.1720883344,0.1770681662
uniform,disorder,unweighted,0.02029944071,-0.02545314788,0.06372342145,0.8164,0.8967963731,-3.684557476,8.58577272,0.2818,0.06312435844,0.05917035703
uniform,disorder,weighted,0.01392401985,-0.005106562494,0.03210595464,0.9301,-0.1213443906,-3.681610399,5.140491145,0.2296,0.07099754852,0.05633266401
