model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.01766666667,-0.01766666667,0.3384109574,0.3293221492,0.347701926,0.2845474246,0.2740834584,0.2950456854,0.05386353281,0.04515244624,0.0626450082
gamma,1,32,64,4,6000,-0.01216666667,-0.01133333333,0.4120137662,0.4014820974,0.4225947922,0.3578092877,0.3443735279,0.371479491,0.05420447852,0.0434351503,0.06550121409
gamma,1,32,128,8,6000,-0.01516666667,-0.008166666667,0.4737639329,0.4617410996,0.4856885978,0.4158781464,0.400301328,0.4309885259,0.05788578652,0.04565479663,0.07027611685
gamma,1,32,256,16,6000,-0.01266666667,-0.02433333333,0.5465481469,0.5329665576,0.5602810034,0.465009446,0.4487166264,0.4818237317,0.08153870089,0.06744214244,0.09562253014
gamma,1,32,512,32,5000,-0.0024,-0.0122,0.6307488498,0.6131203706,0.6480192919,0.5473614523,0.5263001035,0.568482279,0.08338739748,0.06541444189,0.1009376085
gamma,1,32,768,48,4000,-0.00525,-0.019,0.665597118,0.6449983941,0.6860099947,0.5801755126,0.5549907852,0.6050172293,0.0854216054,0.06433313485,0.1058801732
gamma,1,32,1024,64,3000,0.004666666667,0.003333333333,0.686212293,0.661067171,0.7111842253,0.5965312882,0.5668011073,0.626710566,0.08968100478,0.06410889185,0.1150341503
gamma,1,32,1536,96,1600,-0.030625,-0.014375,0.7436425109,0.7085575018,0.778373031,0.665909162,0.6218130423,0.7106611798,0.07773334897,0.0407876114,0.1140459369
gamma,1,32,2048,128,1000,0.004,-0.016,0.7556196196,0.706641992,0.8046748248,0.6364364364,0.5820137638,0.6920797798,0.1191831832,0.07397875375,0.1667069319
gamma,1,32,2560,160,400,-0.0075,-0.01,0.7530545113,0.6790722901,0.8250234962,0.6629041353,0.5693922306,0.760272948,0.09015037594,0.01214974937,0.1650028195
gamma,1,32,3072,192,300,0.006666666667,-0.05333333333,0.7911928651,0.7078867057,0.8725875139,0.6704347826,0.5723244147,0.7720211817,0.1207580825,0.02999860647,0.2147171126
gamma,1,32,4096,256,150,0.03333333333,0.04,0.8677628635,0.7275296421,1.002239933,0.7013199105,0.5552684564,0.8448322148,0.166442953,0.02281879195,0.3172281879
gamma,1,32,5120,320,80,0.0625,-0.05,0.6992879747,0.5360739715,0.866068038,0.7087816456,0.503085443,0.9328322785,-0.009493670886,-0.1473140823,0.1246835443
gamma,1,32,6144,384,40,0.125,-0.025,0.9916666667,0.6637740385,1.304487179,0.9115384615,0.5076923077,1.364222756,0.08012820513,-0.2756570513,0.4166666667
gamma,1,16,32,4,6000,-0.0405,-0.03966666667,0.421213355,0.4108380237,0.4314642208,0.3581426766,0.3454531172,0.370998166,0.06307067845,0.05219129994,0.07419484914
gamma,1,16,64,8,6000,-0.024,-0.008,0.4874279047,0.4754172043,0.4992505598,0.4171081847,0.402178071,0.4320592668,0.07031971995,0.05795004376,0.08306890523
gamma,1,16,128,16,6000,-0.01666666667,-0.01583333333,0.5460767767,0.532263827,0.559543418,0.4699946519,0.453477074,0.487165321,0.0760821248,0.06163824804,0.09021107962
gamma,1,16,256,32,6000,-0.02383333333,-0.044,0.6237686142,0.6081159388,0.6389109341,0.5401366756,0.5212699894,0.5589481358,0.08363193866,0.06777215786,0.09963906693
gamma,1,16,512,64,5000,-0.0144,-0.0166,0.6749935387,0.6563220739,0.6935171744,0.6066189038,0.5832006461,0.6304156551,0.06837463493,0.04930176935,0.08697715243
gamma,1,16,768,96,4000,0.00175,-0.028,0.7304140723,0.707710959,0.7530086733,0.6408426794,0.6113328371,0.6695112934,0.08957139285,0.06705972743,0.1130864435
gamma,1,16,1024,128,3000,-0.01533333333,-0.021,0.765083639,0.7371184881,0.7911970351,0.6873797377,0.652515633,0.7227237565,0.0777039013,0.04970424864,0.1056796182
gamma,1,16,1536,192,1600,-0.04875,-0.074375,0.8031103424,0.762136858,0.8446655283,0.6804094356,0.6316509928,0.7292711998,0.1227009068,0.08407054214,0.1625737473
gamma,1,16,2048,256,1000,-0.034,-0.026,0.8269109109,0.7771156281,0.8772795796,0.6876556557,0.6303176051,0.7461258258,0.1392552553,0.0893515015,0.1904531532
