model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.005698000577,-0.02551190971,0.00830908674,0.1598,-2.870907894,-3.868446705,7.436537872,0.2389,0.1025813845,0.1038496549
gamma,marginal,weighted,-0.007159990141,-0.01275700175,-0.002810634582,0.0007,6.249655065,-3.060896682,12.51762,0.7341,0.108210199,0.1057696568
gamma,conditional,unweighted,-0.01412261276,-0.03470372171,0.002796920196,0.0436,-2.04604872,-3.860073182,5.635213936,0.252,0.2330998094,0.2306833967
gamma,conditional,weighted,-0.01405173434,-0.02086748431,-0.008414736231,0,8.857533482,-0.8864616446,14.80841816,0.9471,0.2220952249,0.2054149495
gamma,disorder,unweighted,0.008424612186,-0.004333053236,0.02013593387,0.9002,-2.689108565,-3.868768959,0.7050398731,0.0448,0.1749797669,0.1830785186
gamma,disorder,weighted,0.003128523796,-0.001897813605,0.00792249726,0.8887,-2.2939109,-3.86818893,1.857187776,0.0811,0.1651105204,0.1609998154
uniform,marginal,unweighted,0.006992472352,-0.01272941839,0.02094727077,0.6738,-2.695146634,-3.86957276,1.525710697,0.0619,0.1509018437,0.1513162495
uniform,marginal,weighted,0.00227357118,-0.003305002724,0.006782769003,0.7401,-2.636476079,-3.870232392,1.156436936,0.0501,0.157857735,0.1540403477
uniform,conditional,unweighted,0.0001147527874,-0.02508721985,0.02158445796,0.3983,-3.870975068,-3.870143513,3.556093942,0.0983,0.1766793753,0.178770516
uniform,conditional,weighted,0.002296840497,-0.005134809733,0.008895085471,0.6803,-2.946598011,-3.8701043,1.301657794,0.0535,0.1735069672,0.172615818
uniform,disorder,unweighted,0.006877719564,-0.009686262873,0.02229416799,0.7956,0.06041059114,-3.867716705,6.526148083,0.2359,0.06125753519,0.05683260447
uniform,disorder,weighted,-0.0003608013348,-0.005640774192,0.004598506454,0.4373,-3.83848728,-3.870406601,0.2720870313,0.0296,0.06219584326,0.06579530502
