model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.005777103874,-0.0146891558,0.002012261873,0.0663,0.1154416425,-2.476690076,6.273888772,0.355,0.03581464889,0.02272848034
gamma,1,32,conditional,-0.006438152897,-0.01779336414,0.003820876515,0.103,-0.9344603507,-2.481529514,4.325235367,0.2509,0.1419188172,0.1312824726
gamma,1,32,disorder,-0.0006471035515,-0.009333246697,0.008035929559,0.4402,-2.465630261,-2.484216003,0.7261558836,0.046,0.1451195057,0.1532829281
gamma,1,16,marginal,-0.004443266194,-0.01412733489,0.004513281493,0.1524,-1.922414181,-2.483382488,1.763425091,0.0991,0.1491125615,0.1814299247
gamma,1,16,conditional,-0.009542485934,-0.02175286033,0.002281082399,0.0558,-0.5609763316,-2.479297184,4.424912686,0.2878,0.1990290827,0.2579645484
gamma,1,16,disorder,0.005050389762,-0.004540751673,0.01447893618,0.8493,1.62998094,-2.481473084,6.725725154,0.3074,0.05191168756,0.07809374334
gamma,1,8,marginal,-0.01386657454,-0.02450096406,-0.00451558841,0.0019,6.638650056,-1.966118204,12.34759903,0.8209,0.09896258855,0.02358617971
gamma,1,8,conditional,-0.01394598213,-0.02776211508,-0.00165381706,0.0139,1.56198009,-2.41628343,7.612657103,0.5334,0.09849841871,0.02012528734
gamma,1,8,disorder,-0.0008765608301,-0.01105964407,0.009096471647,0.431,-2.453116394,-2.484230304,0.9855432187,0.0566,0.01534112848,0.01850088744
gamma,1,4,marginal,-0.005308498209,-0.01708527866,0.004812302579,0.1333,1.100168579,-2.48097805,7.172006384,0.3206,0.1163054153,0.1019026451
gamma,1,4,conditional,-0.03002302862,-0.04402827446,-0.01754866219,0,4.729674783,-0.4541401943,9.926701197,0.9544,0.3575607512,0.2895128752
gamma,1,4,disorder,0.01162361391,0.0003379171236,0.02273996072,0.9785,0.1683250134,-2.459036381,4.756762067,0.3721,0.2916437746,0.2560782059
uniform,1,32,marginal,-0.003370196302,-0.0122944207,0.004728346753,0.1851,-1.267488064,-2.482902816,4.391904726,0.2026,0.008609492266,0.02141131565
uniform,1,32,conditional,-0.001370067395,-0.01404964257,0.01038472753,0.3744,-2.303157558,-2.483650141,3.592986097,0.1501,0.005685800803,0.01499878328
uniform,1,32,disorder,-0.001584635327,-0.01012905537,0.007162903905,0.376,-2.116215999,-2.483389352,3.19558204,0.1358,0.008849173851,0.005372293838
uniform,1,16,marginal,0.00638562676,-0.003999655434,0.01554113912,0.8797,0.1013492162,-2.48127851,5.013085524,0.2662,0.2753018509,0.2496523593
uniform,1,16,conditional,0.006618091985,-0.007090990376,0.01938399012,0.8129,0.01743121713,-2.482959908,4.98350573,0.2296,0.2647847954,0.2403114459
uniform,1,16,disorder,-0.001040900854,-0.01107857973,0.008901539521,0.4234,-2.433716566,-2.48415232,1.250222715,0.065,0.05676405335,0.06715353917
uniform,1,8,marginal,0.006932842514,-0.004027522247,0.01639155139,0.8833,0.1614626131,-2.481338766,4.962787707,0.2489,0.03174479961,0.04243634061
uniform,1,8,conditional,0.004461823787,-0.01087200442,0.01795000873,0.6913,-1.878210502,-2.483822063,2.359564399,0.1087,0.09144101608,0.09326238996
uniform,1,8,disorder,0.001584582245,-0.008730545197,0.01174012031,0.6237,-2.39397804,-2.484204677,1.035103535,0.0572,0.06235725172,0.06230523179
uniform,1,4,marginal,0.0009108708027,-0.01081136577,0.01129144702,0.5191,-2.450789586,-2.484254516,1.156622601,0.0628,0.1510075933,0.1548619245
uniform,1,4,conditional,-0.0001867037251,-0.01578105775,0.01460461512,0.4593,-2.483938795,-2.484182318,1.607225053,0.0779,0.204728833,0.2202785246
uniform,1,4,disorder,0.0002041670333,-0.0108214515,0.01089878066,0.5123,-2.480896325,-2.484009941,2.564403562,0.1122,0.09101867501,0.1045380372
