model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,512,6144,10,0.01437645763,-0.05648958005,0.08625096929,-2.151380898,-2.301657305,3.847621301
gamma,1,32,disorder,768,6144,9,0.02065639995,-0.08397409492,0.1282091168,-2.062463827,-2.196584464,4.457536326
gamma,1,32,disorder,1024,6144,8,0.02473571637,-0.1209708483,0.1749694044,-1.990859749,-2.078734915,4.646607971
gamma,1,32,disorder,1536,6144,7,0.004464439524,-0.2702867538,0.2875755475,-1.945106403,-1.945146187,4.485795614
gamma,1,32,disorder,2048,6144,6,-0.2521545998,-0.7619560461,0.2800896837,-0.9354337263,-1.788705744,4.259636551
gamma,1,32,disorder,2560,6144,5,-0.6083480016,-1.564590265,0.3936266459,0.005083559979,-1.60078206,9.385599362
gamma,1,16,disorder,512,6144,10,-0.02369057313,-0.1081220604,0.06550250651,0.1448784329,-2.299052356,6.581563518
gamma,1,16,disorder,768,6144,9,-0.03829651944,-0.1634110179,0.09326683055,0.7257999192,-2.193497194,7.881047615
gamma,1,16,disorder,1024,6144,8,-0.04019106177,-0.2146991248,0.1400869752,-0.504354494,-2.076107444,6.588719822
gamma,1,16,disorder,1536,6144,7,-0.06819209644,-0.3854874628,0.2591631784,-0.6245618946,-1.943275445,7.13122364
gamma,1,16,disorder,2048,6144,6,-0.1508986129,-0.7268206199,0.437398798,0.2572294372,-1.788894389,8.433848484
gamma,1,16,disorder,2560,6144,5,-0.2927044292,-1.34712257,0.7856273202,0.977553599,-1.605121105,12.12074951
gamma,1,8,disorder,512,6144,10,-0.001791125902,-0.07365207302,0.06712346374,-2.292859709,-2.301283311,4.760152685
gamma,1,8,disorder,768,6144,9,0.01148522787,-0.09454803389,0.1141925091,-2.017897982,-2.195746281,3.961475948
gamma,1,8,disorder,1024,6144,8,0.01314568241,-0.1346224343,0.1547570568,-1.971633457,-2.078001713,3.807970777
gamma,1,8,disorder,1536,6144,7,0.1279779315,-0.1455068523,0.3876507121,2.074483591,-1.942565778,8.424748238
gamma,1,8,disorder,2048,6144,6,0.2005160565,-0.2970512375,0.6779575281,1.521576481,-1.788225246,11.42613176
gamma,1,8,disorder,2560,6144,5,0.1429794454,-0.778231165,1.029642605,-0.9647407793,-1.606987124,12.63688754
gamma,1,4,disorder,512,6144,10,0.08570413744,0.00472480032,0.1640954652,-0.8640326013,-2.270228782,1.554806705
gamma,1,4,disorder,768,6144,9,0.142264911,0.0213971734,0.2608168317,-0.4270146735,-2.095584994,2.1488488
gamma,1,4,disorder,1024,6144,8,0.2215581779,0.05396834183,0.3877822455,-0.02952577213,-1.865227149,2.479703886
gamma,1,4,disorder,1536,6144,7,0.4777922691,0.1603072635,0.7884165201,0.997152033,-1.362517308,3.915570244
gamma,1,4,disorder,2048,6144,6,0.9769387466,0.3834998645,1.550923373,2.488205163,-0.6052370706,6.010690821
gamma,1,4,disorder,2560,6144,5,1.814178215,0.6970863844,2.912442942,4.204218073,-0.05533479672,9.054500495
uniform,1,32,marginal,512,6144,10,0.005163311819,-0.07266905122,0.07463501198,-2.086485032,-2.300651288,5.759767119
uniform,1,32,marginal,768,6144,9,0.01412530513,-0.1011370848,0.11735017,-1.477681665,-2.195131943,5.642462321
uniform,1,32,marginal,1024,6144,8,0.008182604017,-0.1533526109,0.1517488396,-1.963531168,-2.077565989,5.441211096
uniform,1,32,marginal,1536,6144,7,0.02500461133,-0.2688918764,0.2959110127,-1.642781906,-1.94354408,5.449033643
uniform,1,32,marginal,2048,6144,6,0.120667032,-0.4140425131,0.6347833564,0.7198900059,-1.789036437,11.41957836
uniform,1,32,marginal,2560,6144,5,-0.03053111446,-1.046269148,0.9518956774,-1.503361974,-1.605488799,12.90827486
uniform,1,16,marginal,512,6144,10,0.1064983124,-0.03095062885,0.2342809934,2.50360762,-2.264215936,8.136327821
uniform,1,16,marginal,768,6144,9,0.1462019135,-0.05744110669,0.3377921668,2.054174435,-2.166199589,7.319694408
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.071770334,0.4777295737,2.277526375,-2.048381797,7.962918621
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1571050864,0.8473666322,2.172985691,-1.918725271,8.184323097
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3081293054,1.509101638,2.204521324,-1.76709406,8.781124863
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6406864627,2.597317639,2.155202438,-1.584523458,10.44906489
uniform,1,8,marginal,512,6144,10,-0.009600166679,-0.09037436098,0.05672015954,-1.577538883,-2.300383194,8.166185885
uniform,1,8,marginal,768,6144,9,-0.001033967441,-0.1191135798,0.09800052135,-2.193251812,-2.195139705,6.249193807
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1523368524,0.1467376775,-1.899169152,-2.077509365,5.508082229
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.255397841,0.2991368041,-0.9992772113,-1.943894395,7.992609915
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.6010497642,0.4294914625,-1.081866456,-1.789523049,8.254813103
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.202254004,0.7329786762,2.65074292,-1.605972417,13.28307027
uniform,1,4,marginal,512,6144,10,-0.04624116622,-0.1292341928,0.02825518975,-0.9801933383,-2.298118154,6.645727111
uniform,1,4,marginal,768,6144,9,-0.07617027804,-0.1972894247,0.03420808107,-0.6010487204,-2.19068283,8.21754211
uniform,1,4,marginal,1024,6144,8,-0.09291308224,-0.2592745663,0.0594241405,-0.9613005361,-2.074972895,6.661801418
uniform,1,4,marginal,1536,6144,7,-0.1583841234,-0.4634258566,0.1273743707,-1.013907724,-1.942499905,6.07857627
uniform,1,4,marginal,2048,6144,6,-0.2394845484,-0.7829913331,0.293816346,-1.154210111,-1.79001135,4.879526196
uniform,1,4,marginal,2560,6144,5,-0.5417165322,-1.574592018,0.4647368505,-0.5915293575,-1.605812627,7.903202997
