model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,512,32,training,0.620459832,0.6070578711,0.6455061448
gamma,1,32,marginal,768,48,training,0.6672705676,0.6518658563,0.6482846605
gamma,1,32,marginal,1024,64,training,0.6847476937,0.6836576278,0.6625830117
gamma,1,32,marginal,1536,96,training,0.7359611476,0.7284656129,0.7001092841
gamma,1,32,marginal,2048,128,training,0.7192907908,0.7602573844,0.7390615609
gamma,1,32,marginal,2560,160,training,0.7376409774,0.7849169981,0.7763218166
gamma,1,32,marginal,3072,192,training,0.763690078,0.8050653696,0.81133559
gamma,1,32,marginal,4096,256,training,0.929082774,0.836857141,0.8749417926
gamma,1,32,marginal,5120,320,heldout,0.847943038,0.8615167547,0.9313251188
gamma,1,32,marginal,6144,384,heldout,0.8189102564,0.8816651262,0.9819635784
gamma,1,32,conditional,512,32,training,0.5878135427,0.5701493206,0.6057618415
gamma,1,32,conditional,768,48,training,0.6238339585,0.6095517733,0.6062347087
gamma,1,32,conditional,1024,64,training,0.6303859064,0.6375082584,0.6179880009
gamma,1,32,conditional,1536,96,training,0.6558818011,0.6769107112,0.6506458036
gamma,1,32,conditional,2048,128,training,0.6979534535,0.7048671963,0.685234671
gamma,1,32,conditional,2560,160,training,0.718768797,0.7265519308,0.718590687
gamma,1,32,conditional,3072,192,training,0.6688740245,0.744269649,0.7500774092
gamma,1,32,conditional,4096,256,training,0.8585234899,0.7722261341,0.8075018518
gamma,1,32,conditional,5120,320,heldout,0.582278481,0.7939108686,0.8585705161
gamma,1,32,conditional,6144,384,heldout,0.8048076923,0.8116285868,0.9045295257
gamma,1,32,disorder,512,32,training,0.03264628926,0.03690855048,0.03974430326
gamma,1,32,disorder,768,48,training,0.04343660915,0.04231408297,0.04204995184
gamma,1,32,disorder,1024,64,training,0.05436178726,0.0461493693,0.0445950108
gamma,1,32,disorder,1536,96,training,0.08007934647,0.05155490179,0.04946348049
gamma,1,32,disorder,2048,128,training,0.02133733734,0.05539018813,0.05382688997
gamma,1,32,disorder,2560,160,training,0.01887218045,0.05836506732,0.05773112964
gamma,1,32,disorder,3072,192,training,0.09481605351,0.06079572061,0.06125818078
gamma,1,32,disorder,4096,256,training,0.07055928412,0.06463100695,0.06743994078
gamma,1,32,disorder,5120,320,heldout,0.265664557,0.06760588615,0.07275460269
gamma,1,32,disorder,6144,384,heldout,0.0141025641,0.07003653944,0.07743405272
gamma,1,16,marginal,512,64,training,0.6772169434,0.7011732693,0.6585621691
gamma,1,16,marginal,768,96,training,0.7235455739,0.7324099597,0.7363788945
gamma,1,16,marginal,1024,128,training,0.768162443,0.7545727442,0.7779291265
gamma,1,16,marginal,1536,192,training,0.7942884225,0.7858094345,0.8172359267
gamma,1,16,marginal,2048,256,training,0.7710785786,0.807972219,0.8314629319
gamma,1,16,marginal,2560,320,training,0.9248120301,0.8251630102,0.8346887991
gamma,1,16,marginal,3072,384,training,0.8956465998,0.8392089093,0.8322598069
gamma,1,16,marginal,4096,512,training,0.7529306488,0.8613716938,0.8191635853
gamma,1,16,marginal,5120,640,heldout,0.9259493671,0.878562485,0.8011959114
gamma,1,16,marginal,6144,768,heldout,1.133012821,0.8926083841,0.7814505352
gamma,1,16,conditional,512,64,training,0.6308016603,0.6583673415,0.6131733932
gamma,1,16,conditional,768,96,training,0.6849207302,0.6828279841,0.6870374937
gamma,1,16,conditional,1024,128,training,0.7071112037,0.7001830862,0.7249552026
gamma,1,16,conditional,1536,192,training,0.7231939884,0.7246437287,0.7579751202
gamma,1,16,conditional,2048,256,training,0.7064459459,0.7419988308,0.7669134201
gamma,1,16,conditional,2560,320,training,0.8478195489,0.7554604938,0.7655636831
gamma,1,16,conditional,3072,384,training,0.8598606466,0.7664594733,0.7590891549
gamma,1,16,conditional,4096,512,training,0.6536017897,0.7838145754,0.739048046
gamma,1,16,conditional,5120,640,heldout,0.846835443,0.7972762384,0.7152201331
gamma,1,16,conditional,6144,768,heldout,1.140705128,0.808275218,0.690379598
gamma,1,16,disorder,512,64,training,0.04641528306,0.04280592781,0.04538877589
gamma,1,16,disorder,768,96,training,0.03862484371,0.0495819756,0.04934140082
gamma,1,16,disorder,1024,128,training,0.0610512393,0.05438965801,0.05297392392
gamma,1,16,disorder,1536,192,training,0.07109443402,0.06116570579,0.05926080649
gamma,1,16,disorder,2048,256,training,0.06463263263,0.0659733882,0.06454951174
gamma,1,16,disorder,2560,320,training,0.0769924812,0.06970251639,0.06912511601
gamma,1,16,disorder,3072,384,training,0.03578595318,0.07274943598,0.07317065195
gamma,1,16,disorder,4096,512,training,0.09932885906,0.07755711839,0.08011553935
gamma,1,16,disorder,5120,640,heldout,0.07911392405,0.08128624658,0.0859757783
gamma,1,16,disorder,6144,768,heldout,-0.007692307692,0.08433316617,0.0910709372
gamma,1,8,marginal,512,128,training,0.7689281056,0.7960770825,0.7457701031
gamma,1,8,marginal,768,192,training,0.7992584084,0.8155859206,0.8202716744
gamma,1,8,marginal,1024,256,training,0.8400611315,0.8294276615,0.8570023788
gamma,1,8,marginal,1536,384,training,0.8729952314,0.8489364996,0.8860388482
gamma,1,8,marginal,2048,512,training,0.8725075075,0.8627782405,0.8905115495
gamma,1,8,marginal,2560,640,training,0.9105482456,0.8735147288,0.8847609455
gamma,1,8,marginal,3072,768,training,0.9563210702,0.8822870785,0.8740829169
gamma,1,8,marginal,4096,1024,training,0.7841163311,0.8961288194,0.846297615
gamma,1,8,marginal,5120,1280,heldout,0.9232594937,0.9068653078,0.8155257599
gamma,1,8,marginal,6144,1536,heldout,0.8945512821,0.9156376575,0.7844038805
gamma,1,8,conditional,512,128,training,0.7229413083,0.7271924791,0.7019539807
gamma,1,8,conditional,768,192,training,0.7239614591,0.7496694751,0.75202027
gamma,1,8,conditional,1024,256,training,0.7952648661,0.7656171576,0.779451112
gamma,1,8,conditional,1536,384,training,0.7667292058,0.7880941536,0.8067080234
gamma,1,8,conditional,2048,512,training,0.7767687688,0.804041836,0.8179553543
gamma,1,8,conditional,2560,640,training,0.8405983709,0.8164118195,0.8220539317
gamma,1,8,conditional,3072,768,training,0.9630100334,0.826518832,0.8224028878
