model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,512,6144,10,0.2802875283,0.09734525619,0.4054525244,0.04293987454,0.005745331771,-0.07148836725,0.07492241891,0.4924,-2.242299995,-2.301280122,4.39061064,0.1831,0.04540054774,0.1294970216
gamma,1,32,conditional,512,6144,10,0.3695866659,0.06459118782,0.1815531672,0.1463235777,-0.008631125855,-0.1012665599,0.08263981633,0.3653,-2.253958812,-2.301309538,3.226203211,0.1588,0.1497244003,0.2077037947
gamma,1,32,disorder,512,6144,10,-0.08929913767,0.03275406837,0.2238993572,-0.1033837031,0.01437645763,-0.05648958005,0.08625096929,0.6515,-2.151380898,-2.301657305,3.847621301,0.1399,0.1455263665,0.1435707629
gamma,1,16,marginal,512,6144,10,0.1337460898,0.1267879079,1.421607377,-0.3581543609,0.04467131052,-0.0526262644,0.1306321377,0.7862,-1.276093862,-2.300494463,2.017047536,0.1592,0.1732625315,0.2637797047
gamma,1,16,conditional,512,6144,10,0.07740767889,0.1267524964,2.048261509,-0.6153696078,0.06836188365,-0.05677520251,0.1878255961,0.8317,-0.8486329748,-2.29917248,2.800326405,0.2231,0.2376612715,0.3317496594
gamma,1,16,disorder,512,6144,10,0.05633841091,3.541155131e-05,-0.6266541328,0.2572152469,-0.02369057313,-0.1081220604,0.06550250651,0.2962,0.1448784329,-2.299052356,6.581563518,0.3746,0.06508996399,0.07000451266
gamma,1,8,marginal,512,6144,10,0.5703675091,0.04679782517,-0.7481991647,0.4850244081,-0.0357967359,-0.1216851206,0.04525605363,0.1681,-0.2939882129,-2.299251154,8.586348616,0.4282,0.01888656349,0.1089472521
gamma,1,8,conditional,512,6144,10,0.5347157483,0.041852461,-0.7178751078,0.4581519334,-0.03400561,-0.1332486251,0.06166983093,0.2126,-1.253538754,-2.299917654,4.584280818,0.2842,0.04157362983,0.01520616977
gamma,1,8,disorder,512,6144,10,0.03565176081,0.004945364166,-0.0303240569,0.02687247466,-0.001791125902,-0.07365207302,0.06712346374,0.4685,-2.292859709,-2.301283311,4.760152685,0.1933,0.04073713681,0.09425239743
gamma,1,4,marginal,512,6144,10,0.4420389945,0.07322004366,-1.074288977,0.5244145011,-0.03310698497,-0.1178098997,0.04231459354,0.1659,-0.03955394313,-2.298558778,8.156886312,0.4164,0.108396623,0.1180955498
gamma,1,4,conditional,512,6144,10,0.8643558996,-0.003845049191,-4.577294204,1.615357665,-0.1188111224,-0.1880936196,-0.05667966075,0.0002,-0.0747533998,-1.873146211,4.27086928,0.4478,0.3868597399,0.5493097954
gamma,1,4,disorder,512,6144,10,-0.422316905,0.07706509285,3.503005228,-1.090943164,0.08570413744,0.00472480032,0.1640954652,0.9814,-0.8640326013,-2.270228782,1.554806705,0.1758,0.3212954407,0.4633943058
uniform,1,32,marginal,512,6144,10,0.2786324471,0.09934260083,0.3911178404,0.05044865332,0.005163311819,-0.07266905122,0.07463501198,0.4858,-2.086485032,-2.300651288,5.759767119,0.2723,0.01912896208,0.02265326457
uniform,1,32,conditional,512,6144,10,0.2678524106,0.1005647836,0.2980700419,0.08743010686,0.001387051668,-0.1001097139,0.09996462629,0.4577,-2.264244706,-2.299966522,6.834007009,0.2939,0.01511480164,0.03020740853
uniform,1,32,disorder,512,6144,10,0.01078003648,-0.001222182728,0.09304779856,-0.03698145354,0.003776260151,-0.06233496489,0.06793644852,0.5395,-2.205953535,-2.30093692,4.852409963,0.2294,0.005607929003,0.01097921261
uniform,1,16,marginal,512,6144,10,-0.1072193948,0.1775960713,2.963096924,-0.9785270121,0.1064983124,-0.03095062885,0.2342809934,0.9226,2.50360762,-2.264215936,8.136327821,0.6856,0.2538889032,0.2302174461
uniform,1,16,conditional,512,6144,10,0.03052783448,0.1482415759,2.409129427,-0.7474173471,0.08250519792,-0.07465927607,0.2418438796,0.8109,-0.279563237,-2.297127921,4.777066668,0.3638,0.2736881917,0.3230667223
uniform,1,16,disorder,512,6144,10,-0.1377472293,0.02935449532,0.5539674968,-0.231109665,0.0239931145,-0.0852095537,0.1274613057,0.6646,-0.2358970202,-2.299652446,12.14660218,0.3873,0.03230370238,0.09659643824
uniform,1,8,marginal,512,6144,10,0.2721409719,0.09792882895,-0.08147953359,0.2154548584,-0.009600166679,-0.09037436098,0.05672015954,0.3101,-1.577538883,-2.300383194,8.166185885,0.3247,0.02848339028,0.03790695907
uniform,1,8,conditional,512,6144,10,0.3261578668,0.08779645907,-0.6003720272,0.3957293362,-0.02515363583,-0.1274820602,0.0669497999,0.2443,-1.512388607,-2.300044486,7.095754474,0.3038,0.0925336307,0.1285179846
uniform,1,8,disorder,512,6144,10,-0.05401689494,0.01013236988,0.5188924937,-0.1802744777,0.01555346915,-0.05811634261,0.08965950506,0.6529,-1.922166142,-2.301116452,3.691202415,0.1904,0.0643782563,0.09067652206
uniform,1,4,marginal,512,6144,10,0.4051618587,0.07681722064,-1.712722745,0.7070092458,-0.04624116622,-0.1292341928,0.02825518975,0.0975,-0.9801933383,-2.298118154,6.645727111,0.3485,0.1501751825,0.1436404818
uniform,1,4,conditional,512,6144,10,0.6117324613,0.04344695822,-3.240855535,1.189812642,-0.08411608525,-0.1881228748,0.02009193928,0.0545,0.9476863,-2.288683181,8.130699653,0.5458,0.2105059586,0.1845558392
uniform,1,4,disorder,512,6144,10,-0.2065706026,0.03337026241,1.52813279,-0.4828033959,0.03787491904,-0.0392358045,0.1111153977,0.8333,1.912745588,-2.297388068,6.734591012,0.3992,0.1035335722,0.1272425824
