model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.02116666667,-0.01833333333,0.3454154998,0.3361490137,0.3544947217,0.3136315914,0.3018835973,0.3250399511,0.03178390843,0.02287128341,0.04069470815
gamma,1,32,64,4,6000,-0.0145,-0.001833333333,0.4066276324,0.3965110668,0.4170501594,0.3623134967,0.3495074957,0.3755878622,0.04431413569,0.03368465786,0.05493047383
gamma,1,32,128,8,6000,-0.01333333333,-0.008833333333,0.4708672418,0.4591579979,0.4827394666,0.4513150942,0.4349745496,0.4678615099,0.01955214758,0.007141134634,0.03179232372
gamma,1,32,256,16,6000,-0.006333333333,-0.02066666667,0.5433569484,0.5294867742,0.5571564705,0.5039812747,0.4863773546,0.5220964355,0.03937567372,0.02541810302,0.05300505084
gamma,1,32,512,32,5000,-0.0114,-0.0316,0.620459832,0.6032256331,0.6374490598,0.5878135427,0.5652609622,0.6109215603,0.03264628926,0.01499840468,0.05040216343
gamma,1,32,768,48,4000,-0.0045,-0.0165,0.6672705676,0.6470788095,0.6882499906,0.6238339585,0.5973288971,0.6512599798,0.04343660915,0.02312283071,0.06358388816
gamma,1,32,1024,64,3000,0.0003333333333,-0.031,0.6847476937,0.6609276689,0.7090576623,0.6303859064,0.5975564633,0.6628561062,0.05436178726,0.02962718128,0.0799846032
gamma,1,32,1536,96,1600,0.001875,-0.015625,0.7359611476,0.6992068725,0.7726400631,0.6558818011,0.6099037729,0.7017198249,0.08007934647,0.04491225962,0.1163234834
gamma,1,32,2048,128,1000,-0.076,-0.009,0.7192907908,0.67779004,0.7598781031,0.6979534535,0.6434780405,0.7542586962,0.02133733734,-0.02384454454,0.06448220721
gamma,1,32,2560,160,400,-0.1225,-0.03,0.7376409774,0.6603969298,0.8155743264,0.718768797,0.6126196742,0.8300626566,0.01887218045,-0.05705028195,0.09527005013
gamma,1,32,3072,192,300,0.04333333333,0.05,0.763690078,0.6808249721,0.842365524,0.6688740245,0.5622866499,0.7806633222,0.09481605351,0.007056020067,0.1808784838
gamma,1,32,4096,256,150,0.04666666667,-0.07333333333,0.929082774,0.7917225951,1.059175056,0.8585234899,0.6871588367,1.041073826,0.07055928412,-0.0774082774,0.2195973154
gamma,1,32,5120,320,80,0.0125,0.0125,0.847943038,0.6555379747,1.042727453,0.582278481,0.4106803797,0.7746044304,0.265664557,0.08955696203,0.4493670886
gamma,1,32,6144,384,40,0.075,0.15,0.8189102564,0.5689022436,1.048717949,0.8048076923,0.4996153846,1.123076923,0.0141025641,-0.2205128205,0.2532051282
gamma,1,16,32,4,6000,-0.01966666667,-0.007,0.4233526699,0.4130296744,0.4333629549,0.3846505529,0.3710715786,0.3980523365,0.03870211702,0.02800883272,0.04921437115
gamma,1,16,64,8,6000,-0.02416666667,-0.01866666667,0.4791969634,0.467383433,0.4911801866,0.444142232,0.428287883,0.4603168306,0.03505473134,0.02282198491,0.0473594745
gamma,1,16,128,16,6000,-0.03233333333,-0.03633333333,0.5467416792,0.5331404064,0.5601121447,0.5019089848,0.4846168431,0.5201346752,0.04483269434,0.03066786687,0.05879240498
gamma,1,16,256,32,6000,-0.04166666667,-0.0045,0.6274763988,0.611739526,0.6433704228,0.5846567622,0.5642031283,0.6049963615,0.04281963661,0.0265845891,0.05863495999
gamma,1,16,512,64,5000,-0.034,-0.041,0.6772169434,0.6586020699,0.6960397715,0.6308016603,0.6061505376,0.6551668649,0.04641528306,0.02705770554,0.06589354371
gamma,1,16,768,96,4000,-0.02925,-0.03025,0.7235455739,0.7007195557,0.7458192986,0.6849207302,0.6549146701,0.7151464741,0.03862484371,0.01576006502,0.06117807264
gamma,1,16,1024,128,3000,0.007333333333,-0.04966666667,0.768162443,0.7408328596,0.7953594851,0.7071112037,0.6721037499,0.74200926,0.0610512393,0.03388491997,0.0883195982
gamma,1,16,1536,192,1600,-0.04,-0.051875,0.7942884225,0.7543570151,0.8336894104,0.7231939884,0.672766182,0.7725230613,0.07109443402,0.03204071881,0.1111653377
gamma,1,16,2048,256,1000,-0.048,-0.009,0.7710785786,0.7229912287,0.8189459585,0.7064459459,0.6451284159,0.7693199575,0.06463263263,0.01704824825,0.1106991992
gamma,1,16,2560,320,400,-0.07,-0.01,0.9248120301,0.8275406485,1.021979245,0.8478195489,0.7293718672,0.9678222901,0.0769924812,-0.01808693609,0.171522713
gamma,1,16,3072,384,300,-0.05,0.04666666667,0.8956465998,0.7982051282,0.993442029,0.8598606466,0.7284793757,1.00041806,0.03578595318,-0.07157190635,0.1398932553
gamma,1,16,4096,512,150,-0.06666666667,0.08,0.7529306488,0.6469955257,0.8574725951,0.6536017897,0.5123920582,0.8014541387,0.09932885906,-0.01235123043,0.2110111857
