model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,1024,64,training,0.672847727,0.6409227879,0.6941571246
gamma,1,32,marginal,1536,96,training,0.7216197624,0.7107017053,0.6837467149
gamma,1,32,marginal,2048,128,training,0.7619134134,0.760210635,0.7171560985
gamma,1,32,marginal,2560,160,training,0.69785401,0.7986127444,0.7663906691
gamma,1,32,marginal,3072,192,training,0.7994370123,0.8299895524,0.8217422713
gamma,1,32,marginal,4096,256,training,0.9662639821,0.8794984822,0.9367430286
gamma,1,32,marginal,5120,320,heldout,0.866693038,0.9179005915,1.049264785
gamma,1,32,marginal,6144,384,heldout,0.7958333333,0.9492773995,1.156325784
gamma,1,32,conditional,1024,64,training,0.640874736,0.6228592312,0.6529277641
gamma,1,32,conditional,1536,96,training,0.6671794872,0.670807456,0.6555823764
gamma,1,32,conditional,2048,128,training,0.7301456456,0.704827263,0.6805086215
gamma,1,32,conditional,2560,160,training,0.6724279449,0.7312150753,0.71301497
gamma,1,32,conditional,3072,192,training,0.7133723523,0.7527754878,0.7481171478
gamma,1,32,conditional,4096,256,training,0.8452796421,0.7867952948,0.8191289282
gamma,1,32,conditional,5120,320,heldout,0.8410601266,0.8131831071,0.8873819951
gamma,1,32,conditional,6144,384,heldout,0.6766025641,0.8347435196,0.9516913683
gamma,1,32,disorder,1024,64,training,0.031972991,0.0180635567,0.04122936052
gamma,1,32,disorder,1536,96,training,0.05444027517,0.03989424922,0.02816433849
gamma,1,32,disorder,2048,128,training,0.03176776777,0.05538337206,0.03664747703
gamma,1,32,disorder,2560,160,training,0.02542606516,0.06739766912,0.0533756991
gamma,1,32,disorder,3072,192,training,0.08606465998,0.07721406458,0.07362512354
gamma,1,32,disorder,4096,256,training,0.12098434,0.09270318743,0.1176141005
gamma,1,32,disorder,5120,320,heldout,0.02563291139,0.1047174845,0.1618827904
gamma,1,32,disorder,6144,384,heldout,0.1192307692,0.1145338799,0.2046344155
gamma,1,16,marginal,1024,128,training,0.7593388907,0.7383907158,0.7655033463
gamma,1,16,marginal,1536,192,training,0.8003932145,0.7950603168,0.7813319464
gamma,1,16,marginal,2048,256,training,0.8103103103,0.8352680386,0.8133400536
gamma,1,16,marginal,2560,320,training,0.8183145363,0.8664555705,0.8500446359
gamma,1,16,marginal,3072,384,training,0.9115942029,0.8919376395,0.88773724
gamma,1,16,marginal,4096,512,training,0.9593064877,0.9321453613,0.9613004204
gamma,1,16,marginal,5120,640,heldout,0.9359177215,0.9633328932,1.030237622
gamma,1,16,marginal,6144,768,heldout,0.9868589744,0.9888149623,1.094266193
gamma,1,16,conditional,1024,128,training,0.7262278537,0.7224488216,0.7508004893
gamma,1,16,conditional,1536,192,training,0.7984482489,0.7584920657,0.7441363138
gamma,1,16,conditional,2048,256,training,0.777977978,0.7840651544,0.7611350685
gamma,1,16,conditional,2560,320,training,0.7373308271,0.803901183,0.7867402747
gamma,1,16,conditional,3072,384,training,0.78909699,0.8201083985,0.8157160422
gamma,1,16,conditional,4096,512,training,0.9056152125,0.8456814871,0.8761689217
gamma,1,16,conditional,5120,640,heldout,0.9338607595,0.8655175157,0.9354797658
gamma,1,16,conditional,6144,768,heldout,0.9227564103,0.8817247312,0.9919950446
gamma,1,16,disorder,1024,128,training,0.03311103701,0.01594189423,0.01470285692
gamma,1,16,disorder,1536,192,training,0.001944965604,0.0365682511,0.03719563262
gamma,1,16,disorder,2048,256,training,0.03233233233,0.0512028842,0.05220498511
gamma,1,16,disorder,2560,320,training,0.08098370927,0.06255438753,0.06330436125
gamma,1,16,disorder,3072,384,training,0.1224972129,0.07182924108,0.0720211978
gamma,1,16,disorder,4096,512,training,0.05369127517,0.08646387418,0.08513149862
gamma,1,16,disorder,5120,640,heldout,0.002056962025,0.0978153775,0.09475785584
gamma,1,16,disorder,6144,768,heldout,0.0641025641,0.1070902311,0.1022711483
gamma,1,8,marginal,1024,256,training,0.8317309659,0.8499371946,0.8326705938
gamma,1,8,marginal,1536,384,training,0.8792604753,0.8649524892,0.8736953624
gamma,1,8,marginal,2048,512,training,0.8853348348,0.8756060102,0.8895707844
gamma,1,8,marginal,2560,640,training,0.8807612782,0.8838695231,0.8943207796
gamma,1,8,marginal,3072,768,training,0.9112095875,0.8906213047,0.8932963171
gamma,1,8,marginal,4096,1024,training,0.8779642058,0.9012748258,0.8827075102
gamma,1,8,marginal,5120,1280,heldout,1.049841772,0.9095383387,0.8669302547
gamma,1,8,marginal,6144,1536,heldout,0.6073717949,0.9162901203,0.8491338071
gamma,1,8,conditional,1024,256,training,0.7927517506,0.8234969529,0.7787289977
gamma,1,8,conditional,1536,384,training,0.8323170732,0.8379078445,0.8605759169
gamma,1,8,conditional,2048,512,training,0.8683278278,0.8481325348,0.8843396838
gamma,1,8,conditional,2560,640,training,0.9106484962,0.8560634208,0.8831609016
gamma,1,8,conditional,3072,768,training,0.8919230769,0.8625434265,0.8694790611
gamma,1,8,conditional,4096,1024,training,0.8049440716,0.8727681168,0.8246277351
gamma,1,8,conditional,5120,1280,heldout,1.252848101,0.8806990028,0.7702269522
gamma,1,8,conditional,6144,1536,heldout,0.5381410256,0.8871790084,0.7130595707
gamma,1,8,disorder,1024,256,training,0.03897921529,0.02644024171,0.05394159608
gamma,1,8,disorder,1536,384,training,0.04694340213,0.02704464464,0.01311944547
gamma,1,8,disorder,2048,512,training,0.01700700701,0.02747347534,0.005231100628
gamma,1,8,disorder,2560,640,training,-0.02988721805,0.02780610228,0.01115987797
gamma,1,8,disorder,3072,768,training,0.01928651059,0.02807787827,0.023817256
gamma,1,8,disorder,4096,1024,training,0.07302013423,0.02850670897,0.05807977505
gamma,1,8,disorder,5120,1280,heldout,-0.2030063291,0.02883933591,0.09670330246
gamma,1,8,disorder,6144,1536,heldout,0.06923076923,0.0291111119,0.1360742364
gamma,1,4,marginal,1024,512,training,0.8843133822,0.8642451235,0.8897420496
gamma,1,4,marginal,1536,768,training,0.9072056754,0.9063365763,0.8934263112
gamma,1,4,marginal,2048,1024,training,0.9061796797,0.9362009373,0.9155796917
gamma,1,4,marginal,2560,1280,training,0.9619235589,0.9593655354,0.9439325663
gamma,1,4,marginal,3072,1536,training,0.9467781494,0.9782923901,0.974342302
gamma,1,4,marginal,4096,2048,training,1.046196868,1.008156751,1.035574393
gamma,1,4,marginal,5120,2560,heldout,0.9411392405,1.031321349,1.09423907
gamma,1,4,marginal,6144,3072,heldout,0.8923076923,1.050248204,1.149415352
gamma,1,4,conditional,1024,512,training,0.8694404246,0.866301799,0.8573023521
gamma,1,4,conditional,1536,768,training,0.8863594434,0.89789041,0.9024472433
gamma,1,4,conditional,2048,1024,training,0.87053003,0.9203028862,0.9275814029
gamma,1,4,conditional,2560,1280,training,1.042155388,0.9376873533,0.9431346054
gamma,1,4,conditional,3072,1536,training,0.925328874,0.9518914972,0.9532857283
gamma,1,4,conditional,4096,2048,training,0.9545637584,0.9743039734,0.9646265869
gamma,1,4,conditional,5120,2560,heldout,0.9443037975,0.9916884405,0.969480874
gamma,1,4,conditional,6144,3072,heldout,0.6871794872,1.005892584,0.9708903464
gamma,1,4,disorder,1024,512,training,0.01487295765,-0.002056675466,0.03243969743
gamma,1,4,disorder,1536,768,training,0.02084623202,0.008446166311,-0.009020932086
gamma,1,4,disorder,2048,1024,training,0.03564964965,0.01589805114,-0.01200171124
gamma,1,4,disorder,2560,1280,training,-0.08023182957,0.02167818207,0.0007979609314
gamma,1,4,disorder,3072,1536,training,0.02144927536,0.02640089292,0.02105657378
gamma,1,4,disorder,4096,2048,training,0.09163310962,0.03385277775,0.07094780591
gamma,1,4,disorder,5120,2560,heldout,-0.003164556962,0.03963290868,0.1247581961
gamma,1,4,disorder,6144,3072,heldout,0.2051282051,0.04435561953,0.1785250055
uniform,1,32,marginal,1024,64,training,0.6853248861,0.6893037156,0.6881761044
uniform,1,32,marginal,1536,96,training,0.7205999844,0.7283267202,0.7288976815
uniform,1,32,marginal,2048,128,training,0.7947622623,0.7560139826,0.756925965
uniform,1,32,marginal,2560,160,training,0.7705858396,0.7774898918,0.7781724207
uniform,1,32,marginal,3072,192,training,0.7584726867,0.7950369873,0.7952116814
uniform,1,32,marginal,4096,256,training,0.8391498881,0.8227242497,0.8215116942
uniform,1,32,marginal,5120,320,heldout,0.8680379747,0.8442001589,0.8414175991
uniform,1,32,marginal,6144,384,heldout,0.8705128205,0.8617472543,0.85736155
uniform,1,32,conditional,1024,64,training,0.6782225186,0.6841392913,0.6766909803
uniform,1,32,conditional,1536,96,training,0.7230136023,0.7235934759,0.727364898
uniform,1,32,conditional,2048,128,training,0.7645800801,0.7515866655,0.7576106642
uniform,1,32,conditional,2560,160,training,0.7622525063,0.7732998701,0.7778082392
uniform,1,32,conditional,3072,192,training,0.8082720178,0.7910408501,0.7921947729
uniform,1,32,conditional,4096,256,training,0.8063534676,0.8190340397,0.811024638
uniform,1,32,conditional,5120,320,heldout,0.8579113924,0.8407472443,0.8223673521
uniform,1,32,conditional,6144,384,heldout,0.8705128205,0.8584882243,0.8295189377
uniform,1,32,disorder,1024,64,training,0.007102367456,0.005164424302,0.01148512418
uniform,1,32,disorder,1536,96,training,-0.002413617886,0.004733244268,0.001532783538
uniform,1,32,disorder,2048,128,training,0.03018218218,0.004427317165,-0.0006846992577
uniform,1,32,disorder,2560,160,training,0.008333333333,0.004190021669,0.000364181436
uniform,1,32,disorder,3072,192,training,-0.0497993311,0.003996137131,0.003016908461
uniform,1,32,disorder,4096,256,training,0.03279642058,0.003690210028,0.0104870562
