model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,1024,6144,8,0.2056281875,0.1126354974,-0.6539674486,0.4556453536,-0.03377881954,-0.178952169,0.100878767,0.2678,-1.85435302,-2.078280819,1.664704648,0.1075,0.1143837729,0.2857334858
gamma,1,32,conditional,1024,6144,8,0.3312852383,0.07618418168,-0.9038945928,0.5690657628,-0.04853784135,-0.2029339683,0.095401879,0.2273,-1.555991945,-2.078078721,3.343581548,0.193,0.1135466645,0.1972556282
gamma,1,32,disorder,1024,6144,8,-0.1256570508,0.03645131574,0.2499271441,-0.1134204091,0.01475902181,-0.1292159812,0.1668637492,0.561,-1.919122906,-2.077572632,5.344417364,0.2461,0.05601977539,0.113705348
gamma,1,16,marginal,1024,6144,8,0.09822815836,0.1326321473,0.9400729211,-0.1620769184,0.02553610389,-0.1591702381,0.1979472175,0.5458,-1.246908119,-2.077475238,6.205042519,0.2948,0.01943473089,0.1010756008
gamma,1,16,conditional,1024,6144,8,0.1359428005,0.117810273,2.429729159,-0.6851876957,0.06957858424,-0.129808146,0.2593664387,0.7132,0.5288952901,-2.077943447,6.133549002,0.3155,0.0563666464,0.04897249061
gamma,1,16,disorder,1024,6144,8,-0.03771464217,0.01482187432,-1.489656237,0.5231107773,-0.04404248035,-0.2233713292,0.1536926554,0.3118,-0.9258947315,-2.076437732,5.17474382,0.3522,0.07422133671,0.07088828018
gamma,1,8,marginal,1024,6144,8,1.026813086,-0.02470282867,-5.926805953,2.144115516,-0.1677720575,-0.2835757546,-0.06676502466,0.001,-0.2080114591,-1.906467642,7.554639332,0.4536,0.2399120519,0.2143659182
gamma,1,8,conditional,1024,6144,8,0.7525833474,0.01667038255,-6.640729378,2.322628212,-0.1783806793,-0.3442585094,-0.01837699758,0.0156,-1.321205642,-2.067681781,4.198120202,0.1948,0.3607786475,0.3629873765
gamma,1,8,disorder,1024,6144,8,0.2742297382,-0.04137321121,0.7139234252,-0.1785126963,0.0106086218,-0.1155938571,0.1402481353,0.563,-2.066192261,-2.079057732,1.655256292,0.0678,0.166376079,0.2171334985
gamma,1,4,marginal,1024,6144,8,0.6923727053,0.03368177312,-3.195323502,1.127195517,-0.07639754555,-0.2603319814,0.09642051146,0.1698,0.4819368017,-2.074221147,6.023483416,0.4187,0.1286040783,0.2115938402
gamma,1,4,conditional,1024,6144,8,1.125453609,-0.03154892329,-9.026599187,2.823974932,-0.1994991055,-0.3839733098,-0.02549081644,0.0114,2.449724506,-2.015516061,7.478828165,0.635,0.2278413294,0.2014022553
gamma,1,4,disorder,1024,6144,8,-0.4330809034,0.06523069641,5.831275685,-1.696779415,0.12310156,-0.04462308384,0.2889678347,0.9208,0.9791983529,-2.070628395,7.03718662,0.465,0.1176423549,0.09239037014
uniform,1,32,marginal,1024,6144,8,0.250001594,0.104620278,0.4582306205,0.02152933922,0.008182604017,-0.1499042127,0.1471427454,0.4756,-1.963531168,-2.077370074,5.247959779,0.2692,0.0179593515,0.02099524129
uniform,1,32,conditional,1024,6144,8,0.2430020253,0.1050979954,0.2763530833,0.09178971281,0.001310568974,-0.2044497641,0.1993396317,0.4431,-2.068464467,-2.076807336,6.682289305,0.3001,0.01481888814,0.03836585216
uniform,1,32,disorder,1024,6144,8,0.006999568782,-0.0004777173602,0.1818775371,-0.07026037359,0.006872035042,-0.1261242981,0.1365610578,0.547,-2.015383702,-2.077406973,4.792670964,0.228,0.005251624401,0.02067417289
uniform,1,16,marginal,1024,6144,8,-0.4146690668,0.2284814674,6.489819354,-2.188609452,0.2094373469,-0.07141580905,0.4747074876,0.9214,2.277526375,-2.047252722,8.225782675,0.6805,0.248631747,0.2221211221
uniform,1,16,conditional,1024,6144,8,-0.1461392053,0.1774342103,6.925931037,-2.298322967,0.2145206913,-0.1155845259,0.5487648323,0.8834,0.9497783957,-2.063368988,5.711546086,0.5353,0.292715992,0.3318342463
uniform,1,16,disorder,1024,6144,8,-0.2685298616,0.05104725708,-0.4361116833,0.1097135151,-0.00508334434,-0.2311679493,0.2118123906,0.493,-2.056438385,-2.077071354,7.927964407,0.3447,0.04439973506,0.1159068515
uniform,1,8,marginal,1024,6144,8,0.342722206,0.08743199264,0.7602734565,-0.04280131563,0.01007438458,-0.1504308826,0.1517285945,0.4795,-1.899169152,-2.077672824,5.327250374,0.277,0.03260130752,0.03016051206
uniform,1,8,conditional,1024,6144,8,0.3868975513,0.0787051582,-1.669624343,0.7201297726,-0.04961832215,-0.2524702411,0.1392737775,0.262,-1.449236108,-2.077875179,7.680882457,0.2842,0.09665422373,0.1806612443
uniform,1,8,disorder,1024,6144,8,-0.04417534534,0.008726834439,2.4298978,-0.7629310882,0.05969270673,-0.08846391209,0.2121993308,0.7822,-0.9021377281,-2.077250137,6.763339502,0.2841,0.06485570442,0.1696396734
uniform,1,4,marginal,1024,6144,8,0.593894736,0.05149409892,-4.134239327,1.381402432,-0.09291308224,-0.2598902404,0.06143020935,0.1025,-0.9613005361,-2.075886278,6.599557657,0.3214,0.1463851791,0.1593119294
uniform,1,4,conditional,1024,6144,8,0.9162374873,0.00251955694,-7.97359831,2.503012679,-0.1746951405,-0.3842828355,0.02579300539,0.0421,1.072049543,-2.064936177,9.014971287,0.5428,0.2040064936,0.15969902
uniform,1,4,disorder,1024,6144,8,-0.3223427513,0.04897454198,3.839358984,-1.121610247,0.0817820583,-0.06760975077,0.2302317733,0.8546,2.545429116,-2.073277315,6.927261723,0.4318,0.1134920704,0.1440328147
