model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.06310307967,-0.1478525618,0.001413709509,0.0274,-0.8639522364,-3.447048027,5.222263575,0.3134,0.1479511388,0.202186352
gamma,marginal,weighted,-0.03671136007,-0.0871111425,-0.001425965216,0.0219,-1.152636067,-3.437676062,4.508236398,0.2666,0.1387254086,0.160154109
gamma,conditional,unweighted,-0.08920976048,-0.1882328424,-0.003551476968,0.0209,-1.35430882,-3.44074101,4.468046634,0.2384,0.2225662529,0.2239100147
gamma,conditional,weighted,-0.06450623044,-0.1307014807,-0.009629061798,0.013,1.228713124,-3.36542001,7.783012709,0.4907,0.2176743244,0.2129570484
gamma,disorder,unweighted,0.02610668081,-0.05838732697,0.1063405472,0.7217,-2.841535176,-3.464866395,1.994985469,0.0805,0.1119907869,0.1404013146
gamma,disorder,weighted,0.02153427105,-0.02812318844,0.0681145059,0.8003,-2.284929456,-3.464090136,2.657187753,0.1047,0.1074202413,0.1208583416
uniform,marginal,unweighted,0.03369531332,-0.07585891985,0.1187753667,0.6611,-2.647288062,-3.464739977,1.921597546,0.0737,0.1454576827,0.1512893476
uniform,marginal,weighted,-0.01207639571,-0.07016752067,0.03168677222,0.2283,-2.962252243,-3.464271738,3.307739045,0.1187,0.1542699251,0.1682946238
uniform,conditional,unweighted,-0.002120550611,-0.1408655705,0.1236696801,0.416,-3.463631127,-3.464568757,3.412937659,0.0959,0.1849749576,0.208619834
uniform,conditional,weighted,-0.05278319482,-0.1302400345,0.01147741295,0.0489,2.946211633,-3.450173324,9.856728679,0.4324,0.1843713862,0.205984011
uniform,disorder,unweighted,0.03581586393,-0.05775683705,0.1235213013,0.7726,-0.4016176964,-3.463369487,7.082622021,0.2225,0.06907537274,0.07593343612
uniform,disorder,weighted,0.03662757723,-0.01432202427,0.08750242604,0.9205,1.558716235,-3.458572607,7.247306572,0.3122,0.07022356405,0.0548414327
