model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,128,6144,12,0.01145039235,-0.01351611798,0.03725216479,0.9054121157,-2.481760916,8.413701094
gamma,1,32,disorder,256,6144,11,0.01263762198,-0.02638028089,0.05319152929,-0.6724525247,-2.395663517,7.041614601
gamma,1,32,disorder,512,6144,10,0.01035898823,-0.05952224897,0.08404672626,-1.909194305,-2.300445899,5.712825974
gamma,1,32,disorder,768,6144,9,0.008149236522,-0.09574188043,0.1178778799,-2.090772711,-2.195458828,5.383311935
gamma,1,32,disorder,1024,6144,8,0.01475902181,-0.1294728025,0.1656179146,-1.919122906,-2.077853135,5.393871856
gamma,1,32,disorder,1536,6144,7,0.02123160914,-0.2517660639,0.3051363638,-1.853839234,-1.943836782,6.085775335
gamma,1,32,disorder,2048,6144,6,-0.06020920493,-0.5734858995,0.4641299249,-1.556840197,-1.789533659,7.633537011
gamma,1,32,disorder,2560,6144,5,-0.1224374251,-1.073161482,0.8320049839,-1.318017677,-1.60674387,13.56019864
gamma,1,16,disorder,128,6144,12,0.002451180513,-0.02801109081,0.03478769853,-2.353537909,-2.482455919,3.952760907
gamma,1,16,disorder,256,6144,11,0.001578415094,-0.04665506856,0.0530487028,-2.376508674,-2.395811941,3.721976593
gamma,1,16,disorder,512,6144,10,-0.008341153467,-0.09629294079,0.08454119016,-2.105758315,-2.299857033,4.10554877
gamma,1,16,disorder,768,6144,9,-0.02327228761,-0.1550780905,0.1151875732,-1.516147722,-2.195030529,4.744254588
gamma,1,16,disorder,1024,6144,8,-0.04404248035,-0.227374433,0.1493981178,-0.9258947315,-2.076373747,5.259457419
gamma,1,16,disorder,1536,6144,7,-0.1349778044,-0.4765221604,0.2286867778,1.606592754,-1.94222157,11.6438005
gamma,1,16,disorder,2048,6144,6,-0.1309968085,-0.7705912837,0.5481379773,-0.6461151968,-1.787758372,13.10946569
