model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,0.004415509525,-0.004716899342,0.0122845944,0.809,-1.210707039,-2.483117195,3.084586778,0.1502,0.04407747687,0.05729543143
gamma,1,32,conditional,-0.006588955362,-0.01777571417,0.003759240961,0.101,0.04504244304,-2.480332084,6.11459046,0.3139,0.1041467774,0.08993457452
gamma,1,32,disorder,0.009615499439,0.0006609054892,0.01803485511,0.9831,6.357367206,-2.402765898,10.75525802,0.6662,0.06816036084,0.04363916611
gamma,1,16,marginal,0.008430373867,-0.0014683805,0.01732109986,0.9497,5.155395879,-2.473128288,8.949132212,0.488,0.04690555647,0.01507404902
gamma,1,16,conditional,0.005671120444,-0.007018576285,0.0173269207,0.7909,-1.290673845,-2.483616415,3.039165592,0.1532,0.04370548586,0.01924560796
gamma,1,16,disorder,0.002202824956,-0.007321760721,0.01147141228,0.6741,-2.171047617,-2.483867318,2.030926565,0.0939,0.03148353601,0.03272089746
gamma,1,8,marginal,-0.01546551116,-0.02590602798,-0.006750227539,0.0001,1.092674982,-1.937360796,5.362660603,0.6292,0.285655618,0.2716829336
gamma,1,8,conditional,-0.01045217144,-0.02441157656,0.002123621602,0.0489,-1.301127564,-2.479387191,2.357126482,0.1712,0.3736693938,0.3748515606
gamma,1,8,disorder,-0.00487549928,-0.01492100785,0.005274761169,0.1722,-1.119758271,-2.482825417,4.023106457,0.1916,0.1672033304,0.1556469184
gamma,1,4,marginal,-0.00376354917,-0.01570069648,0.006735133932,0.2152,-1.842554025,-2.483384855,3.345375725,0.1554,0.1172711654,0.1081366955
gamma,1,4,conditional,-0.01498619194,-0.03076875462,-0.0007846133498,0.02,1.480540337,-2.435893454,7.365978656,0.5074,0.2499615332,0.2188834026
gamma,1,4,disorder,0.005430566351,-0.006282827259,0.01661575596,0.815,-1.310839649,-2.482994386,3.757610994,0.1766,0.1448179667,0.1304013409
uniform,1,32,marginal,-0.003415824119,-0.01263163485,0.004734582782,0.1884,-1.237695454,-2.482979289,4.539738114,0.2136,0.008522194716,0.02189153811
uniform,1,32,conditional,-0.001365993197,-0.014318457,0.01037253527,0.3774,-2.302837961,-2.483601184,3.691732794,0.1485,0.005798463943,0.01506555907
uniform,1,32,disorder,-0.001609915387,-0.01025205634,0.007230182992,0.365,-2.110428363,-2.483717589,3.318012492,0.1381,0.008797730312,0.005470665073
uniform,1,16,marginal,0.006413595362,-0.003902825298,0.01578937421,0.8778,0.1174588331,-2.481920849,4.994692997,0.2682,0.2752995847,0.2495855275
uniform,1,16,conditional,0.00652330626,-0.007465344519,0.01948344975,0.809,-0.07026500068,-2.482906005,4.927817628,0.2267,0.2647044174,0.2406166419
uniform,1,16,disorder,-0.001007643803,-0.01081070153,0.00920373622,0.4163,-2.437080496,-2.484183568,1.296900287,0.0633,0.05663413606,0.06673148596
uniform,1,8,marginal,0.006941414167,-0.004072860617,0.01622178771,0.8883,0.1847121127,-2.481557229,4.739516059,0.2601,0.03180578007,0.04245784958
uniform,1,8,conditional,0.004453460357,-0.01026937328,0.01803628561,0.6894,-1.883746091,-2.48372928,2.382337132,0.1097,0.09139659753,0.0933140023
uniform,1,8,disorder,0.001542738177,-0.008794382228,0.0116172928,0.6125,-2.400348661,-2.484198224,0.9406838927,0.053,0.0623654519,0.06225088054
uniform,1,4,marginal,0.0007507063125,-0.01081892199,0.01062975507,0.4916,-2.461699153,-2.484308302,1.084707128,0.0573,0.1509777362,0.1545405165
uniform,1,4,conditional,-0.000304832765,-0.01614283385,0.01434549504,0.4413,-2.482333599,-2.484242984,1.710977379,0.0813,0.2047594677,0.2200846753
uniform,1,4,disorder,0.0001580410647,-0.01077649446,0.0108640727,0.5039,-2.482503978,-2.483850927,2.559523303,0.1116,0.09124161361,0.1051628504
