model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.02083333333,-0.013,0.3385049036,0.3296447953,0.3472936357,0.2991025032,0.2881722652,0.3098164211,0.0394024004,0.03055729219,0.04796777241
gamma,1,32,64,4,6000,-0.01633333333,-0.008166666667,0.413318817,0.403217446,0.4234165156,0.376279366,0.362771373,0.3897028605,0.03703945102,0.02632523546,0.04816039132
gamma,1,32,128,8,6000,-0.02166666667,-0.0055,0.4859144719,0.474024793,0.4978477618,0.4458602962,0.4306526671,0.4617966272,0.0400541757,0.02757957924,0.05242769073
gamma,1,32,256,16,6000,-0.02216666667,-0.019,0.5434143885,0.5302380216,0.5570011828,0.5108301245,0.4928749413,0.5288811173,0.03258426404,0.01885428821,0.04654412124
gamma,1,32,512,32,5000,-0.0036,-0.0274,0.6106402681,0.5940962963,0.6275187718,0.5887345269,0.5662964108,0.6116454866,0.02190574115,0.005408925785,0.03895318264
gamma,1,32,768,48,4000,-0.00225,-0.00475,0.6501487247,0.6304606722,0.6695330645,0.6334052263,0.6057536572,0.6623319424,0.01674349837,-0.003499179482,0.03718844711
gamma,1,32,1024,64,3000,-0.021,-0.01766666667,0.672847727,0.6486407483,0.6965253029,0.640874736,0.609200778,0.673002166,0.031972991,0.007858852951,0.05600870846
gamma,1,32,1536,96,1600,-0.0025,0.0125,0.7216197624,0.6860449793,0.7578681207,0.6671794872,0.6236515009,0.7111552777,0.05444027517,0.01827388211,0.09038072624
gamma,1,32,2048,128,1000,0.024,0.011,0.7619134134,0.7146409034,0.8099833834,0.7301456456,0.6666540165,0.7961173173,0.03176776777,-0.01593511011,0.07781391391
gamma,1,32,2560,160,400,0.005,-0.0725,0.69785401,0.6285075188,0.7687062187,0.6724279449,0.5858114035,0.760122807,0.02542606516,-0.03666682331,0.08775407268
gamma,1,32,3072,192,300,-0.05333333333,-0.01666666667,0.7994370123,0.6948926979,0.9061510591,0.7133723523,0.5997741081,0.8273121516,0.08606465998,-0.01282190635,0.1966006132
gamma,1,32,4096,256,150,0.01333333333,-0.01333333333,0.9662639821,0.8242024609,1.104474273,0.8452796421,0.6716761745,1.019263423,0.12098434,-0.01834675615,0.2676521253
gamma,1,32,5120,320,80,-0.025,0.0125,0.866693038,0.7116297468,1.005625,0.8410601266,0.6063291139,1.075949367,0.02563291139,-0.1506408228,0.1968393987
gamma,1,32,6144,384,40,0.225,0.15,0.7958333333,0.5711538462,0.9993589744,0.6766025641,0.45,0.8817307692,0.1192307692,-0.1064262821,0.3653846154
gamma,1,16,32,4,6000,-0.02266666667,-0.03283333333,0.4246915458,0.4144465883,0.4349979583,0.3907634467,0.377153271,0.404477298,0.03392809913,0.02297323096,0.04488637065
gamma,1,16,64,8,6000,-0.0275,-0.0375,0.4866665278,0.4745438941,0.4989269319,0.4448574762,0.4288936976,0.4606459281,0.04180905151,0.02927296841,0.05472362894
gamma,1,16,128,16,6000,-0.014,-0.007166666667,0.5495512447,0.5360032974,0.5629816337,0.5141456771,0.4964132147,0.5318693341,0.03540556759,0.02099512419,0.04916603601
gamma,1,16,256,32,6000,-0.02816666667,-0.01466666667,0.6011792938,0.5860428415,0.6162879518,0.5612524171,0.5419234317,0.5811695283,0.0399268767,0.02474974162,0.05477146191
gamma,1,16,512,64,5000,-0.0504,-0.0512,0.6753542709,0.6568575755,0.6932042003,0.6433283457,0.6180911682,0.668627386,0.03202592519,0.01353231346,0.05133795559
