order,n_samples,mean_height,variance_height,std_height,variance_bootstrap_low,variance_bootstrap_high
16,4000,16.89,4.993148287,2.234535363,4.768565341,5.207377844
24,4000,25.415,5.619179795,2.370480921,5.395966792,5.838835709
32,4000,33.851,6.24335984,2.498671615,5.999266817,6.508089597
48,3000,50.71466667,6.712822496,2.590911518,6.387803223,7.047468578
64,3000,67.59733333,7.264280983,2.695233011,6.888027565,7.6330339
96,2500,101.4144,7.75617511,2.784991043,7.34587595,8.188286259
128,2000,135.138,7.972942471,2.823639933,7.469198899,8.434924362
192,1500,202.4586667,8.40322704,2.898832013,7.826837091,9.013252924
256,1000,270.1,9.215215215,3.035657295,8.47917998,10.00623023
384,500,405.432,9.648673347,3.106231374,8.380870541,10.99648257
512,300,540.1866667,11.52356745,3.394638044,9.820811594,13.28205574
600,250,633.408,11.76057831,3.429369959,9.943595181,13.59597108
