observable,min_order,max_order,fit_points,p,p_low,p_high,delta_bic_log_minus_log2,delta_bic_low,delta_bic_high,bootstrap_fraction_favoring_log2
single_height,24,1300,18,0.967081,0.893696,1.031933,4.434345,-1.658975,6.478612,0.8784
single_height,96,1300,14,1.128725,0.959673,1.281586,1.303841,-0.802446,2.407444,0.8062
single_height,192,1300,12,1.284065,0.981540,1.558149,0.057233,-0.805628,0.960919,0.5107
single_height,384,1300,10,1.440979,0.843194,2.000929,-0.184375,-0.413565,0.272282,0.2637
single_height,512,1300,9,1.003519,0.244462,1.701411,0.183447,-0.043236,0.344760,0.8823
double_dimer_difference,24,1300,18,0.813941,0.699641,0.902086,-1.928474,-2.890425,-0.277284,0.0087
double_dimer_difference,96,1300,14,0.758438,0.522817,0.952052,-0.419434,-0.650674,0.145299,0.0692
double_dimer_difference,192,1300,12,0.709134,0.311701,1.044363,-0.194262,-0.303654,0.067593,0.0675
double_dimer_difference,384,1300,10,0.580688,-0.246312,1.354218,-0.064125,-0.146953,0.038437,0.1338
double_dimer_difference,512,1300,9,-0.209859,-1.469293,1.051095,0.008098,-0.042347,0.063354,0.5913
disorder_paired_covariance,24,1300,18,1.392886,1.156435,1.557573,2.025242,0.061327,3.377788,0.9819
disorder_paired_covariance,96,1300,14,1.858755,1.390576,2.226268,0.327155,-0.334021,1.071981,0.7495
disorder_paired_covariance,192,1300,12,2.102519,1.340982,2.742490,0.019044,-0.285199,0.488216,0.5296
disorder_paired_covariance,384,1300,10,2.132597,0.583016,3.703423,-0.001883,-0.098930,0.189510,0.4992
disorder_paired_covariance,512,1300,9,2.259310,-0.221824,5.068768,0.005223,-0.078567,0.114555,0.5415
disorder_independent_remainder,24,1300,18,1.148431,0.834411,1.369471,1.764915,0.181454,2.732687,0.9907
disorder_independent_remainder,96,1300,14,1.614470,0.987728,2.123843,0.588705,-0.081108,1.055853,0.9442
disorder_independent_remainder,192,1300,12,2.070523,1.054433,2.990898,0.244800,-0.133721,0.559644,0.8552
disorder_independent_remainder,384,1300,10,2.744858,0.855756,4.666860,0.099324,-0.054293,0.268483,0.8368
disorder_independent_remainder,512,1300,9,3.109123,0.364799,6.230035,0.075855,-0.021171,0.184843,0.9027
